Transfer Size (MB),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU1 to GPU0 (prefetch),GPU2 to GPU0 (prefetch)
0.001953,23.12,19.39,18.58,22.99
0.00293,17.3,16.04,17.53,17.22
0.003906,14.81,14.14,15.08,14.7
0.005859,16.83,16.2,16.9,16.76
0.007812,17.81,17.18,17.71,17.68
0.011719,22.03,21.43,22.13,22.06
0.015625,24.98,24.37,24.97,24.71
0.023438,32.29,31.56,32.18,32.24
0.03125,38.21,37.46,38.09,38.17
0.046875,51.35,50.57,51.38,51.27
0.0625,62.14,61.26,62.11,62.13
0.09375,84.97,83.35,84.46,84.74
0.125,103.54,102.41,103.38,103.35
0.1875,144.02,141.8,143.26,143.06
0.25,177.93,175.61,177.22,176.95
0.375,249.99,247.04,249.35,249.61
0.5,314.22,310.48,314.13,312.84
0.75,444.47,439.82,444.34,443.95
1,561.24,554.92,560.78,560.62
1.5,795.15,786.46,793.82,795.9
2,1011.43,999.69,1007.81,1006.66
3,1445.03,1426.53,1445.02,1434.37
4,1837.39,1808.55,1841.93,1826.45
6,2621.27,2569.49,2617.02,2579.73
8,3303.8,3271.14,3291.91,2455.56
12,4746.1,4638.77,4771.83,4670.93
16,6063.69,5865.04,6101.83,5947.79
24,8715.97,8301.48,8758.38,8431.15
32,11078.5,10484.23,11149.39,10663.65
48,15915.12,12733.41,15966.95,14374.81
64,20257.5,13543.69,20271.28,15392.78
96,25436.45,14599.13,25433.94,16541.26
128,26952.16,15069.24,26936.3,17255.42
192,28725.98,16909.57,28729.76,17953.86
256,29716.86,16928.58,29715.5,18440.18
384,30853.38,17358.71,30857.06,18852.97
512,31457.27,17876.93,31458.38,19227.77
768,32104.23,18930.76,32112.07,19385.14
1024,32455.44,19444.8,32454.72,19487.07
1536,32830.96,20011.88,32821.98,19567.12
2048,33019.75,19569.46,33014.98,19525.92
3072,33197.67,19892.23,33198.11,17286.39
4096,33289.71,19205.75,33283.36,15505.14
6144,33396.12,19713.65,33393.94,17011.02
8192,33440.39,20942.19,33446.68,18836.61
12288,33489.29,21723.91,33482.67,18776.84
