Transfer Size (MB),CPU0 to GPU0 (coherence),CPU0 to GPU0 (prefetch)
0.001953,54.15,56.28
0.00293,83.83,21.44
0.003906,110.35,15.72
0.005859,165,16.57
0.007812,220.53,16.47
0.011719,329.96,20.14
0.015625,448.08,22.25
0.023438,660.6,28.21
0.03125,667.28,33.04
0.046875,1323.11,44.22
0.0625,810.61,53.72
0.09375,1171.45,72.22
0.125,1570.35,88.53
0.1875,2370.12,122.48
0.25,2860.87,148.19
0.375,3912.57,208.9
0.5,4477.32,263.51
0.75,5667.73,371.98
1,7365.78,466.38
1.5,9470.71,655.96
2,8912.62,836.68
3,8864.62,1176.11
4,10079.58,1489.15
6,10717.56,2111.13
8,11526.88,2165.75
12,11880.44,3735.17
16,13087.45,4695.45
24,17237.65,6484.73
32,17495.8,7915.38
48,18037.34,10851.19
64,17369.51,13218.18
96,22393.56,17234.34
128,23085.83,20365.67
192,25055.71,25303.09
256,27444.79,28806.05
384,24821.14,33871.41
512,24361.51,37096.64
768,23773.59,37875.49
1024,23241.24,37895.38
1536,22068,37845.43
2048,21892.11,36804
3072,20963.03,37094.64
4096,19674.75,37360.63
6144,19300.76,38709.05
8192,18682.01,39042.75
12288,18715.56,39359.55
