Transfer Size (MB),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU1 to GPU0 (prefetch),GPU2 to GPU0 (prefetch)
0.001953,21.62,18.44,22,21.59
0.00293,14.78,13.53,14.87,14.62
0.003906,12.67,12.01,12.58,12.64
0.005859,13.79,13.12,13.9,13.7
0.007812,14.55,13.93,14.52,14.64
0.011719,17.94,17.52,17.91,17.88
0.015625,20.21,19.77,20.2,20.4
0.023438,26.15,25.81,26.14,26.26
0.03125,31.01,30.61,31.24,31.3
0.046875,41.83,41.25,41.78,41.36
0.0625,50.3,49.73,50.31,50.6
0.09375,68.61,67.67,69.1,68.84
0.125,84.07,83.37,84.58,84.27
0.1875,116.43,114.37,117.27,116.4
0.25,143.79,142.49,143.42,143.56
0.375,200.84,200.25,201.88,201.53
0.5,255.09,251.52,252.85,255.17
0.75,360.85,358.22,362.47,360.5
1,450.62,451.37,455.63,456.75
1.5,647.56,643.6,646.12,646.4
2,815.68,809.89,808.24,812.8
3,1165.26,1158.04,1164.96,1167.42
4,1485.03,1470.25,1485.2,1487.1
6,2131.74,2106.13,2123.2,2116
8,2692.2,2685.41,2692.03,2695.79
12,3865.55,3863.29,3877.46,3885.14
16,4933.96,4895.81,4936.81,4917.23
24,7035.36,6951.19,7029.51,7023.65
32,8947.48,8886.89,8951.66,8928.99
48,12813.47,12745.67,12805.72,12761.51
64,16308.38,16231.41,16360.38,16329.55
96,23100.56,20956.67,23293.13,21041.66
128,29444.31,22119.13,29458.31,22276.08
192,41118.69,23598.35,41028.95,23662.53
256,49610.14,24332.53,49640.47,24378.89
384,53109.01,25162.17,53135.65,25205.77
512,55112.08,25598.61,55106.51,25636.67
768,57351.57,26089.28,57377.45,26124.7
1024,58560.73,26333.71,58575.32,26370.77
1536,59887.3,26597.98,59891.92,26636.57
2048,60573.87,26763.73,60585.33,26749.41
3072,61282.68,26836.04,61288.62,26333.21
4096,61624.45,26914.49,61410.92,26327.98
6144,62071.1,27020.28,62074.4,26594.97
8192,62328.95,27079.29,62332.53,26709.07
12288,62587.62,27144.41,62591.84,26940.65
