Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned)
0.001953,175.18,148.05,24.73,187.12
0.00293,281.51,282.38,274.19,275.11
0.003906,370.44,267.73,309.45,301.5
0.005859,350.02,310.5,237.04,339.3
0.007812,658.12,661.63,652.02,655.08
0.011719,861.23,843.56,469.01,813.92
0.015625,1074.84,939.85,620.16,1080.49
0.023438,1643.24,1619.06,804.17,1616.83
0.03125,3028.1,3050.57,2741.47,2712.44
0.046875,4133.23,4137.25,4061.61,4085.68
0.0625,5554.57,5580.86,5323.68,5306.95
0.09375,6637.17,5420.02,5514.71,5709.5
0.125,7107.12,9092.23,8757.79,8749.21
0.1875,7001.49,7070.67,6880.23,6796.43
0.25,11661.54,12001.92,10253.05,11770.8
0.375,15055.4,17715.42,14793.48,13855.02
0.5,19504.58,19681.94,18327.77,18454.27
0.75,21980.6,22080.25,20282.88,20922.25
1,23505.63,23598.82,20301.27,22000.75
1.5,25279.76,25731.19,16884.67,23370.31
2,25931.26,25722.15,24353.12,23888.3
3,27760.3,27744.38,25480.74,25254.86
4,28424.64,28444.44,26091.44,26116.82
6,29417.24,29344.3,26484.8,26941.59
8,29603.75,29676.23,27365.02,27169.02
12,28893.17,30697.6,26949.58,27525.97
16,30869.97,30858.6,27883.26,27102.61
24,31137.69,31092.31,27992.81,28238.38
32,30633.65,31271.65,28334.33,27884.64
48,31039.65,31082.61,28135.61,27626.57
64,30096.88,30053.65,27623.3,27612.22
96,30472.33,30121.85,27350.31,27544.87
128,30175.67,29985.09,27583.62,27601.41
192,30106.24,30090.9,27467.85,27620.55
256,30067.26,30098.12,27595.42,27560.1
384,30131.11,30125.3,27504.88,27620.01
512,30086.72,30148.41,27547.99,27608.19
768,30090.68,30096.57,27565.99,27372.74
1024,30099.57,30082.62,27571.61,27490.3
1536,30076.61,30039.69,27580.94,26832.71
2048,30048.8,30080.37,27001.71,27058.88
3072,30078.61,30072.74,27126.53,26515.05
4096,30086.83,30090.19,26948.8,26727.85
6144,29972.77,29967.76,26914.5,26344.76
8192,29932.04,29918.86,26674.36,26376.86
12288,29906.96,29905.84,26555,25999.68
