Transfer Size (MB),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned)
0.001953,222.43,221.09,195.12,198.41
0.00293,281.78,287.03,275.04,278.46
0.003906,444.85,431.77,390.08,399.66
0.005859,567.88,406.11,408.43,367.11
0.007812,750.19,741.93,737.31,740.87
0.011719,1138.52,1122.81,1073.34,1115.22
0.015625,1055.96,1063.79,1138.77,1266.93
0.023438,2395.25,2383.8,2329.54,2363.13
0.03125,3163.28,3205.46,2755.49,3058.03
0.046875,4177.44,4232.89,4106.08,4145.66
0.0625,5057.86,5059.09,3985.46,4749.96
0.09375,6568.35,6662.64,5965.64,5695.63
0.125,6519.92,6391.9,5928.1,5732.1
0.1875,6991.57,11178.01,10091.5,10263.85
0.25,11716.19,11083.03,10138.7,10387.67
0.375,16237.28,15444.17,13861.17,13940
0.5,17297.45,17080.59,15075.68,14663.62
0.75,19636.08,19693.31,16691.89,16495.12
1,19470.4,20433.6,17236.62,17536.17
1.5,19942.83,22519.82,18137.63,18023.86
2,23402.76,21583.82,18662.29,18738.17
3,22359.36,21409.76,19302.78,17853
4,26449.25,26416.59,19617.36,19691.53
6,24003.55,23948.85,20006.2,20039.28
8,24974.32,26362.79,20213.2,20243.73
12,25360.33,25618.86,20420.84,20457.85
16,24171.63,24638.77,20399.45,20483.04
24,23971,24452.77,20647.29,20639.53
32,21937.54,23125.9,20696.45,20688.26
48,21515.53,24138.4,20743.1,20755.06
64,20422.8,20593.45,20768.82,20775.2
96,18926.61,19609.47,20795.38,20804.94
128,18825.19,18999.35,20799.11,20809.13
192,17780.21,17835.61,20814.85,20826.67
256,18064.2,18058.85,20823.26,20826.83
384,19366.99,19019.56,20828.45,20831.13
512,20218.07,20258.2,20835.81,20841.28
768,21112.07,19879.91,20828.85,20841.4
1024,19800.3,19651.28,20831.2,20844.33
1536,21019.86,20998.27,20821.29,20841.84
2048,21012.85,21758.59,20829.63,20846.21
3072,23016.04,22666.7,20800.07,20806.59
4096,23050.52,22781.26,20703.44,20713.57
6144,23310.43,22983.75,20561.22,20631.83
8192,23774.92,23014.38,20521.03,20455.53
12288,24166.38,23871.95,20454.62,20443.63
