Transfer Size (MB),GPU0 to CPU0 (coherence),GPU0 to CPU0 (prefetch)
0.001953,0.66,27.67
0.00293,1.68,20.03
0.003906,2.75,16.57
0.005859,3.86,18.2
0.007812,5.79,18.89
0.011719,4.71,23.14
0.015625,9.38,25.78
0.023438,14.79,33.31
0.03125,22.46,39.34
0.046875,26.11,52.87
0.0625,42.06,63.23
0.09375,65.42,86.7
0.125,91.4,105.4
0.1875,128.01,146.3
0.25,183.38,180.26
0.375,263.88,252.23
0.5,353.89,315.45
0.75,455.6,444.47
1,641.99,559.61
1.5,1025.94,784.27
2,843.77,982.36
3,1173.73,1379.55
4,2765.52,1739.78
6,3255.39,2418.87
8,3517.28,2864.03
12,4645.41,4072.9
16,5072.17,4980.67
24,8256.61,6616.22
32,10302.66,7940.12
48,12030.17,9957.13
64,11130.88,11378.24
96,11176.81,13059.67
128,12819.34,14399.12
192,13249,16409.46
256,13807.85,16784.37
384,14270.78,17913.18
512,14580.01,18030.74
768,15066.8,18344.15
1024,15377.38,20183.83
1536,16814.66,22989.63
2048,15953.47,25039.48
3072,16489.51,25775.76
4096,16723.86,27217.18
6144,16578.1,28475.36
8192,16752.1,28916.25
12288,16743.24,29684.01
