Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable)
0.001953,283.93,322.99,126.63,316.96
0.00293,474.37,474.83,217.59,458.12
0.003906,621.12,609.49,322.22,600.78
0.005859,895.38,903.39,465.18,885.9
0.007812,1179.96,1169.54,566.25,1146.54
0.011719,1603.11,1631.91,870.7,1599.83
0.015625,2017.69,2014.05,1021.44,2013.27
0.023438,2546.72,2390.36,2691.8,2409.78
0.03125,3000.77,3021.08,3004.81,2910.77
0.046875,3615.5,3471.71,3663.54,3522.05
0.0625,3849.71,4016.97,4143.46,3979.12
0.09375,6930.58,6811.25,6277.2,6288.57
0.125,7902.39,7859.16,7070.54,7572.09
0.1875,9285.4,9164.67,8509.96,7910.39
0.25,8841.11,8826.75,8659.81,8809.95
0.375,10424.2,10168.94,9425.43,9408.16
0.5,11019.28,11070.27,10600.86,10639.66
0.75,9473.76,9717.54,8973.01,9247.27
1,9139.26,9547.36,10450.41,9305.7
1.5,11456.94,11478.77,12914.11,11441.3
2,19931.04,21020.55,20418.37,20088.39
3,19681.68,19632.87,13594.34,20956.75
4,24031.67,23913,21287.58,21531.89
6,25361.19,25217.82,23575.08,23584.16
8,26292.35,25925.63,23299.23,24274.05
12,26675.8,23956.78,22882.25,23165.84
16,24103.46,23939.05,23289.06,23898.22
24,9747.01,14200.32,12173.8,12849.97
32,16047.12,12893.34,14411.31,13850.52
48,12585.24,12612.34,12023.33,12356.8
64,10314.38,10002.85,11362.91,11678.28
96,9726.11,9375.53,10907.48,10928.18
128,9263.99,10460.78,10527.91,10780.77
192,10907.18,10555.27,10335.75,10362.85
256,10304.32,10398.4,10237.85,10222.94
384,10029.89,10101.08,9607.74,9808.14
512,10060.49,10086.22,9926.98,10121.83
768,9985.97,10181.13,9806.05,9843.3
1024,10097.33,9905.08,9672.58,9866
1536,9842.74,9516.82,9494.02,9583.62
2048,9304.99,9882.26,9618.38,9766.5
3072,9825.82,9798.28,9434.43,9586.25
4096,9679.72,9616,9364.77,9432.65
6144,9569.98,9575.06,9309,9391.14
8192,9528.39,9589.35,9324.55,9430.29
12288,9570.16,9642.47,9430.05,9568.83
