Transfer Size (MB),Minsky,Hal
0.001953,283.93,205.4
0.00293,474.37,294.09
0.003906,621.12,390.86
0.005859,895.38,567.49
0.007812,1179.96,738.21
0.011719,1603.11,1055.55
0.015625,2017.69,1372.06
0.023438,2546.72,1758.65
0.03125,3000.77,2184.55
0.046875,3615.5,2698.31
0.0625,3849.71,3210.07
0.09375,6930.58,4695.48
0.125,7902.39,5737.1
0.1875,9285.4,7231.84
0.25,8841.11,8649.02
0.375,10424.2,10559.22
0.5,11019.28,11759.17
0.75,9473.76,13488.48
1,9139.26,14507.68
1.5,11456.94,16787.91
2,19931.04,17222.82
3,19681.68,18373.91
4,24031.67,19035.93
6,25361.19,19644.18
8,26292.35,16694.42
12,26675.8,11588.21
16,24103.46,10064.63
24,9747.01,9457.7
32,16047.12,26089.5
48,12585.24,26361.69
64,10314.38,26507.35
96,9726.11,26622.88
128,9263.99,26671.15
192,10907.18,26710.33
256,10304.32,26752.19
384,10029.89,26772.22
512,10060.49,26819.54
768,9985.97,26822.37
1024,10097.33,26833.93
1536,9842.74,26828.26
2048,9304.99,26858.67
3072,9825.82,26853.7
4096,9679.72,26867.01
6144,9569.98,26889.41
8192,9528.39,26882.38
12288,9570.16,27175.47
