Transfer Size (MB),Minsky,Hal
0.001953,175.18,114.92
0.00293,281.51,172.01
0.003906,370.44,226.82
0.005859,350.02,321.63
0.007812,658.12,426.38
0.011719,861.23,623.27
0.015625,1074.84,799.48
0.023438,1643.24,1140.62
0.03125,3028.1,1937.14
0.046875,4133.23,2849.72
0.0625,5554.57,3603.14
0.09375,6637.17,5101.76
0.125,7107.12,6625.68
0.1875,7001.49,8966.57
0.25,11661.54,11396.27
0.375,15055.4,15256.93
0.5,19504.58,18702.08
0.75,21980.6,22930.87
1,23505.63,25432.35
1.5,25279.76,30020.41
2,25931.26,32707.53
3,27760.3,36112.38
4,28424.64,37993.92
6,29417.24,40430.99
8,29603.75,45374.11
12,28893.17,54890.52
16,30869.97,57504.73
24,31137.69,59554.53
32,30633.65,60881.64
48,31039.65,61189.84
64,30096.88,62065.78
96,30472.33,63004.16
128,30175.67,63536.12
192,30106.24,64145.76
256,30067.26,66938.59
384,30131.11,67076.17
512,30086.72,67125.9
768,30090.68,67183.6
1024,30099.57,67205.56
1536,30076.61,67233.85
2048,30048.8,67245.13
3072,30078.61,67257.53
4096,30086.83,67262.26
6144,29972.77,67116.99
8192,29932.04,67035.99
12288,29906.96,66955.65
