Transfer Size (MB),CPU0 to GPU0 (wc),CPU0 to GPU1 (wc),CPU0 to GPU2 (wc),CPU0 to GPU3 (wc),CPU0 to GPU4 (wc),CPU0 to GPU5 (wc),CPU0 to GPU6 (wc),CPU0 to GPU7 (wc),CPU1 to GPU0 (wc),CPU1 to GPU1 (wc),CPU1 to GPU2 (wc),CPU1 to GPU3 (wc),CPU1 to GPU4 (wc),CPU1 to GPU5 (wc),CPU1 to GPU6 (wc),CPU1 to GPU7 (wc),GPU0 to CPU0 (wc),GPU1 to CPU0 (wc),GPU2 to CPU0 (wc),GPU3 to CPU0 (wc),GPU4 to CPU0 (wc),GPU5 to CPU0 (wc),GPU6 to CPU0 (wc),GPU7 to CPU0 (wc),GPU0 to CPU1 (wc),GPU1 to CPU1 (wc),GPU2 to CPU1 (wc),GPU3 to CPU1 (wc),GPU4 to CPU1 (wc),GPU5 to CPU1 (wc),GPU6 to CPU1 (wc),GPU7 to CPU1 (wc)
0.001953,59.84,68.78,68.79,68.69,64.04,68.34,60.69,62.86,54.67,68.52,68.84,68.93,67.86,60.94,62.07,58.39,214.98,215.2,229.11,220.92,210.53,214.75,216.94,210.44,215.22,216.72,218.4,210.08,222.6,214.98,217.86,231.39
0.00293,77.6,67.6,67.66,67.53,76.24,76.64,75.67,67.03,68.17,70.78,77.82,50.53,66.25,63.07,75.47,66.89,324.76,323.62,330.63,332.09,316.96,324.62,319.03,317.03,325.12,324.12,330.14,331.94,318.34,324.04,327.45,331.19
0.003906,82.47,72.64,71.84,71.83,72.49,71.5,72.01,60.09,83.59,71.31,72.84,72.92,71.14,83.67,83.43,71.66,435.67,435.19,419.26,423.3,443.74,430.25,439.05,422.39,432.83,433.26,420.16,423.72,443.79,430.25,437.92,420.71
0.005859,79.39,91.48,90.07,90.84,90.12,89.63,90.66,78.49,78.12,91.12,91.02,91.19,90.2,90.24,90.95,77.69,647.02,645.02,629.84,629.63,669.57,641.84,652.13,667.66,650.97,648.23,630.85,629.57,667.66,644.03,650.61,637.17
0.007812,88.83,105.76,107.12,69.03,90.54,89.08,80.06,91.51,90.29,105.39,105.58,106.24,106.37,105.96,106.31,90.13,824.28,816.1,878.99,865.08,831.47,813.12,830.59,836.37,823.84,816.35,882.87,876.82,831.56,816.44,823.23,886.27
0.011719,72.53,106.18,105.99,106.52,105.89,104.81,104.91,90.36,90.6,106.58,106.2,106.08,105.86,104.38,105.81,90.11,1226.58,1217.66,1251.2,1256.57,1200.45,1220.19,1226.32,1256.16,1217.66,1113.1,1244.16,1261.57,1200.45,1219.94,1232.13,1254.68
0.015625,106.53,90.86,90.05,75.95,105.87,105.72,105.88,105.49,106.62,89.55,66.64,76.3,105.7,105.49,105.69,90.61,1560.63,1555.66,1587.75,1594.23,1532.31,1551.18,1561.56,1597.32,1565.63,1558.76,1593.09,1592.92,1523.35,1548.1,1562.19,1593.74
0.023438,106.56,89.75,90.06,90.22,90.41,90.03,90.36,106.99,93.46,106.12,106.26,106.02,89.27,105.58,106.01,88.8,2223.04,2234.91,2273.06,2271.08,2186.54,2216.52,2246.05,2177.4,2218.41,2214.85,2276.59,2267.56,2174.77,2217.99,2242.39,2187.35
0.03125,2495.81,2485.09,2601.13,2587.13,2476.42,2485.09,2536.32,2441.6,2521.18,2484.1,2612,2624.07,2498,2480.16,2512.06,2613.09,2762.8,2723.07,2745.8,2844.53,2758.41,2700.48,2811.01,2885.77,2721.89,2719.28,2867.5,2791.42,2877.53,2739.79,2800.93,2873.3
0.046875,3348.69,3338.44,3353.72,3368.67,3337.25,3331.32,3359.25,3274.08,3365.28,3324.23,3336.54,3286.25,3349.17,3317.88,3355.16,3288.09,3747.9,3731.79,3793.4,3810.98,3644.17,3712.28,3765.97,3687.17,3754.81,3741.62,3814.7,3815.94,3797.08,3688.04,3685.14,3822.16
