Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU8 to GPU0 (pageable),CPU8 to GPU1 (pageable),CPU8 to GPU2 (pageable),CPU8 to GPU3 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU0 to CPU8 (pageable),GPU1 to CPU8 (pageable),GPU2 to CPU8 (pageable),GPU3 to CPU8 (pageable)
0.001953,93.57,115.07,92.68,109.88,107.76,109.34,112.06,112.09,76.47,78.2,74.37,73.67,73.03,72.64,75.99,75.67
0.00293,167.09,167.92,163.27,164.7,161.21,162.7,168.16,167.44,115.05,114.58,110.35,111.23,110.2,109.11,113.29,112.49
0.003906,221.66,222.96,217.49,215.86,212.37,215.58,221.57,222.86,152.69,151.39,147.58,146.98,145.88,145.09,150.98,150.08
0.005859,328.46,332.82,322.33,323.92,319.43,322.17,329.33,330.55,226.56,228.82,219.82,217.88,217.84,217.27,226.27,225.12
0.007812,437.58,436.28,421.3,420.75,415.16,417.13,434.05,438.66,304.59,302.73,292.78,287.89,285.12,288.12,303.65,298.94
0.011719,649.17,649.06,607.38,598.75,606.94,600.68,640.02,640.96,453.23,453.65,437.09,431.3,426.97,428.99,454.18,450.1
0.015625,847.3,852.47,773.94,763.76,768.46,759.05,823.58,827.81,597.88,601.05,573.21,565.75,555.22,558.87,595.26,591.48
0.023438,1127.24,1117.19,1086.63,1100.25,1086.33,1091.74,1135.32,1133.73,879.62,884.4,826.63,823.35,802.19,810.29,860.38,848.82
0.03125,1436.19,1497.94,1396.34,1410.39,1358.52,1369.59,1429.03,1438.17,1155.78,1164.52,1052.37,1050.14,1035.87,1039.69,1105.65,1101.13
0.046875,1910.15,1932.75,1878.46,1865.67,1846.42,1850.57,1931.64,1896.85,1669.34,1690.65,1494.07,1501.2,1475.22,1479.69,1567.78,1563.49
0.0625,2341.53,2364.83,2246.67,2240.87,2215.37,2204.97,2315.93,2269.92,2132.81,2154.5,1878.8,1898.43,1871.31,1873.95,1988.93,1980.54
0.09375,3485.52,3455.58,3261.44,3212.16,3213.7,3204.03,3406.37,3407.73,2931.24,2911.85,2535.43,2561.13,2518.74,2533.1,2702.51,2700.1
0.125,4247.8,4229.69,4015.03,3979.12,4001.15,3958.7,4264.61,4231.12,3691.13,3657.11,3113.09,3100.89,3095.67,3068.69,3289.3,3244.9
0.1875,5653.55,5576.71,5297.96,5194.19,5275.45,5221.82,5577.04,5555.88,4791.35,4819.93,3905.76,3878.53,3906.33,3912.04,4165,4123.78
0.25,6795.69,6985.97,6383.74,6448.95,6383.74,6390.43,6789.23,6749.28,5757.05,5801,4613.31,4600.66,4570.55,4594.32,4862.77,4936.61
0.375,8649.52,8689.61,8064.52,7989.09,8091.66,8106.36,8656.71,8569.27,7367.1,7388.87,5613.69,5589.42,5574.05,5634.27,6015.88,5987.55
0.5,9886.5,9983.43,9277.81,9201.49,9298.35,9332.19,9788.95,9823.95,8530.09,8541.02,6254.61,6245.16,6243.76,6271.95,6765.9,6704.66
0.75,11772.28,11843.66,10880.29,10934.54,11024.22,11003.04,11717.29,11622.5,10090.68,10150.91,7146.12,7127.18,7123.18,7165.03,7766.15,7713.83
1,12997.48,13019.65,11943.44,11989.26,12133.27,12082.69,12876.81,12879.13,11098.41,11208.63,7682.67,7684.62,7669.77,7716.94,8315.18,8325.98
1.5,15428.29,15430.83,14904.31,14889.08,15026.15,15111.37,16082.86,16110.5,13028.86,13086.26,9707.1,9771.73,9761.75,9808.79,10587.76,10516.57
2,16087,16111.62,15939.43,15936.25,16062.19,15936.51,16657.92,16677.79,14520.53,14571.63,9753.67,9797.82,9827.62,9873.28,10810.05,10849.46
3,17515.08,17638.55,17946.02,17910.45,17973.97,18043.38,18496.25,18422.54,15722.94,15721.87,10766.35,10809.49,10819.97,10897.68,11969.5,12041.76
4,18419.43,17868.55,19121.83,19154.15,19053.15,18240.94,19514.86,19519.24,16313.68,16398.68,11326.15,11395.43,11415.56,11497.19,12734.72,12750.71
6,16676.12,17671.96,20459.03,19579.94,16895.51,18796.76,20743.52,19945.88,16956.24,17145.8,12117.61,12658.2,12136.19,12156.26,13539.83,13602.36
8,15273.53,15460.94,15887.64,15335.63,15558.69,16301.05,16181.2,15825.66,16711.51,17152.07,12356.13,12286.2,12270.71,12654.9,13866.45,13838.82
12,11330.64,11300.62,11022.91,11296.83,11184.37,11200.64,10891.85,11107.76,15411.31,15532.59,12263.57,12430.11,12390.52,12521.35,13939.52,14111.27
16,9829.12,9581.66,9521.81,9603.8,9327.35,9347.79,9245.53,9298.31,15153.01,15244.32,12415.86,12509.52,12573.59,12635.33,14132.12,14219.76
24,9140.59,8685.5,8721.28,8772.16,8191.84,7989.62,7986.58,8016.64,15220.83,15396.58,12665.27,12769.25,12807.69,12896.66,14425.73,14535.76
32,25881.05,25930.73,25628.97,25609.53,25546.52,25553.49,25829.78,25787.78,15258.22,15427.06,12817.55,12881.12,12942.86,13019.98,14574.2,14681.13
48,26229.65,26299.6,25967.21,25974.81,25853.06,25855.51,26130.65,26027.55,15224.28,15359.05,12988.3,13069.79,13091.86,13182.9,14784.31,14886.27
64,26374.76,26397.21,26148.12,26138.75,25980.81,26017.77,26249.42,26210.76,14878.85,14985.06,13097.39,13226.93,13173.03,13259.71,14907.4,15029.92
96,26515.13,26551.9,26360.17,26286.52,26182.12,26224.54,26438.27,26357.96,12731.43,12799,12594.01,12628.09,13265.54,13361.71,14625.73,14639.09
128,26609.63,26669.07,26427.66,26400.85,26235.57,26301.48,26520.52,26470.85,13077.27,12934.29,12053.17,12480.14,13182.42,13242.48,14076.64,14095.6
192,26680.73,26706.9,26507.87,26481.44,26292.11,26360.67,26597.59,26519.6,12218.33,12227.05,11693.46,11671.93,13140.76,13117.95,14039.84,14272.03
256,26722.08,26735.83,26568.62,26496.87,26227.11,26370.65,26605.85,26559.6,11636.91,11669.25,11306.02,11210.13,13084.59,13144.93,14140.17,14081.39
384,26734.4,26778.38,26596.08,26542.42,26178.09,26314.66,26644.41,26604,11152.37,11190.52,10947.59,10984.75,13152.64,13224.04,14040.67,14184.18
512,26766.33,26811.48,26612.63,26570.48,26154.07,26302.9,26641.32,26601.82,10959.13,11022.7,10830.71,10834.71,13121.49,13259.53,14088.96,14173.86
768,26760.38,26823.34,26626.46,26564.07,26113.19,26219.38,26698.31,26621.55,10783.19,10845.06,10719.37,10723.61,13232.26,13426.93,14560.2,14672.19
1024,26767.61,26825.2,26631.34,26587.27,26123.34,26202.24,26687.31,26682.93,10770.91,10850.28,10759.81,10813.26,13220.89,13356.29,14727.55,14780.29
1536,26800.52,26834.24,26657.06,26595.84,26131.9,26200.04,26682.72,26695.89,10846.63,10939.81,10860.28,10900.8,13163.25,13333.95,14478.37,14637.92
2048,26808.97,26825.43,26659.27,26597.91,24908.17,24946.76,25166.72,25137.31,10916.23,11028.97,10952.97,11020.71,13289.33,13426.29,14909.27,15067.78
3072,26813.76,26840.74,26676.29,26620.98,24940.03,25000.03,25195.49,25110.57,11189.38,11282.59,11170.71,11210.23,13327.62,13468.2,15122.25,15197.33
4096,26819.28,27126.48,26675.24,26607.37,26456.44,26221.3,27019.43,26865.75,11376.17,11473.76,11201.98,11351.3,13371.86,13467.54,15048.34,15214.41
6144,26815.79,26839.25,26671.61,26606.92,26418.98,26206.36,27014.7,26889.72,12179.23,12383.08,11752.6,11869.06,13355.28,13473.41,15124.61,15223.26
8192,26820.52,26823.63,26650.14,26603.39,24923.82,24970.06,25384.64,25284.45,12566.79,12856.88,11992.8,12166.47,13336.79,13471.87,15104.18,15227.33
12288,26784.75,26807.75,26656.34,26580.74,26293.47,26538.59,27006.78,26830.58,13419.83,13713.95,12349.43,12476.47,13326.45,13454.79,15084.5,15190.87
