Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU8 to GPU0 (pinned),CPU8 to GPU1 (pinned),CPU8 to GPU2 (pinned),CPU8 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU8 (pinned),GPU1 to CPU8 (pinned),GPU2 to CPU8 (pinned),GPU3 to CPU8 (pinned)
0.001953,114.92,115.97,106.93,107.03,104.87,105.23,112.88,113.11,131.27,131.26,123.19,123.6,122.28,121.33,129.15,128.8
0.00293,172.01,172.12,158.07,158.9,157.76,157.64,169.02,168.33,196.52,196.06,183.81,182.26,182.54,182.76,192.46,194.13
0.003906,226.82,225.31,212.03,214.1,207.76,207.89,223.83,219.43,262.22,263.1,244.32,244.31,242.76,242.14,256.3,259.45
0.005859,321.63,320.5,310.61,307.8,305.4,306.23,317.24,318.62,393.41,390.34,366.72,366.19,351.64,353.66,385.49,383.39
0.007812,426.38,423.42,411.83,404.63,400.99,404.23,429.33,420.37,519.93,519.34,487.4,484.29,476.02,473.57,513.64,507.83
0.011719,623.27,632.32,587.35,584.3,576.34,573.91,616.26,614.93,780.37,783.44,730.73,719.91,709.54,703.79,766.13,761.55
0.015625,799.48,803.88,752.03,744.15,744.79,747.71,789.94,789.74,1036.69,1046.2,963.08,951.41,934.17,940.64,1020.44,1023.05
0.023438,1140.62,1094.24,1053.13,1054.75,1032.53,1044.13,1103.98,1099.27,1550.1,1541.13,1389.14,1379.89,1363.83,1322.36,1512.58,1506.85
0.03125,1937.14,1919.18,1801.88,1787.96,1748.35,1762.95,1911.9,1900.85,2069.81,2073.79,1771.54,1754.63,1719.39,1712.23,2016,2005.39
0.046875,2849.72,2713.14,2637.13,2598.1,2543.82,2531.46,2797.67,2733.4,2894.59,2925.3,2530.36,2492.29,2451.11,2466.2,2905,2899.42
0.0625,3603.14,3628.87,3362.93,3348.15,3305.83,3303.21,3548.11,3545.09,3810.74,3844.97,3163.12,3139.76,3097.89,3096.21,3771.42,3782.38
0.09375,5101.76,5064.56,4720.54,4729.35,4603.26,4589.06,5048.47,4994.41,5386.69,5437.62,4239.78,4274.77,4172.79,4203.28,5365.73,5350.72
0.125,6625.68,6608.51,6062.08,5940.5,5972,5905.42,6502.97,6518.22,6806.05,6792,5151.45,5144.03,5065.45,5076.14,6691.29,6730.56
0.1875,8966.57,9030.92,8333.7,8435.31,8225.13,8242.85,9086.5,8901.87,9411.23,9406.51,6553.42,6531.28,6537.66,6581.26,9297.37,9121.42
0.25,11396.27,11339.41,10264.41,10423.18,10320.77,10248.84,11344.04,11281.08,11348.16,11358.99,7508.18,7520.83,7554.7,7616.84,11316.83,11274.47
0.375,15256.93,15142.34,13735.26,13619.52,13256.97,13336.65,15100.27,15195.11,14423.08,14645.01,8962.72,9002.74,8967.22,9010.74,14568.2,14433.62
0.5,18702.08,18231.54,16201.68,16015.37,15994.88,15856.91,17907.67,17856.51,16722.97,16685.02,9858.04,9925.56,9894.13,9921.82,16930.79,16657.78
0.75,22930.87,22738.99,19735.8,19922.96,19661.3,19451.72,22517.79,22553.68,20166.71,20261.51,11057.54,11062.27,11032.17,11100.75,20214,20343.95
1,25432.35,25472.52,22210.87,22282.14,22021.58,22005.59,25490.05,25389.73,22129.28,21900.05,11606.58,11652.57,11641.44,11705.08,22118.51,22156.74
