Transfer Size (MB),GPU1 to GPU0 (peer),GPU0 to GPU1 (peer),GPU3 to GPU2 (peer),GPU2 to GPU3 (peer)
0.001953,146.93,148.22,151.01,150.08
0.00293,217.98,221.43,225.36,225.33
0.003906,290.67,297.14,301.15,298.76
0.005859,438.08,443.79,451.28,451.59
0.007812,578.88,588.87,599.07,599.39
0.011719,871.67,884.57,905.69,887.04
0.015625,1160.16,1182.37,1197.5,1210.02
0.023438,1745.68,1774.36,1819.82,1803.72
0.03125,2342.93,2368.32,2402.18,2398.5
0.046875,3554.91,3556.26,3608.55,3605.77
0.0625,4605.07,4731.62,4817.33,4814.36
0.09375,6937.76,7058.42,7130.36,7180.06
0.125,8598.75,8840.79,8817.1,8854.57
0.1875,11540.59,11616.38,11803.59,11937.35
0.25,13540.59,13999.33,14128.28,14087.68
0.375,17256.45,17419.98,17530.74,17601.5
0.5,19614.77,19722.31,19891,19971.24
0.75,22761.76,22942.8,23119.61,23113.19
1,24875.62,24928.95,25069.57,25092.84
1.5,26512.54,26482.58,26586.32,26699.89
2,28000.62,28050.88,28084.76,28228.65
3,29698.27,29750.1,29821.67,29862.63
4,30626.46,30646.64,30708.99,30740.85
6,31550.88,31578.78,31630.39,31634.06
8,32121.81,32122.32,32144.65,32159.9
12,32658.48,32683.12,32691.76,32708.15
16,32942.15,32967.73,32982.07,32986.43
24,33242.84,33254.4,33262.7,33270.07
32,33390.86,33397.69,33408.05,33414.71
48,33544.01,33549.54,33555.22,33560.68
64,33620.76,33622.17,33626.36,33628.39
96,33696.21,33699.25,33701.85,33702.55
128,33734.05,33737.14,33738.44,33739.7
192,33775.9,33775.71,33777.35,33777.01
256,33788.73,33788.46,33789.54,33789.71
384,33808.37,33808.86,33809.87,33810.96
512,33819.8,33819.85,33820.82,33820.69
768,33830.31,33830.53,33830.48,33830.78
1024,33835.61,33835.85,33835.88,33835.95
1536,33840.97,33841.05,33841.1,33841.41
2048,33843.52,33843.62,33843.69,33844.06
3072,33846.26,33846.28,33846.25,33846.33
4096,33847.64,33847.67,33847.65,33847.66
6144,33725.04,33725.1,33725.07,33725.07
8192,33664.13,33664.13,33664.08,33664.09
12288,33603.35,33603.38,33603.43,33603.43
