Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU1 to GPU0 (pageable),CPU1 to GPU1 (pageable),CPU1 to GPU2 (pageable),CPU1 to GPU3 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU0 to CPU1 (pageable),GPU1 to CPU1 (pageable),GPU2 to CPU1 (pageable),GPU3 to CPU1 (pageable)
0.001953,174.09,111.92,170.5,191.35,107.16,106.73,106.96,108.82,79.66,80.84,80.05,80.79,86.21,85.28,93.73,100.82
0.00293,238.96,241.52,233.53,236.11,201.48,203.13,226.11,229.42,159.63,161.43,160.13,158.36,149.46,143.97,156.27,156.25
0.003906,308.57,312.13,305.53,306.28,284.63,295.97,297.69,302.72,210.52,212.48,207.62,209.41,191.22,192.02,207.34,207.56
0.005859,457.33,457.94,445.07,457.94,440.12,438.02,445.95,443.35,300.65,309.86,295.54,308.7,291.74,292.54,296.89,292.08
0.007812,587.98,600.78,577.55,582.67,548.48,548.4,549.29,569.51,378.49,388.16,386.78,381.6,392.23,396.55,381.99,381.34
0.011719,848.94,844.9,816.47,848.69,807.47,812.22,817.09,826.31,573.27,572.4,567.47,557.53,657.4,649.49,611.56,623.11
0.015625,1137.85,1147.88,1112.65,1131.18,1009.82,1020.64,1017.92,1048.38,735.22,734.5,724.45,729.94,880.98,880.18,839.65,797.6
0.023438,1620.96,1576.9,1600.59,1570.04,1486.59,1480.01,1485.55,1534.47,1040.51,1060.81,1119.86,1126.53,1094.29,1092.4,1003.06,995.27
0.03125,1860.56,1861.12,1825.46,1855.81,1753.84,1790.73,1818.87,1826.74,1377.87,1410.33,1478.38,1477.68,1354.69,1364.09,1282.84,1295.55
0.046875,2403.35,2415.24,2409.65,2340.12,1972.27,1956.22,1989.18,1969.95,1823.72,1692.67,1795.7,1802.68,1479.92,1451.19,1579.56,1920.79
0.0625,2917.43,2933.72,2819.63,2895.93,2722.01,2844.14,2879.26,2733.2,2433.04,2502.8,2622.96,2632.47,2297.54,2315.93,2098.94,2176.03
0.09375,4468.33,4488.44,4405.75,3832.32,4457.28,4477.51,4550.09,4564.93,2868.02,2890.04,3320.58,3157.52,2920.29,2885.15,2931.15,2947.09
0.125,4621.93,4835.96,4588.17,4544.13,5906.26,5884.01,4845.15,4469.23,4031.48,3959.71,4090.98,4088.71,3575.62,3585.87,3417.17,3461.74
0.1875,6369.75,6355.5,6394.73,5789.72,6141.3,6016.17,6279.51,6316.32,5265.82,4991.75,4751.05,4752.01,4766.38,4748.4,4722.33,4399.86
0.25,7076.94,7045.63,7020.3,7017.15,6828.18,6147.49,6259.86,6259.55,6620.94,6585.36,5393.74,5410.44,5226.19,5104.96,5170.63,5266.15
0.375,7144.76,7136.2,7137.55,7132.26,9781.93,9362.59,10246.18,10220.21,8413.35,8369.98,7309.51,6639.75,6463.85,6955.01,6620.53,6664.42
0.5,7690.06,7632.77,7681.2,7660.72,10467.92,10165.29,11233.43,11173.68,9414.25,9361.02,7246.8,7189.8,7817.26,7282.47,7177.21,7181.95
0.75,8919.55,8965.72,8868.18,11513.84,10638.9,11023.09,12326.2,12427.51,8389.64,8364.56,7384.36,9081.88,7664.4,7994.37,7755.55,7762.93
1,13130.94,13240.65,12814.27,12809.84,9835.94,10899.18,13129.22,13140.09,11570.32,11532.3,9594.53,9607.44,8003.65,8272.46,8126.98,8133.32
1.5,15902.3,15917.48,15478.28,15456.75,12003.94,12791.65,15912.92,15963.39,13726.08,13702.51,11826.85,11837.21,9396.73,9401.56,9655.55,9664.64
2,17737.42,17664.1,17392.21,17464.35,12097.6,12665.6,17881.89,17967.68,15439.84,15415.45,12990.39,12977.66,10483.39,10454.89,10831.54,10841.99
3,21356.11,21318.02,20496.98,20562.87,14220.17,16692.63,21341.07,21322.26,17208.94,16952.5,14672.58,14811.08,9225.63,10357.33,12033.69,12053.28
4,22785.66,22752.61,21858.64,21893.46,14789.07,17403.18,22742.13,22735.67,18195.88,18154.42,15777.04,15799.1,11855.19,11784.22,12580.16,12596.56
6,24399.37,24378.45,23406.32,23352.39,15417.7,18201.23,24356.58,24355.49,16903.41,15944.47,16256.68,16589.75,11381.29,11377.08,12821.61,12542.99
8,25251.49,25286.45,24233.54,24236.84,15797.13,18582.7,25248.62,25271.67,12974.56,11907.74,14120.3,14332.88,11496.23,11763.03,13172.39,13057.66
12,26263.38,26245.05,25095.68,25118.95,16127.6,18996.93,26222.06,26235.07,12568.12,11536.49,13893.18,14300.13,11435.87,11335.08,13212.77,13321.67
