transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU8,1,393316689.07
2048,CPU0,CPU8,1,741491672.70
2048,CPU0,CPU8,1,862315789.47
2048,CPU0,CPU8,1,881998277.35
2048,CPU0,CPU8,1,896280087.53
2048,CPU0,CPU8,1,890822096.56
2048,CPU0,CPU8,1,915921288.01
2048,CPU0,CPU8,1,921277552.86
2048,CPU0,CPU8,1,936442615.45
2048,CPU0,CPU8,1,904593639.58
2048,CPU0,CPU8,1,910626945.31
2048,CPU0,CPU8,1,933454876.94
2048,CPU0,CPU8,1,924604966.14
2048,CPU0,CPU8,1,928798185.94
2048,CPU0,CPU8,1,935587026.04
2048,CPU8,CPU0,1,628220858.90
2048,CPU8,CPU0,1,858700209.64
2048,CPU8,CPU0,1,880481513.33
2048,CPU8,CPU0,1,904993371.63
2048,CPU8,CPU0,1,132883467.43
2048,CPU8,CPU0,1,881998277.35
2048,CPU8,CPU0,1,817891373.80
2048,CPU8,CPU0,1,875587858.06
2048,CPU8,CPU0,1,924604966.14
2048,CPU8,CPU0,1,925440578.40
2048,CPU8,CPU0,1,920035938.90
2048,CPU8,CPU0,1,921277552.86
2048,CPU8,CPU0,1,930909090.91
2048,CPU8,CPU0,1,931332423.83
2048,CPU8,CPU0,1,925858951.18
2048,CPU0,CPU8,2,979904306.22
2048,CPU0,CPU8,2,1140947075.21
2048,CPU0,CPU8,2,1183815028.90
2048,CPU0,CPU8,2,1190005810.58
2048,CPU0,CPU8,2,1205414949.97
2048,CPU0,CPU8,2,1172966781.21
2048,CPU0,CPU8,2,1221957040.57
2048,CPU0,CPU8,2,1191390343.22
2048,CPU0,CPU8,2,1222686567.16
2048,CPU0,CPU8,2,1208259587.02
2048,CPU0,CPU8,2,1205414949.97
2048,CPU0,CPU8,2,1219047619.05
2048,CPU0,CPU8,2,1203997648.44
2048,CPU0,CPU8,2,1205414949.97
2048,CPU0,CPU8,2,1199765670.77
2048,CPU8,CPU0,2,728307254.62
2048,CPU8,CPU0,2,884665226.78
2048,CPU8,CPU0,2,923770861.52
2048,CPU8,CPU0,2,944649446.49
2048,CPU8,CPU0,2,920035938.90
2048,CPU8,CPU0,2,946395563.77
2048,CPU8,CPU0,2,974773917.18
2048,CPU8,CPU0,2,950789229.34
2048,CPU8,CPU0,2,970616113.74
2048,CPU8,CPU0,2,927956502.04
2048,CPU8,CPU0,2,974310180.78
2048,CPU8,CPU0,2,923770861.52
2048,CPU8,CPU0,2,974310180.78
2048,CPU8,CPU0,2,927956502.04
2048,CPU8,CPU0,2,922938260.48
2048,CPU0,CPU8,4,701850582.59
2048,CPU0,CPU8,4,789514263.69
2048,CPU0,CPU8,4,883901596.89
2048,CPU0,CPU8,4,895104895.10
2048,CPU0,CPU8,4,994657600.78
2048,CPU0,CPU8,4,978032473.73
2048,CPU0,CPU8,4,949026876.74
2048,CPU0,CPU8,4,906997342.78
2048,CPU0,CPU8,4,1000977517.11
2048,CPU0,CPU8,4,993692382.34
2048,CPU0,CPU8,4,807252660.62
2048,CPU0,CPU8,4,1028112449.80
2048,CPU0,CPU8,4,911437472.19
2048,CPU0,CPU8,4,989371980.68
2048,CPU0,CPU8,4,950789229.34
2048,CPU8,CPU0,4,318655671.39
2048,CPU8,CPU0,4,646873025.90
2048,CPU8,CPU0,4,657463884.43
2048,CPU8,CPU0,4,652853044.31
2048,CPU8,CPU0,4,672136527.73
2048,CPU8,CPU0,4,670815591.22
2048,CPU8,CPU0,4,671695637.91
2048,CPU8,CPU0,4,677024793.39
2048,CPU8,CPU0,4,676801057.50
2048,CPU8,CPU0,4,660858341.40
2048,CPU8,CPU0,4,682211858.76
2048,CPU8,CPU0,4,666883751.22
2048,CPU8,CPU0,4,653686562.40
2048,CPU8,CPU0,4,657463884.43
2048,CPU8,CPU0,4,667100977.20
2048,CPU0,CPU8,8,198719192.70
2048,CPU0,CPU8,8,471780695.69
2048,CPU0,CPU8,8,529609516.42
2048,CPU0,CPU8,8,575280898.88
2048,CPU0,CPU8,8,488316642.82
2048,CPU0,CPU8,8,621170761.30
2048,CPU0,CPU8,8,426488962.93
2048,CPU0,CPU8,8,486807701.45
2048,CPU0,CPU8,8,454605993.34
2048,CPU0,CPU8,8,565589616.13
2048,CPU0,CPU8,8,523116219.67
2048,CPU0,CPU8,8,569997216.81
2048,CPU0,CPU8,8,570791527.31
2048,CPU0,CPU8,8,475615420.34
2048,CPU0,CPU8,8,472542685.74
2048,CPU8,CPU0,8,727011.72
2048,CPU8,CPU0,8,729198.01
2048,CPU8,CPU0,8,717887.92
2048,CPU8,CPU0,8,731845.99
2048,CPU8,CPU0,8,731454.96
2048,CPU8,CPU0,8,729629.25
2048,CPU8,CPU0,8,728207.29
2048,CPU8,CPU0,8,730239.58
2048,CPU8,CPU0,8,728982.06
2048,CPU8,CPU0,8,730314.32
2048,CPU8,CPU0,8,490888.60
2048,CPU8,CPU0,8,727465.44
2048,CPU8,CPU0,8,733130.48
2048,CPU8,CPU0,8,1492550.37
2048,CPU8,CPU0,8,745977.80
2048,CPU0,CPU8,16,3191005.35
2048,CPU0,CPU8,16,360499911.99
2048,CPU0,CPU8,16,404343534.06
2048,CPU0,CPU8,16,348833248.17
2048,CPU0,CPU8,16,392788645.95
2048,CPU0,CPU8,16,365453247.68
2048,CPU0,CPU8,16,414323285.45
2048,CPU0,CPU8,16,316782675.95
2048,CPU0,CPU8,16,357604330.36
2048,CPU0,CPU8,16,317864348.91
2048,CPU0,CPU8,16,460121321.05
2048,CPU0,CPU8,16,312337959.43
2048,CPU0,CPU8,16,316831683.17
2048,CPU0,CPU8,16,394833236.94
2048,CPU0,CPU8,16,338456453.48
2048,CPU8,CPU0,16,235192.49
2048,CPU8,CPU0,16,709633.20
2048,CPU8,CPU0,16,730021.98
2048,CPU8,CPU0,16,729840.13
2048,CPU8,CPU0,16,730715.34
2048,CPU8,CPU0,16,730646.26
2048,CPU8,CPU0,16,728513.48
2048,CPU8,CPU0,16,724069.70
2048,CPU8,CPU0,16,727680.24
2048,CPU8,CPU0,16,729212.29
2048,CPU8,CPU0,16,820427.69
2048,CPU8,CPU0,16,462929475.59
2048,CPU8,CPU0,16,524590163.93
2048,CPU8,CPU0,16,578694546.48
2048,CPU8,CPU0,16,575119348.50
3072,CPU0,CPU8,1,1135674676.52
3072,CPU0,CPU8,1,1217598097.50
3072,CPU0,CPU8,1,1231756214.92
3072,CPU0,CPU8,1,1275747508.31
3072,CPU0,CPU8,1,1276277523.89
3072,CPU0,CPU8,1,1288050314.47
3072,CPU0,CPU8,1,1257470323.37
3072,CPU0,CPU8,1,1287510477.79
3072,CPU0,CPU8,1,1296749683.41
3072,CPU0,CPU8,1,1318454935.62
3072,CPU0,CPU8,1,1303904923.60
3072,CPU0,CPU8,1,1288050314.47
3072,CPU0,CPU8,1,1300592718.04
3072,CPU0,CPU8,1,1297845373.89
3072,CPU0,CPU8,1,1307234042.55
3072,CPU8,CPU0,1,1061139896.37
3072,CPU8,CPU0,1,1174760994.26
3072,CPU8,CPU0,1,1229783827.06
3072,CPU8,CPU0,1,1265238879.74
3072,CPU8,CPU0,1,1297845373.89
3072,CPU8,CPU0,1,1293473684.21
3072,CPU8,CPU0,1,1287510477.79
3072,CPU8,CPU0,1,1301694915.25
3072,CPU8,CPU0,1,1282136894.82
3072,CPU8,CPU0,1,1301143583.23
