transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU8,1,417448022.83
2048,CPU0,CPU8,1,912655971.48
2048,CPU0,CPU8,1,968321513.00
2048,CPU0,CPU8,1,1024000000.00
2048,CPU0,CPU8,1,1039593908.63
2048,CPU0,CPU8,1,1016881827.21
2048,CPU0,CPU8,1,1024000000.00
2048,CPU0,CPU8,1,1025025025.03
2048,CPU0,CPU8,1,1028112449.80
2048,CPU0,CPU8,1,1045431342.52
2048,CPU0,CPU8,1,1077894736.84
2048,CPU0,CPU8,1,1041179461.11
2048,CPU0,CPU8,1,1068335941.58
2048,CPU0,CPU8,1,1055126223.60
2048,CPU0,CPU8,1,1045431342.52
2048,CPU8,CPU0,1,711111111.11
2048,CPU8,CPU0,1,945521698.98
2048,CPU8,CPU0,1,976633285.65
2048,CPU8,CPU0,1,995140913.51
2048,CPU8,CPU0,1,981783317.35
2048,CPU8,CPU0,1,1001466992.67
2048,CPU8,CPU0,1,1031218529.71
2048,CPU8,CPU0,1,1011358024.69
2048,CPU8,CPU0,1,993692382.34
2048,CPU8,CPU0,1,1031218529.71
2048,CPU8,CPU0,1,1017892644.14
2048,CPU8,CPU0,1,1028628829.73
2048,CPU8,CPU0,1,1024000000.00
2048,CPU8,CPU0,1,1042239185.75
2048,CPU8,CPU0,1,1034866093.99
2048,CPU0,CPU8,2,840377513.34
2048,CPU0,CPU8,2,996593673.97
2048,CPU0,CPU8,2,1040121889.28
2048,CPU0,CPU8,2,1004413928.40
2048,CPU0,CPU8,2,1019412643.11
2048,CPU0,CPU8,2,1040650406.50
2048,CPU0,CPU8,2,1040121889.28
2048,CPU0,CPU8,2,1029145728.64
2048,CPU0,CPU8,2,1048643113.16
2048,CPU0,CPU8,2,1033299697.28
2048,CPU0,CPU8,2,1055126223.60
2048,CPU0,CPU8,2,981783317.35
2048,CPU0,CPU8,2,1008370260.96
2048,CPU0,CPU8,2,986512524.08
2048,CPU0,CPU8,2,995624696.16
2048,CPU8,CPU0,2,848384424.19
2048,CPU8,CPU0,2,915511846.22
2048,CPU8,CPU0,2,948587308.94
2048,CPU8,CPU0,2,995624696.16
2048,CPU8,CPU0,2,962406015.04
2048,CPU8,CPU0,2,977099236.64
2048,CPU8,CPU0,2,933454876.94
2048,CPU8,CPU0,2,976167778.84
2048,CPU8,CPU0,2,977565632.46
2048,CPU8,CPU0,2,945521698.98
2048,CPU8,CPU0,2,941176470.59
2048,CPU8,CPU0,2,946395563.77
2048,CPU8,CPU0,2,962858486.13
2048,CPU8,CPU0,2,980842911.88
2048,CPU8,CPU0,2,971076339.50
2048,CPU0,CPU8,4,772830188.68
2048,CPU0,CPU8,4,897065265.00
2048,CPU0,CPU8,4,1016881827.21
2048,CPU0,CPU8,4,850498338.87
2048,CPU0,CPU8,4,910222222.22
2048,CPU0,CPU8,4,1056214543.58
2048,CPU0,CPU8,4,988416988.42
2048,CPU0,CPU8,4,1024000000.00
2048,CPU0,CPU8,4,792569659.44
2048,CPU0,CPU8,4,1010858835.14
2048,CPU0,CPU8,4,1068893528.18
2048,CPU0,CPU8,4,973846885.40
2048,CPU0,CPU8,4,1003429691.33
