# Strides,GPU0:GPU1 Traversal Time (us) [managed],GPU0:GPU2 Traversal Time (us) [managed],GPU0:GPU3 Traversal Time (us) [managed],GPU0:GPU4 Traversal Time (us) [managed],GPU0:GPU5 Traversal Time (us) [managed],GPU0:GPU6 Traversal Time (us) [managed],GPU0:GPU7 Traversal Time (us) [managed],GPU0:CPU0 Traversal Time (us) [managed],GPU0:CPU1 Traversal Time (us) [managed],GPU1:GPU0 Traversal Time (us) [managed],GPU1:GPU2 Traversal Time (us) [managed],GPU1:GPU3 Traversal Time (us) [managed],GPU1:GPU4 Traversal Time (us) [managed],GPU1:GPU5 Traversal Time (us) [managed],GPU1:GPU6 Traversal Time (us) [managed],GPU1:GPU7 Traversal Time (us) [managed],GPU1:CPU0 Traversal Time (us) [managed],GPU1:CPU1 Traversal Time (us) [managed],GPU2:GPU0 Traversal Time (us) [managed],GPU2:GPU1 Traversal Time (us) [managed],GPU2:GPU3 Traversal Time (us) [managed],GPU2:GPU4 Traversal Time (us) [managed],GPU2:GPU5 Traversal Time (us) [managed],GPU2:GPU6 Traversal Time (us) [managed],GPU2:GPU7 Traversal Time (us) [managed],GPU2:CPU0 Traversal Time (us) [managed],GPU2:CPU1 Traversal Time (us) [managed],GPU3:GPU0 Traversal Time (us) [managed],GPU3:GPU1 Traversal Time (us) [managed],GPU3:GPU2 Traversal Time (us) [managed],GPU3:GPU4 Traversal Time (us) [managed],GPU3:GPU5 Traversal Time (us) [managed],GPU3:GPU6 Traversal Time (us) [managed],GPU3:GPU7 Traversal Time (us) [managed],GPU3:CPU0 Traversal Time (us) [managed],GPU3:CPU1 Traversal Time (us) [managed],GPU4:GPU0 Traversal Time (us) [managed],GPU4:GPU1 Traversal Time (us) [managed],GPU4:GPU2 Traversal Time (us) [managed],GPU4:GPU3 Traversal Time (us) [managed],GPU4:GPU5 Traversal Time (us) [managed],GPU4:GPU6 Traversal Time (us) [managed],GPU4:GPU7 Traversal Time (us) [managed],GPU4:CPU0 Traversal Time (us) [managed],GPU4:CPU1 Traversal Time (us) [managed],GPU5:GPU0 Traversal Time (us) [managed],GPU5:GPU1 Traversal Time (us) [managed],GPU5:GPU2 Traversal Time (us) [managed],GPU5:GPU3 Traversal Time (us) [managed],GPU5:GPU4 Traversal Time (us) [managed],GPU5:GPU6 Traversal Time (us) [managed],GPU5:GPU7 Traversal Time (us) [managed],GPU5:CPU0 Traversal Time (us) [managed],GPU5:CPU1 Traversal Time (us) [managed],GPU6:GPU0 Traversal Time (us) [managed],GPU6:GPU1 Traversal Time (us) [managed],GPU6:GPU2 Traversal Time (us) [managed],GPU6:GPU3 Traversal Time (us) [managed],GPU6:GPU4 Traversal Time (us) [managed],GPU6:GPU5 Traversal Time (us) [managed],GPU6:GPU7 Traversal Time (us) [managed],GPU6:CPU0 Traversal Time (us) [managed],GPU6:CPU1 Traversal Time (us) [managed],GPU7:GPU0 Traversal Time (us) [managed],GPU7:GPU1 Traversal Time (us) [managed],GPU7:GPU2 Traversal Time (us) [managed],GPU7:GPU3 Traversal Time (us) [managed],GPU7:GPU4 Traversal Time (us) [managed],GPU7:GPU5 Traversal Time (us) [managed],GPU7:GPU6 Traversal Time (us) [managed],GPU7:CPU0 Traversal Time (us) [managed],GPU7:CPU1 Traversal Time (us) [managed],CPU0:GPU0 Traversal Time (us) [managed],CPU0:GPU1 Traversal Time (us) [managed],CPU0:GPU2 Traversal Time (us) [managed],CPU0:GPU3 Traversal Time (us) [managed],CPU0:GPU4 Traversal Time (us) [managed],CPU0:GPU5 Traversal Time (us) [managed],CPU0:GPU6 Traversal Time (us) [managed],CPU0:GPU7 Traversal Time (us) [managed],CPU1:GPU1 Traversal Time (us) [managed],CPU1:GPU2 Traversal Time (us) [managed],CPU1:GPU3 Traversal Time (us) [managed],CPU1:GPU4 Traversal Time (us) [managed],CPU1:GPU5 Traversal Time (us) [managed],CPU1:GPU6 Traversal Time (us) [managed],CPU1:GPU7 Traversal Time (us) [managed]
4,154.83,193.6,217.02,202.67,293.89,288.46,296.94,117.53,119.68,208.33,214.96,210.12,286.39,205.99,279.37,294.88,120.35,119.86,202.41,210.03,219.5,278.24,281.1,195.97,269.73,122.52,120.85,217.79,210.79,204.07,276.1,275.46,291.36,205.98,122.25,121.13,201.78,290.84,294.85,284.4,210.44,196.28,201.8,118.9,117.72,297.99,212.93,291.47,289.11,211.59,193.35,198.53,124.38,121.77,293.94,300.4,210.15,292.51,189.85,194.08,196.83,122.61,118.18,289.97,300.02,291.42,215.96,202.57,194.68,202.97,119.71,120.4,177.25,179.76,174.91,188.37,204.37,203.34,196.14,203.81,195.81,186.79,193.27,204.25,197.53,226.32,195.2
5,242.2,245.16,236.65,231.62,317.25,355.88,335.65,153.43,154.17,252.78,252.63,247.01,311.84,230.72,342.96,335.66,146.13,152.45,243.19,252.47,256.61,327.58,318.45,231.59,342.27,149.51,152.08,256.75,247.05,238.87,351.79,341,347.32,240.5,151.77,154.16,245.96,358.51,353.03,331.63,247.28,231.62,232.69,150.87,147.41,342.02,259.05,350.96,345.45,239.19,230.22,246.45,151.92,148.98,343.07,349.71,257.09,339.35,234.18,242.89,243.15,156.09,147.78,351.34,350.51,355.39,242.58,242.34,248.57,231.43,153.34,150.06,215.81,221.32,221.24,219.52,235.54,235.37,223.69,234.31,239.6,254.62,256.83,228.59,230.82,227.31,222.81
6,277.42,277.45,321.31,275.17,375.65,394.25,400.75,168.05,175.57,276.11,281.45,278.78,384.69,260.18,392.64,399.32,167.79,172.96,278.62,277.83,279.06,398.67,366.8,264.48,389.37,171.66,174.63,279.56,273.9,270.81,380.89,367.05,377.99,289.87,174.61,175.69,275.19,404.72,397.13,381.01,309.42,265.09,260.85,174.05,179.79,375.51,292.18,397.71,380.38,269.54,270.79,264.74,173.22,174.24,401.11,396.68,290.29,392.42,280.33,270.37,267.23,171.35,175.92,390.74,397.91,393,286.42,279.21,267.89,272.15,172.85,171.35,245.59,245.87,242.81,245.69,269.47,268.04,276.51,274.53,291.86,296.61,272.13,263.49,258.98,254.4,266.78
7,312.73,305.65,300.71,316.09,420.45,468.36,438.31,192.8,205.07,313.41,316.24,320.45,423.98,295.96,403.97,427.61,205.55,204.47,301.91,319.34,331.16,420.59,416.86,307.68,436.97,205.94,203.95,316.05,323.59,306.64,486.58,407.66,477.37,310.44,204.13,203.97,321.05,456.38,456.62,442.39,301.59,318.96,303.71,204.11,210.91,452.95,336.61,454.85,454.06,325,295.68,307.28,209.49,211.01,460.86,452.2,322.87,438.6,322.17,319.19,286.15,207.17,211.52,453.26,443.8,452.38,313.92,297.31,292.48,313.21,205.4,198.25,286.76,285.51,284.05,288.02,283.08,281.38,312.55,330.29,332.89,326.58,307.71,264.46,270,272.46,311.72
8,341.53,374.12,379.11,326.18,493.62,528.05,496.13,220.16,220,348.96,344.2,341.46,459.73,337.17,473.66,513.42,220.9,224.68,336.32,348.08,337.14,495.27,472.77,344.22,482.56,226.8,220.01,338.38,338.29,354.79,499.91,510.54,475.1,346.14,225.62,216.62,349.24,491.97,502.88,483.09,331.83,347.78,345.67,226.22,239.48,497.14,341.66,496.17,482.43,333.9,333.75,327.06,226.57,229.9,496.19,505.87,341.01,482.08,336.34,336.85,324.22,220.37,224.7,497.61,492.02,498.01,353.28,349.83,352.39,352.81,228.87,231.95,316.74,317.38,311.49,313.04,341.61,337.85,326.96,338.12,361.52,348.15,362.12,331.13,323.38,343.78,329.52
9,360.52,433.35,433.1,390.4,537.2,553.35,562.71,259.93,253.63,380.14,388.1,403.16,486.79,391.38,528.78,531.96,269.87,255.87,381.84,398.51,397.81,572.33,561.38,396.42,576.24,260.2,256.05,398.95,401.26,397.28,539.68,552.81,542.87,378.92,257.88,254.81,385.45,551.5,558.41,522.2,373.15,405.97,397.51,256.23,259.59,562.78,380.63,561.88,532.31,407.33,399.02,412.71,255.52,268.5,555.36,556.64,392.06,545.57,401.6,389.11,417.54,256.19,253.23,538.73,573.06,549.01,391.65,397.73,399.72,391.08,256.06,267.7,347.58,346.68,346.26,348.58,377.63,375.67,362.04,369.86,367.59,392.99,407.68,358.76,387.66,348.28,360.34
10,404.9,432.99,477.93,423.08,603.31,617.74,615.59,280.71,276.04,405.95,440.3,453.37,588.01,440.34,589.48,594.12,277.88,275.92,432.13,430.75,469.51,626.66,607.65,411.48,609.14,286.82,274.24,422.98,444.62,425.32,646.66,608.14,632.61,417.05,292.07,275.31,404.33,612.29,587.39,594.75,421.62,412,441.98,277.53,278.87,608.78,425.48,608.2,572.51,410.92,436.54,439.2,267.39,278.08,618.84,608.74,413.69,602.05,431.45,422.97,384.89,271.95,270.77,602.83,631.31,575.91,407.88,419.74,395.18,423.23,280.06,283.16,378.01,347.53,352.45,361.5,410.13,375.13,370.67,419.87,410.72,381.32,391.28,369.52,388.16,361.58,386.39
11,456.33,445.22,462.13,437.1,635.18,682.28,677.74,325.65,304.73,457.29,463.4,452.31,658.71,468.33,664.96,675.18,322.59,308.72,441.03,438.52,449.88,671.29,643.3,464.25,671.35,303.57,305.56,449.45,435.16,467.5,682.54,672.63,673.59,475.05,319.54,303.74,458.65,711.98,684.26,685.6,436.8,443.3,469.36,307.74,319.81,681.73,455.37,642.52,642.91,444.54,436.17,444.3,307.95,320.91,680.31,662.43,453.8,625.92,425.63,436.21,437.23,308.23,321.11,705.7,644.02,668.05,444.19,461.3,470,442.7,315.13,312.53,416.76,412.04,407.95,422.65,457.41,460.05,441.74,444,413.77,441.9,469.96,423.66,414.28,410.08,424.66
12,472.77,496.09,501.84,509.1,721.09,722.57,738.93,329.2,324.44,506.62,498.16,504.2,704.67,500.16,717.46,727.59,324.2,325.82,531.03,501.4,520.58,724.86,714.67,478.05,723.72,346.04,325.53,527.4,510,513.4,736.6,713.12,734.54,488.29,345.67,323.72,513.27,720.11,741.23,704.73,450.58,475.35,493.23,328.52,353.24,740.28,492.14,724.61,714.2,472.57,505.62,503.35,327.59,332.79,705.16,741.82,464.26,728.94,487.2,480.24,509.6,329.38,337.86,731.47,718.75,700.07,481.5,469.19,488.12,502.5,324.54,332.52,443.44,437.11,450.68,417.35,516.24,470.61,498.18,494.65,441.03,451.93,467.84,419.59,426.39,433.64,447.88
13,526.77,525.72,544.87,533.84,763.22,765.26,768.15,376.21,356.49,512.45,518.73,521.73,766.03,514.76,774.64,793.38,373.09,357.24,521.39,537.66,517.56,745.49,738.31,511,792.07,360.31,354.24,519.88,529.55,521.46,798.45,752.77,773.83,528.66,363.84,354.15,520.55,805.45,792.09,740.34,501.75,503.01,543.01,361.35,370.25,795.22,505.73,772.78,777.84,515.34,531.82,494.14,361.65,367.89,783.83,792.83,530.64,805.3,501.15,503.01,534.06,366.26,371.79,807.19,777.84,762.9,511.35,525.39,540.45,541.49,356.99,365.86,467.18,503.8,522.33,485.11,532.4,530.84,494.5,543.76,497.25,510.66,507.4,470.45,465.57,475.38,437.88
