transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU1,1,913062862.24
2048,CPU0,CPU1,1,1429169574.32
2048,CPU0,CPU1,1,2235807860.26
2048,CPU0,CPU1,1,2293393057.11
2048,CPU0,CPU1,1,1880624426.08
2048,CPU0,CPU1,1,2169491525.42
2048,CPU0,CPU1,1,2176408076.51
2048,CPU0,CPU1,1,2185699039.49
2048,CPU0,CPU1,1,2178723404.26
2048,CPU0,CPU1,1,2230936819.17
2048,CPU0,CPU1,1,2192719486.08
2048,CPU0,CPU1,1,2185699039.49
2048,CPU0,CPU1,1,2216450216.45
2048,CPU0,CPU1,1,2206896551.72
2048,CPU0,CPU1,1,2199785177.23
2048,CPU1,CPU0,1,1253365973.07
2048,CPU1,CPU0,1,1828571428.57
2048,CPU1,CPU0,1,2473429951.69
2048,CPU1,CPU0,1,2473429951.69
2048,CPU1,CPU0,1,111274110.30
2048,CPU1,CPU0,1,2398126463.70
2048,CPU1,CPU0,1,118047149.69
2048,CPU1,CPU0,1,2632390745.50
2048,CPU1,CPU0,1,2560000000.00
2048,CPU1,CPU0,1,2432304038.00
2048,CPU1,CPU0,1,86486486.49
2048,CPU1,CPU0,1,2572864321.61
2048,CPU1,CPU0,1,110684753.82
2048,CPU1,CPU0,1,2378629500.58
2048,CPU1,CPU0,1,2403755868.54
2048,CPU0,CPU1,2,604843473.12
2048,CPU0,CPU1,2,1051874678.99
2048,CPU0,CPU1,2,1419265419.27
2048,CPU0,CPU1,2,1425191370.91
2048,CPU0,CPU1,2,1509211495.95
2048,CPU0,CPU1,2,1177688326.62
2048,CPU0,CPU1,2,1455579246.62
2048,CPU0,CPU1,2,1317889317.89
2048,CPU0,CPU1,2,1399863294.60
2048,CPU0,CPU1,2,1272049689.44
2048,CPU0,CPU1,2,1454545454.55
2048,CPU0,CPU1,2,1322997416.02
2048,CPU0,CPU1,2,1434173669.47
2048,CPU0,CPU1,2,1321290322.58
2048,CPU0,CPU1,2,1487291212.78
2048,CPU1,CPU0,2,455212269.39
2048,CPU1,CPU0,2,821829855.54
2048,CPU1,CPU0,2,1545660377.36
2048,CPU1,CPU0,2,1600000000.00
