Transfer Size (MB),CPU0 to GPU0 (pageable),CPU0 to GPU1 (pageable),CPU0 to GPU2 (pageable),CPU0 to GPU3 (pageable),CPU0 to GPU4 (pageable),CPU0 to GPU5 (pageable),CPU0 to GPU6 (pageable),CPU0 to GPU7 (pageable),CPU1 to GPU0 (pageable),CPU1 to GPU1 (pageable),CPU1 to GPU2 (pageable),CPU1 to GPU3 (pageable),CPU1 to GPU4 (pageable),CPU1 to GPU5 (pageable),CPU1 to GPU6 (pageable),CPU1 to GPU7 (pageable),GPU0 to CPU0 (pageable),GPU1 to CPU0 (pageable),GPU2 to CPU0 (pageable),GPU3 to CPU0 (pageable),GPU4 to CPU0 (pageable),GPU5 to CPU0 (pageable),GPU6 to CPU0 (pageable),GPU7 to CPU0 (pageable),GPU0 to CPU1 (pageable),GPU1 to CPU1 (pageable),GPU2 to CPU1 (pageable),GPU3 to CPU1 (pageable),GPU4 to CPU1 (pageable),GPU5 to CPU1 (pageable),GPU6 to CPU1 (pageable),GPU7 to CPU1 (pageable)
0.001953,183.12,200.26,202.31,199.3,194.3,194.05,195.63,183.03,184.08,185.64,182.28,183.46,181.48,185.78,192.05,182.45,149.07,145.69,147.33,145.84,141.24,140.77,144.12,142.83,136.28,134.88,136.7,136.3,141.96,139.98,144.79,139.66
0.00293,272.23,276.28,288.75,285.29,279.31,275.09,292.27,279.04,268.66,257.26,245.96,264.13,270.59,265.11,287.28,269.4,222.62,218.28,220.08,222.42,215.88,212.25,215.15,213.02,197.17,203.78,204.2,206.86,198.96,211.64,211.87,194.12
0.003906,353.28,362.09,367.89,366.65,352.9,357,363.44,351.44,351.79,329.34,337.85,332.08,347.38,344.35,358.37,345.59,289.05,291.64,290.9,295.7,281.45,278.86,285.46,282.55,267.48,262.99,265.71,267.68,283.76,277.41,284.53,283.21
0.005859,524.28,535.4,540.28,533.25,517.16,505.77,521.16,515.2,509.78,496.68,508.63,497.02,504.77,514.7,526.59,515.79,435.09,434.32,428.5,436.55,404.26,392.69,418.71,405.77,385.84,380.5,384.62,381.05,407.5,420,425.24,412.54
0.007812,609.88,661.8,661.01,657.56,641.37,636.46,673.38,645.77,641,621.27,634.03,613.51,612.65,621.87,660.34,619.06,550.1,548.52,556.8,539.87,522.23,483.66,530.13,520.11,500.87,488.92,500.58,492.68,539.8,517.42,547.94,538.72
0.011719,860.72,932.8,938.18,930.5,864.34,901.72,929.25,903.04,889.6,826.08,863.71,842.29,879.46,858.01,880.12,874.79,820.81,811.32,812.62,812.84,738.1,732.74,764.63,747.42,697.88,679.39,705.35,697.13,780.63,788.72,781.04,789.04
0.015625,1062.13,1146.2,1132.16,1137.69,1095.72,1110.99,1129.87,1103.38,1029.18,1014.02,1025.94,1024.93,1038.76,1052.61,1079.75,1043.34,1010.35,1023.65,1032.24,1016.39,945.88,928.35,971.58,949.85,872.56,865.12,882.02,839.33,988.99,915.4,1010.74,985
0.023438,1364.87,1456.29,1471.28,1498.18,1432.61,1438.24,1507.04,1418.91,1439.3,1362.49,1330.32,1356.81,1354.22,1362.72,1416.76,1350.79,1427.11,1276.07,1437.44,1441.69,1248.54,1264.57,1277.67,1297.25,1203.28,1162,1166.92,1176.76,1376.89,1373.59,1395.59,1335.39
0.03125,1569.96,1714.21,1723.57,1675.87,1716.84,1630.41,1701.51,1698.74,1678.12,1596.83,1647.42,1583.24,1601.41,1613.99,1652.83,1609.08,1768.73,1767.13,1753.84,1773.25,1554.65,1549.48,1577.17,1511.19,1395.59,1427.79,1423.24,1449.71,1668.54,1693.86,1753.25,1677.04
0.046875,1948.09,2086.39,2105.8,2097.41,2092.54,2025.63,2137.19,2101.92,2101.08,1944.62,1876.2,1902.55,1918.9,1884.57,1928.54,1956.14,2311.85,2304.91,2268.99,2317.1,1983.88,1954.26,2040.53,2053.4,1785.99,1834.14,1811.38,1804.62,2226.1,2255.45,2279.47,2257.4
0.0625,2155.1,2384.22,2378.87,2370.75,2325.58,2377.33,2479.27,2332.61,2294.76,2106.86,2102.47,2078.28,2111.56,2142.76,2159.49,2133.76,2702.94,2699.78,2704.11,2739.67,2365.45,2146.73,2306.27,2275.71,2036.89,2123.68,1994.64,2057.95,2688.06,2651.9,2684.02,2644.94
0.09375,3342.13,3367.34,3428.92,3446.82,3296.07,3304.9,3349.89,3373.39,3307.7,3207.76,3365.52,3309.91,3327.89,3274.08,3337.84,3339.51,3290.97,3298.15,3292.94,3319.52,2633.65,2586.49,2700.41,2602.43,2346.39,2367.36,2394.76,2310.19,3272.25,3231.64,3286.82,3211.06
