Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU0 to GPU4 (pinned),CPU0 to GPU5 (pinned),CPU0 to GPU6 (pinned),CPU0 to GPU7 (pinned),CPU1 to GPU0 (pinned),CPU1 to GPU1 (pinned),CPU1 to GPU2 (pinned),CPU1 to GPU3 (pinned),CPU1 to GPU4 (pinned),CPU1 to GPU5 (pinned),CPU1 to GPU6 (pinned),CPU1 to GPU7 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU4 to CPU0 (pinned),GPU5 to CPU0 (pinned),GPU6 to CPU0 (pinned),GPU7 to CPU0 (pinned),GPU0 to CPU1 (pinned),GPU1 to CPU1 (pinned),GPU2 to CPU1 (pinned),GPU3 to CPU1 (pinned),GPU4 to CPU1 (pinned),GPU5 to CPU1 (pinned),GPU6 to CPU1 (pinned),GPU7 to CPU1 (pinned)
0.001953,186.81,191,194.75,196.63,188.09,188.16,190.88,189.83,186.79,181.11,183.72,174.95,186.87,183,188.38,187.05,236.14,233.77,235.06,234.38,220.89,226.9,228.33,228.62,219.87,220.22,221.67,220.12,225.17,224.73,227.93,227.35
0.00293,272.12,289.18,290.18,288.81,272.12,276.1,277.54,274.34,271.19,270.07,274.03,274.32,268.04,276.44,278.65,278.28,352.59,350.57,352.42,350.78,341.57,338.93,343.42,342.61,332.58,330.11,328.48,329.22,339.56,335.93,341.81,338.11
0.003906,348.93,365.21,370.86,357.45,350.37,347.96,359.66,351.76,348.9,331.23,345.04,335.21,342.35,341.28,341.57,345.17,470.8,465.36,471.88,466.2,439.6,448.07,457.41,454.59,433.93,437.82,438.66,438.17,449.67,443.59,449.1,448.89
0.005859,518.44,531.41,535.3,532.43,513.08,515.79,519.91,508.54,514.21,497.99,498.92,491.93,510.18,510.98,511.02,511.87,668.88,660.66,689.01,660.58,651.69,645.16,648.88,653,642.76,626.14,627.68,625.87,644.74,636.75,643.82,644.17
0.007812,632.49,680.47,682.31,680.06,644.06,650.55,657.45,650.88,648.82,630.91,633.67,629.43,625,643.75,645.82,653.22,884.97,879.69,884.67,884.57,867.67,863.16,870.67,869.31,839.96,833.96,835.03,828.03,856.73,849.74,855.23,857.1
0.011719,889,937.13,922.01,924.48,904.92,899.44,916.24,905.48,896,849,851.78,855.7,873.04,866,880.45,875.06,1257.24,1247.21,1292.6,1277.11,1240.34,1226.97,1234.98,1236.94,1189.6,1180.49,1196.77,1213.75,1214.63,1203.4,1266.89,1222.49
0.015625,1083.87,1132.82,1131.18,1141.26,1100.35,1092.28,1108,1125.72,1118.15,1038.69,1069.18,1050.7,1063.79,1074.25,1078.78,1094.8,1681.92,1654.31,1680.47,1665.6,1622.2,1625.23,1639.04,1625.4,1580.2,1579.08,1583.24,1576.37,1619.17,1598.79,1607.18,1608.01
0.023438,1369.17,1496.36,1505.59,1491.6,1452.41,1438.94,1473.22,1442.31,1411.98,1404.7,1349.46,1358.93,1363.28,1400.84,1388.23,1378.35,2279.03,2323.77,2341.17,2343.05,2238.32,2201.32,2229.59,2231.72,2210.04,2188.78,2213.38,2229.17,2210.04,2187.15,2279.25,2205.05
0.03125,2653.03,2601.13,2614.41,2608.73,2569.9,2542.51,2579.02,2574.98,2495.41,2503.61,2495.61,2497.4,2544.37,2526.27,2542.72,2561.69,2897.27,2868.55,2874.89,2880.72,2840.39,2811.52,2821.93,2842.46,2732.36,2718.1,2736.67,2737.15,2802.19,2787.44,2810.25,2812.02
0.046875,3489.28,3474.8,3479.18,3485.39,3418.79,3401.67,3425.78,3455.84,3300.36,3326.12,3350.37,3350.85,3408.35,3387.17,3445.17,3410.83,3949.03,3915.39,3917.68,3906.9,3757.21,3794.62,3859.3,3735.06,3736.55,3738.93,3762.04,3732.38,3714.93,3789.41,3855.17,3724.38
0.0625,4180.88,4242.75,4235.85,4201.68,4111.3,4082.57,4107.25,4137.98,4007.18,3987.24,4004.1,4054.49,4075.64,4062.13,4071.93,4071.13,4688.32,4648.57,4659.31,4628.94,4592.21,4572.06,4598.63,4608.8,4508.73,4479.32,4499.96,4483.82,4579.76,4555.39,4553.73,4579.43
0.09375,5322.17,5313.42,5330.95,5338.53,5169.28,5109.55,5148.84,5155.35,5056.91,5093.45,5029.78,5053.09,5133.05,5197.94,5258.58,5159.04,5919.68,5861.21,5913.33,5888.08,5785.25,5725.89,5809.99,5793.47,5715.77,5662.6,5700.47,5693.55,5605.38,5738.16,5788.82,5757.18
0.125,6077.11,6029.91,6066.19,6089.24,5892.06,5916.32,5993.77,5915.76,5794.55,5874.06,5853.43,5805.85,5920.8,5945.3,5909.89,5919.4,6690.22,6695.23,6765.17,6727.66,6583.45,6601.88,6674.5,6639.05,6549.65,6515.17,6569.96,6526.39,6525.37,6622.87,6635.17,6567.89
0.1875,7011.97,6999.66,7032.74,7047.55,6890.6,6928.02,6970.26,6991.57,6925.21,6826.12,6878.46,6917.54,6854.57,6903.28,6911.93,6872.41,7842.56,7774.92,7821.63,7795.29,7773.31,7686.95,7736.74,7755.63,7669.65,7668.08,7635.3,7605.26,7762.69,7667.14,7764.94,7698.31
0.25,7577.82,7584.03,7608.27,7639.19,7604.79,7552.64,7567.5,7622.88,7561.78,7549.9,7486.82,7514.28,7552.41,7515.41,7550.13,7487.94,8630.51,8559.3,8599.34,8589.29,8502.82,8498.78,8486.66,8512.67,8438.53,8407.04,8440.24,8435.69,8414.39,8443.09,8531.84,8486.66
0.375,8322.98,8292.97,8325.75,8297.19,8353.01,8363.07,8457.57,8382.89,8362.32,8315.96,8325.19,8365.87,8233.62,8251.73,8233.25,8225.67,9497.04,9481.91,9437.52,9442.28,9418.09,9352.09,9404.86,9391.2,9355.59,9362.59,9343.23,9316.54,9374.3,9338.35,9432.78,9386.26
0.5,8737.44,8713.53,8731.79,8723.42,8819.12,8783.18,8862.89,8841.42,8807.93,8845.64,8812.28,8798.63,8681.31,8608.67,8682.67,8627.09,9994.8,9991.61,9956.39,10003.4,9944.11,9933.05,9954.01,9898.25,9891.98,9889.44,9915.32,9907.66,9932.06,9932.85,9931.08,9938.78
