Transfer Size (MB),CPU0 to GPU0 (prefetch),CPU0 to GPU1 (prefetch),CPU0 to GPU2 (prefetch),CPU0 to GPU3 (prefetch),CPU0 to GPU4 (prefetch),CPU0 to GPU5 (prefetch),CPU0 to GPU6 (prefetch),CPU0 to GPU7 (prefetch),CPU1 to GPU0 (prefetch),CPU1 to GPU1 (prefetch),CPU1 to GPU2 (prefetch),CPU1 to GPU3 (prefetch),CPU1 to GPU4 (prefetch),CPU1 to GPU5 (prefetch),CPU1 to GPU6 (prefetch),CPU1 to GPU7 (prefetch),GPU0 to CPU0 (prefetch),GPU0 to CPU1 (prefetch),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU0 to GPU3 (prefetch),GPU0 to GPU4 (prefetch),GPU0 to GPU5 (prefetch),GPU0 to GPU6 (prefetch),GPU0 to GPU7 (prefetch),GPU1 to CPU0 (prefetch),GPU1 to CPU1 (prefetch),GPU1 to GPU0 (prefetch),GPU1 to GPU2 (prefetch),GPU1 to GPU3 (prefetch),GPU1 to GPU4 (prefetch),GPU1 to GPU5 (prefetch),GPU1 to GPU6 (prefetch),GPU1 to GPU7 (prefetch),GPU2 to CPU0 (prefetch),GPU2 to CPU1 (prefetch),GPU2 to GPU0 (prefetch),GPU2 to GPU1 (prefetch),GPU2 to GPU3 (prefetch),GPU2 to GPU4 (prefetch),GPU2 to GPU5 (prefetch),GPU2 to GPU6 (prefetch),GPU2 to GPU7 (prefetch),GPU3 to CPU0 (prefetch),GPU3 to CPU1 (prefetch),GPU3 to GPU0 (prefetch),GPU3 to GPU1 (prefetch),GPU3 to GPU2 (prefetch),GPU3 to GPU4 (prefetch),GPU3 to GPU5 (prefetch),GPU3 to GPU6 (prefetch),GPU3 to GPU7 (prefetch),GPU4 to CPU0 (prefetch),GPU4 to CPU1 (prefetch),GPU4 to GPU0 (prefetch),GPU4 to GPU1 (prefetch),GPU4 to GPU2 (prefetch),GPU4 to GPU3 (prefetch),GPU4 to GPU5 (prefetch),GPU4 to GPU6 (prefetch),GPU4 to GPU7 (prefetch),GPU5 to CPU0 (prefetch),GPU5 to CPU1 (prefetch),GPU5 to GPU0 (prefetch),GPU5 to GPU1 (prefetch),GPU5 to GPU2 (prefetch),GPU5 to GPU3 (prefetch),GPU5 to GPU4 (prefetch),GPU5 to GPU6 (prefetch),GPU5 to GPU7 (prefetch),GPU6 to CPU0 (prefetch),GPU6 to CPU1 (prefetch),GPU6 to GPU0 (prefetch),GPU6 to GPU1 (prefetch),GPU6 to GPU2 (prefetch),GPU6 to GPU3 (prefetch),GPU6 to GPU4 (prefetch),GPU6 to GPU5 (prefetch),GPU6 to GPU7 (prefetch),GPU7 to CPU0 (prefetch),GPU7 to CPU1 (prefetch),GPU7 to GPU0 (prefetch),GPU7 to GPU1 (prefetch),GPU7 to GPU2 (prefetch),GPU7 to GPU3 (prefetch),GPU7 to GPU4 (prefetch),GPU7 to GPU5 (prefetch),GPU7 to GPU6 (prefetch)
0.001953,86.39,117.31,105.46,95.34,89.64,83.63,78.95,76.34,68.59,59.1,58.18,55.49,53.12,52.18,49.58,47.84,41.53,41.99,43.04,41.84,39.81,38.11,36.77,36.37,35.46,86.51,86.09,68.96,87.3,80.57,76.61,70.89,67.31,63.75,89.44,84.98,55.78,64.24,80.36,75.09,70.99,68.26,63.48,90.67,87.48,67.54,52.41,67.42,66.23,70.56,68.15,64.56,93.03,88.05,69.35,50.69,48.13,45.58,71.9,68.86,63.23,92.7,85.64,57.47,54.58,47.22,45.79,65.94,68.82,64.34,91.04,90.08,49.34,56.65,66.37,55.39,54.87,53.27,66.18,93.17,88.06,58.59,50.7,55.26,64.93,66.01,62.3,62.7
0.00293,92.02,89.64,83.12,83.29,76.99,73.87,69.72,69.51,66.95,66.02,63.77,60.81,54.66,57.61,54.94,53.3,50.36,48.79,49.29,46.03,46.03,45.42,42.74,41.87,41.13,82.96,81.06,86.45,84.35,79.74,69,70.74,65.33,62.29,84.02,82.96,88.2,80.16,77.47,65.67,64.82,67.6,62.12,87.38,81.71,82.31,78.05,77.27,68.51,65.89,63.5,65.03,88.19,84.42,81.78,69.14,71.24,63.72,71.88,67.75,66.82,88.19,84.91,65.19,78.07,66.72,69.06,70.89,69.1,66.62,87.18,83.7,75.28,67.49,77.43,69.14,71.9,69.93,68.82,48,46.6,47.46,45.76,45,44.41,42.12,42.43,41.98
0.003906,51.7,49.72,50.51,47.88,46.48,46.46,45.69,45.74,45.04,43.91,43.1,42.81,41.19,40.66,39.03,39.04,52.25,50.95,54.23,52.16,47.22,47.06,45.79,43.42,44.58,80.27,76.29,82.03,79.83,71.82,71.85,65.19,65.76,64.2,80.24,80.11,76.25,76.37,74.02,68.72,68.23,66.96,64.15,81.2,79.09,79.77,76.53,73.97,69.16,67.44,65.85,63.81,81.45,80.22,77.89,74.44,73.49,67.98,69.04,67.67,65.49,82.42,79.03,74.97,77.86,72.01,69.37,70.37,66.32,64.43,81.65,81.43,76.13,71.46,74.23,69.08,69.49,67.17,65,36.47,36.65,36.31,36.01,35.63,35.26,34.78,34.09,33.43
0.005859,47.44,47.66,47.02,46.95,46.48,45.19,44.77,44.64,43.48,43.69,43.17,42.38,42.29,41.4,40.47,40.96,65.89,66.61,64.75,63.72,65.03,63.1,57.63,56.02,55.28,96.46,90.61,91.15,87.07,85.59,81.27,81.57,76.99,75.44,93.22,91.82,89.23,86.64,86.21,82.48,80.6,79.12,77.09,94.36,93.8,89.35,87.4,83.55,81.07,78.15,76.42,75.89,95.03,90.61,89.79,83.52,83.28,79.53,82,77.9,78.06,94.65,93.1,87.17,86.95,84.37,79.65,79.35,79.78,77.62,94.45,92.53,85.99,82.75,83.83,80.97,82.5,79.27,75.19,38.61,39.04,39.1,38.29,37.66,37.59,37.25,36.93,37.31
0.007812,47.58,47.1,45.44,46.23,45.64,45.02,44.83,43.83,43.43,43.01,42.57,42.31,41.94,41.42,40.99,40.8,76.99,74.77,73.26,73.14,73.77,73.47,67.38,64.41,64.13,103.13,98.11,100.07,93.22,91.72,87.59,87.28,82.9,83.84,101.15,100.75,97.11,94.97,92.42,87.62,86.72,87.14,84.23,101.05,103.11,97.07,95.26,92.29,88.08,87.38,85.72,84.74,103.27,99.7,94.71,92.98,90.63,90.53,88.74,84.77,86.47,100.81,100.28,95.91,94.99,89.22,89.81,89.94,87.8,85.76,103.12,101.08,93.88,93.21,90.4,88.85,89.94,84.77,86.12,39.69,39.01,39.7,39.42,38.45,39.04,38.09,38.07,37.59
0.011719,55.62,54.33,54.38,53.57,53.26,52.95,52.71,51.77,51.06,51.15,50.45,49.72,49.88,49.39,48.93,48.57,100.25,98.93,96.96,94.64,97.76,96.51,87.45,86.36,85.08,125.62,126.78,128.91,125.25,123.51,111.27,109.53,105.42,105.25,130.09,123.95,119.4,117.04,114.69,111.1,109.13,108.48,104.74,129.97,127.24,118.78,116.05,115.55,110.76,108.18,106.33,105.56,128.22,126.3,119.29,113.76,114.54,112.23,110.48,109.88,107.87,127.54,126.17,118.36,115.66,113.72,110.65,111.37,109.74,108.29,128.31,127.18,116.87,115.37,115.49,113.34,108.95,109.12,104.57,47.79,47.84,47.66,47.3,46.93,46.91,46.39,46.08,45.94
0.015625,60.01,59.74,59.83,58.81,58.8,58.25,58.04,57.59,57.02,56.78,56.07,55.53,56.05,55.52,54.99,54.22,119.21,117.6,114.76,112.64,114.13,113.99,109.5,101.82,100.69,147.71,145.72,142.34,141.82,142.51,138.78,138.37,124.73,121.28,150.22,134.36,134.03,136.46,133.28,128.69,125.79,127.77,123.98,148.24,146.98,137.62,133.93,129.17,130.46,128.95,123.86,124.81,146.28,145.5,135.29,127.98,130.14,127.84,128.42,126.32,124.5,147.29,144.51,131,135.99,129.41,128.72,128.12,126.71,123.99,146.61,140.99,136.34,134.31,135.03,131,130.8,125.65,125.42,53.86,53.26,53.46,52.87,53.2,53.27,52.46,52.42,51.91
0.023438,76.07,76.32,74.89,74.67,74.46,74.48,74.03,73.68,72.75,71.98,70.91,70.93,71.55,70.73,69.83,70.29,159.67,157.25,153.63,153.44,155.99,153.19,148.92,146.34,134.82,194.35,191.51,192.94,186.33,188.66,170.23,167.69,166.11,162.25,194.95,188.08,179.12,174.02,174.05,169.19,165.57,167.02,161.64,192.76,192.04,178.88,176.06,170.31,170.41,166.02,165.61,162.55,191.29,189.1,181.99,176.29,170.64,169.36,172.47,169.7,165.82,190.66,189.89,174.65,178.43,170.43,168.93,171.12,166.59,166.1,191.12,191.32,175.74,171.7,173.24,170.97,170.85,166.24,163.88,70,69.21,69.67,68.85,68.28,68.4,68.58,67.95,67.02
0.03125,87.9,87.45,86.68,86.87,86.1,85.47,84.58,84.24,83.6,82.92,82.97,82.5,82.29,81.49,81.33,80.65,191.36,189.35,191.18,183.02,181.48,179.74,179.59,176.55,172.89,227.97,225.15,228.39,223.47,206.77,199.57,202.57,196.57,195.06,230.28,227.95,213.51,209.86,203.95,200.59,195.79,199.67,194.46,229.85,225.06,210.53,210.83,206.6,201.58,197.25,195.78,197.99,226.9,225.88,210.56,206.77,202.95,201.73,200.62,200.52,197.09,228.48,225.92,208.78,207.91,199.99,201.26,194.5,199.66,194.42,230.71,221.27,207.97,206.39,203.98,198.81,200.01,198.37,197.61,80.53,80.2,80.57,80.03,79.33,80.06,78.88,78.57,78.51
0.046875,115.89,115.55,114.06,113.19,112.99,113.66,112.48,112.04,110.4,110.34,110.44,109.49,108.7,108.11,108.17,107.69,259.38,257.09,258.49,256.96,244.32,243.23,238.74,237.51,241.31,304.68,304.7,307.4,280.31,277.21,267.87,272.24,264.46,261.14,305.15,298.7,288.65,285.26,280.64,270.22,269.05,271.87,262.94,306.83,299.89,286.81,285.75,280.76,270.71,270.65,265.78,270.15,306.54,304.5,283.48,269.85,274.35,270.66,271.38,269.73,267.5,305.77,302.13,277.84,283.58,274.94,272.38,275.53,274.76,267.4,306.28,304.5,280.41,280.88,280.73,274.89,275.81,272.05,270.57,108.51,107.87,107.55,107.4,106.85,106.93,106.97,106.28,106.22
