transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU1,1,912655971.48
2048,CPU0,CPU1,1,1689768976.90
2048,CPU0,CPU1,1,2235807860.26
2048,CPU0,CPU1,1,2250549450.55
2048,CPU0,CPU1,1,2267995570.32
2048,CPU0,CPU1,1,2278086763.07
2048,CPU0,CPU1,1,2283166109.25
2048,CPU0,CPU1,1,2283166109.25
2048,CPU0,CPU1,1,2278086763.07
2048,CPU0,CPU1,1,2278086763.07
2048,CPU0,CPU1,1,2248079034.03
2048,CPU0,CPU1,1,2238251366.12
2048,CPU0,CPU1,1,2235807860.26
2048,CPU0,CPU1,1,2230936819.17
2048,CPU0,CPU1,1,2228509249.18
2048,CPU1,CPU0,1,1887557603.69
2048,CPU1,CPU0,1,2403755868.54
2048,CPU1,CPU0,1,3029585798.82
2048,CPU1,CPU0,1,113155422.95
2048,CPU1,CPU0,1,2748993288.59
2048,CPU1,CPU0,1,2852367688.02
2048,CPU1,CPU0,1,2880450070.32
2048,CPU1,CPU0,1,2864335664.34
2048,CPU1,CPU0,1,2340571428.57
2048,CPU1,CPU0,1,2745308310.99
2048,CPU1,CPU0,1,1715242881.07
2048,CPU1,CPU0,1,2178723404.26
2048,CPU1,CPU0,1,2197424892.70
2048,CPU1,CPU0,1,2185699039.49
2048,CPU1,CPU0,1,2579345088.16
2048,CPU0,CPU1,2,626874808.69
2048,CPU0,CPU1,2,1180403458.21
2048,CPU0,CPU1,2,1417301038.06
2048,CPU0,CPU1,2,1506990434.14
2048,CPU0,CPU1,2,1522676579.93
2048,CPU0,CPU1,2,1509211495.95
2048,CPU0,CPU1,2,1430167597.77
2048,CPU0,CPU1,2,1541008276.90
2048,CPU0,CPU1,2,1434173669.47
2048,CPU0,CPU1,2,1432167832.17
2048,CPU0,CPU1,2,1450424929.18
2048,CPU0,CPU1,2,1357190192.18
2048,CPU0,CPU1,2,1430167597.77
2048,CPU0,CPU1,2,1314505776.64
2048,CPU0,CPU1,2,1419265419.27
2048,CPU1,CPU0,2,421312487.14
2048,CPU1,CPU0,2,851559251.56
2048,CPU1,CPU0,2,1726812816.19
2048,CPU1,CPU0,2,1843384338.43
2048,CPU1,CPU0,2,1705245628.64
2048,CPU1,CPU0,2,1647626709.57
2048,CPU1,CPU0,2,107602584.98
2048,CPU1,CPU0,2,1469153515.06
2048,CPU1,CPU0,2,1575384615.38
2048,CPU1,CPU0,2,1572964669.74
2048,CPU1,CPU0,2,1699585062.24
2048,CPU1,CPU0,2,1563358778.63
2048,CPU1,CPU0,2,1693961952.03
2048,CPU1,CPU0,2,1643659711.08
2048,CPU1,CPU0,2,66314801.02
2048,CPU0,CPU1,4,448238126.50
2048,CPU0,CPU1,4,701610140.46
2048,CPU0,CPU1,4,887732986.56
2048,CPU0,CPU1,4,1207547169.81
2048,CPU0,CPU1,4,1376344086.02
2048,CPU0,CPU1,4,1310300703.77
2048,CPU0,CPU1,4,1190697674.42
2048,CPU0,CPU1,4,1333333333.33
2048,CPU0,CPU1,4,1122191780.82
2048,CPU0,CPU1,4,1394145677.33
2048,CPU0,CPU1,4,1317041800.64
2048,CPU0,CPU1,4,1558599695.59
2048,CPU0,CPU1,4,1259532595.33
2048,CPU0,CPU1,4,1234478601.57
2048,CPU0,CPU1,4,1162315550.51
2048,CPU1,CPU0,4,51174412.79
2048,CPU1,CPU0,4,867796610.17
2048,CPU1,CPU0,4,1440225035.16
2048,CPU1,CPU0,4,110613016.47
2048,CPU1,CPU0,4,1318737926.59
2048,CPU1,CPU0,4,1394145677.33
2048,CPU1,CPU0,4,1196960841.61
2048,CPU1,CPU0,4,1574173712.53
2048,CPU1,CPU0,4,1455579246.62
2048,CPU1,CPU0,4,1502567865.00
2048,CPU1,CPU0,4,1327284510.69
2048,CPU1,CPU0,4,115477868.62
2048,CPU1,CPU0,4,1397952218.43
2048,CPU1,CPU0,4,1526080476.90
2048,CPU1,CPU0,4,1325566343.04
2048,CPU0,CPU1,8,247941888.62
2048,CPU0,CPU1,8,779299847.79
2048,CPU0,CPU1,8,1219773674.81
2048,CPU0,CPU1,8,107135383.97
2048,CPU0,CPU1,8,1051334702.26
2048,CPU0,CPU1,8,1058397932.82
2048,CPU0,CPU1,8,852977925.86
2048,CPU0,CPU1,8,108085286.05
2048,CPU0,CPU1,8,1017892644.14
2048,CPU0,CPU1,8,931756141.95
2048,CPU0,CPU1,8,932180245.79
2048,CPU0,CPU1,8,886964053.70
2048,CPU0,CPU1,8,1077327722.25
2048,CPU0,CPU1,8,846980976.01
2048,CPU0,CPU1,8,962406015.04
2048,CPU1,CPU0,8,46494733.02
2048,CPU1,CPU0,8,896672504.38
2048,CPU1,CPU0,8,1183815028.90
2048,CPU1,CPU0,8,1035912999.49
2048,CPU1,CPU0,8,1001956947.16
2048,CPU1,CPU0,8,1183815028.90
2048,CPU1,CPU0,8,882378285.22
2048,CPU1,CPU0,8,751008434.18
2048,CPU1,CPU0,8,896672504.38
2048,CPU1,CPU0,8,837627811.86
2048,CPU1,CPU0,8,1049180327.87
2048,CPU1,CPU0,8,1061139896.37
2048,CPU1,CPU0,8,1064449064.45
2048,CPU1,CPU0,8,872231686.54
2048,CPU1,CPU0,8,1107027027.03
2048,CPU0,CPU1,16,135092348.28
2048,CPU0,CPU1,16,655150351.89
2048,CPU0,CPU1,16,742297934.03
2048,CPU0,CPU1,16,805031446.54
2048,CPU0,CPU1,16,786784479.45
2048,CPU0,CPU1,16,661712439.42
2048,CPU0,CPU1,16,698499317.87
2048,CPU0,CPU1,16,558951965.07
2048,CPU0,CPU1,16,727531083.48
2048,CPU0,CPU1,16,705720192.97
2048,CPU0,CPU1,16,703055269.48
2048,CPU0,CPU1,16,751559633.03
2048,CPU0,CPU1,16,695179904.96
2048,CPU0,CPU1,16,636024844.72
2048,CPU0,CPU1,16,714086471.41
2048,CPU1,CPU0,16,43808423.71
2048,CPU1,CPU0,16,544246611.75
2048,CPU1,CPU0,16,762756052.14
2048,CPU1,CPU0,16,780190476.19
2048,CPU1,CPU0,16,772538664.65
2048,CPU1,CPU0,16,721889319.70
2048,CPU1,CPU0,16,686327077.75
2048,CPU1,CPU0,16,656620711.77
2048,CPU1,CPU0,16,718092566.62
2048,CPU1,CPU0,16,535145022.21
2048,CPU1,CPU0,16,670595939.75
2048,CPU1,CPU0,16,650778519.22
2048,CPU1,CPU0,16,692359702.50
2048,CPU1,CPU0,16,596041909.20
2048,CPU1,CPU0,16,719606465.21
3072,CPU0,CPU1,1,2029062087.19
3072,CPU0,CPU1,1,2564273789.65
3072,CPU0,CPU1,1,3420935412.03
3072,CPU0,CPU1,1,3475113122.17
3072,CPU0,CPU1,1,3342763873.78
3072,CPU0,CPU1,1,3364731653.89
3072,CPU0,CPU1,1,3350054525.63
3072,CPU0,CPU1,1,3183419689.12
3072,CPU0,CPU1,1,3216753926.70
3072,CPU0,CPU1,1,3081243731.19
3072,CPU0,CPU1,1,3118781725.89
3072,CPU0,CPU1,1,2976744186.05
3072,CPU0,CPU1,1,3056716417.91
3072,CPU0,CPU1,1,2914611005.69
3072,CPU0,CPU1,1,165161290.32
3072,CPU1,CPU0,1,2191155492.15
3072,CPU1,CPU0,1,2292537313.43
3072,CPU1,CPU0,1,2765076507.65
3072,CPU1,CPU0,1,2777576853.53
3072,CPU1,CPU0,1,2841813135.99
3072,CPU1,CPU0,1,2823529411.76
3072,CPU1,CPU0,1,2839186691.31
3072,CPU1,CPU0,1,2831336405.53
3072,CPU1,CPU0,1,2795268425.84
3072,CPU1,CPU0,1,1740509915.01
3072,CPU1,CPU0,1,2802919708.03
3072,CPU1,CPU0,1,2810612991.77
3072,CPU1,CPU0,1,2792727272.73
3072,CPU1,CPU0,1,2813186813.19
3072,CPU1,CPU0,1,2805479452.05
3072,CPU0,CPU1,2,502371218.32
3072,CPU0,CPU1,2,616248746.24
3072,CPU0,CPU1,2,899560761.35
3072,CPU0,CPU1,2,148880488.51
3072,CPU0,CPU1,2,2049366244.16
3072,CPU0,CPU1,2,784874808.38
3072,CPU0,CPU1,2,1924812030.08
3072,CPU0,CPU1,2,133739660.43
3072,CPU0,CPU1,2,1707615341.86
3072,CPU0,CPU1,2,1010526315.79
3072,CPU0,CPU1,2,1888137676.71
