Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU8 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU8 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU8 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU8 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU8 to GPU0 (coherence),CPU8 to GPU1 (coherence),CPU8 to GPU2 (coherence),CPU8 to GPU3 (coherence)
0.001953,55.64,48.79,48.83,49.57,47.15,55.5,59.84,60.34,0.58,0.86,59.22,60.06,63.31,0.5,0.72,55.31,55.96,59.79,0.36,0.72,45.39,60.25,55.95,53.91,39.44,36.87,47.76,55.33
0.00293,83.93,85.27,85.55,1.1,1.11,74.42,83.47,85.73,0.65,1.48,86.15,90.71,85.87,1.04,1.08,90.93,87.53,92.13,0.72,1.8,48.62,88.78,82.5,81.13,81.04,54.59,60.34,53.26
0.003906,109.08,113.2,116.6,1.31,1.62,111.92,111.22,114.08,0.72,1.44,112.99,124.63,114.7,1.09,1.06,99.89,107.58,93.11,1.58,1.53,73.51,108.38,106.61,106.15,79.46,73.85,90.4,105.35
0.005859,161.26,166.68,167.56,2.31,2.36,157.51,180.9,170.72,2.12,2.13,159.12,177.62,162.86,2.14,2.08,173.77,167.42,181.39,144.77,3.06,161.65,162.55,152.24,165.38,117.79,166.2,119.8,165.51
0.007812,235.4,229.27,237.72,4.38,1.89,232.37,237.91,228.2,3.39,5.52,181.01,213.71,201.8,3.09,1.85,136.05,225.54,232.46,2.76,5.62,215.35,176.64,223.37,216.63,240.41,234.29,140.62,172.02
0.011719,329.23,339.58,356.87,2.71,4.3,324.64,322.46,338.43,4.1,4.3,317.13,347.96,325.23,5.07,275.53,345.61,325.45,333.09,265.35,6.14,190.94,329.22,294.22,316.74,306.43,220.65,240.31,282.07
0.015625,417.93,397.96,412.97,3.74,6.26,270.26,434.38,459.1,6.6,5.99,467.34,497.1,460.17,5.66,5.6,512.31,492.98,532.08,5.58,376.2,450.63,280.76,425.58,282.85,332.69,260.51,467.59,245.35
0.023438,643.07,685.31,720.25,8,8.55,603.25,667.34,670.43,5.66,10.25,642.33,718.3,660.94,8.54,8.87,651.87,665.78,687.07,11.53,6.99,601.9,644.77,652.16,410.62,594.09,626.4,423.04,371.53
0.03125,952.19,921.56,938.66,5.77,7.53,1041.25,1040.52,1031.93,15.98,11.5,851.06,945.51,871.18,6.81,11.54,892.3,888.09,929.4,11.45,6.78,852.68,865.79,741.8,737.32,861.78,846.42,646.96,567.94
0.046875,1385.77,1371.9,1387.12,16.02,17.2,1138.68,1333.49,1380.42,18.36,13.17,1023.56,1290.22,1201.55,17.18,10.28,1393.8,1338.48,1404.37,12.47,31.91,1287.81,833.17,831.18,1268.67,929.95,873.05,1319.9,1037.36
