# Strides,GPU0:GPU1 Traversal Time (us) [managed], GPU0:GPU1 Traversal Time (us) [explicit],GPU0:GPU2 Traversal Time (us) [managed], GPU0:GPU2 Traversal Time (us) [explicit],GPU0:GPU3 Traversal Time (us) [managed], GPU0:GPU3 Traversal Time (us) [explicit],GPU0:CPU0 Traversal Time (us) [managed], GPU0:CPU0 Traversal Time (us) [explicit],GPU0:CPU8 Traversal Time (us) [managed], GPU0:CPU8 Traversal Time (us) [explicit],GPU1:GPU0 Traversal Time (us) [managed], GPU1:GPU0 Traversal Time (us) [explicit],GPU1:GPU2 Traversal Time (us) [managed], GPU1:GPU2 Traversal Time (us) [explicit],GPU1:GPU3 Traversal Time (us) [managed], GPU1:GPU3 Traversal Time (us) [explicit],GPU1:CPU0 Traversal Time (us) [managed], GPU1:CPU0 Traversal Time (us) [explicit],GPU1:CPU8 Traversal Time (us) [managed], GPU1:CPU8 Traversal Time (us) [explicit],GPU2:GPU0 Traversal Time (us) [managed], GPU2:GPU0 Traversal Time (us) [explicit],GPU2:GPU1 Traversal Time (us) [managed], GPU2:GPU1 Traversal Time (us) [explicit],GPU2:GPU3 Traversal Time (us) [managed], GPU2:GPU3 Traversal Time (us) [explicit],GPU2:CPU0 Traversal Time (us) [managed], GPU2:CPU0 Traversal Time (us) [explicit],GPU2:CPU8 Traversal Time (us) [managed], GPU2:CPU8 Traversal Time (us) [explicit],GPU3:GPU0 Traversal Time (us) [managed], GPU3:GPU0 Traversal Time (us) [explicit],GPU3:GPU1 Traversal Time (us) [managed], GPU3:GPU1 Traversal Time (us) [explicit],GPU3:GPU2 Traversal Time (us) [managed], GPU3:GPU2 Traversal Time (us) [explicit],GPU3:CPU0 Traversal Time (us) [managed], GPU3:CPU0 Traversal Time (us) [explicit],GPU3:CPU8 Traversal Time (us) [managed], GPU3:CPU8 Traversal Time (us) [explicit],CPU0:GPU0 Traversal Time (us) [managed], CPU0:GPU0 Traversal Time (us) [explicit],CPU0:GPU1 Traversal Time (us) [managed], CPU0:GPU1 Traversal Time (us) [explicit],CPU0:GPU2 Traversal Time (us) [managed], CPU0:GPU2 Traversal Time (us) [explicit],CPU0:GPU3 Traversal Time (us) [managed], CPU0:GPU3 Traversal Time (us) [explicit],CPU8:GPU0 Traversal Time (us) [managed], CPU8:GPU0 Traversal Time (us) [explicit],CPU8:GPU1 Traversal Time (us) [managed], CPU8:GPU1 Traversal Time (us) [explicit],CPU8:GPU2 Traversal Time (us) [managed], CPU8:GPU2 Traversal Time (us) [explicit],CPU8:GPU3 Traversal Time (us) [managed], CPU8:GPU3 Traversal Time (us) [explicit]
4,84.72,61.23,262.25,56.39,268.25,62.65,133.45,0.63,130.25,0.59,258.47,58.80,226.18,30.30,258.35,58.43,135.13,0.69,132.54,0.61,274.07,59.67,274.64,59.63,268.82,58.98,148.34,0.73,119.91,0.59,280.35,59.12,273.01,59.28,218.23,30.18,144.62,0.72,120.47,0.59,215.21,65.85,216.30,65.20,206.63,57.51,213.60,66.12,213.67,60.71,213.44,59.25,169.15,30.83,169.66,31.63
5,266.86,31.03,254.95,30.13,296.58,58.64,168.83,0.71,171.06,0.62,305.19,59.52,256.47,31.38,303.43,59.53,168.42,0.73,166.97,0.62,312.70,60.35,321.34,59.18,300.34,58.16,187.15,0.71,149.37,0.62,312.09,60.60,312.81,59.47,270.58,31.32,183.32,0.72,150.01,0.62,234.06,65.71,234.37,65.17,230.80,66.10,230.15,65.91,233.37,59.81,232.34,59.25,189.41,30.97,228.24,59.73
6,326.61,59.01,330.16,58.02,330.06,59.34,191.59,0.73,185.31,0.62,333.20,58.40,309.19,30.87,327.68,58.69,191.75,0.74,185.89,0.62,343.07,59.83,351.20,59.72,339.27,59.73,209.35,0.74,169.12,0.63,342.68,35.47,343.25,59.73,347.06,58.66,211.60,0.73,170.30,0.63,260.38,65.52,260.17,65.35,261.74,66.55,253.13,65.95,260.29,59.21,259.23,59.24,255.27,58.39,255.73,59.93
7,364.03,59.54,367.74,58.71,368.50,59.98,225.14,0.76,215.92,0.64,386.49,59.29,372.72,60.09,379.31,61.95,225.17,0.74,218.13,0.64,392.01,59.20,396.93,35.76,374.75,58.33,244.05,0.76,199.99,0.66,406.99,59.07,400.19,59.69,381.25,58.65,241.57,0.76,200.18,0.63,278.24,65.86,280.64,65.00,279.80,67.11,276.55,69.44,277.09,60.00,278.98,59.06,278.43,59.42,275.91,59.19
8,393.27,59.42,396.94,59.01,397.60,59.12,246.23,0.76,239.95,0.68,399.90,58.76,398.73,58.19,408.22,59.57,246.13,0.76,237.33,0.66,419.25,58.95,421.65,59.12,422.35,60.84,266.49,0.78,217.43,0.66,413.74,59.71,410.57,59.34,407.31,58.14,265.68,0.76,219.59,0.63,306.18,65.57,305.78,66.27,307.85,66.84,300.67,66.43,306.15,60.57,305.96,60.26,303.43,59.39,304.51,59.50
9,448.59,60.00,455.93,59.14,458.00,60.52,268.69,0.70,269.25,0.69,451.98,59.87,470.23,59.33,444.82,61.87,280.00,0.78,269.24,0.69,460.53,59.61,450.81,59.85,458.43,62.00,301.38,0.81,248.10,0.70,452.63,59.61,458.19,59.46,438.51,58.34,299.27,0.76,248.94,0.69,323.68,65.79,323.46,66.25,328.60,67.28,328.91,67.04,325.23,60.01,324.53,60.74,322.12,58.60,323.62,59.14
10,472.00,59.39,486.16,58.99,492.78,60.83,299.48,0.70,290.45,0.72,487.55,59.19,478.20,59.19,507.42,61.49,284.92,0.71,290.08,0.71,498.84,59.39,494.99,59.50,490.71,62.28,281.06,0.72,268.71,0.73,479.84,59.97,481.33,59.79,486.55,58.65,282.34,0.70,267.61,0.68,349.86,63.12,348.76,63.12,350.87,64.40,350.39,64.29,349.36,60.51,347.44,59.73,353.21,59.34,353.82,59.67
11,532.04,60.07,524.96,59.42,525.25,59.95,333.58,0.75,318.18,0.72,526.63,60.40,531.26,60.00,533.91,61.26,332.55,0.73,323.47,0.72,523.33,60.70,535.24,59.69,536.84,62.15,313.89,0.78,298.30,0.75,543.53,59.54,518.19,60.16,528.07,59.08,313.17,0.73,299.33,0.67,370.10,63.08,364.51,63.44,372.48,63.92,372.81,64.21,370.11,60.59,371.62,60.90,373.96,60.76,369.61,56.21
12,549.26,60.75,567.43,61.59,573.49,60.24,317.73,0.75,339.64,0.73,554.57,59.94,555.87,59.62,571.21,61.06,343.69,0.74,340.94,0.75,566.88,59.75,559.57,60.35,548.68,61.85,333.23,0.78,318.77,0.77,567.79,60.39,562.50,60.84,548.66,60.68,333.92,0.70,326.60,0.73,393.63,64.19,393.63,63.84,401.67,65.00,402.08,65.38,399.87,59.83,397.77,60.52,399.48,59.91,398.01,60.10
13,582.28,60.29,632.23,59.57,592.06,59.67,392.93,0.76,370.74,0.75,580.06,60.50,619.43,60.96,616.84,60.41,379.79,0.77,373.69,0.75,608.90,59.82,598.41,60.73,599.62,61.75,366.29,0.78,348.33,0.79,596.68,59.46,602.17,61.38,598.00,60.15,365.50,0.74,348.18,0.74,411.33,63.16,409.11,63.23,419.53,64.01,417.74,68.60,416.38,59.82,416.81,60.68,415.76,60.72,418.34,60.28
