Transfer Size (MB),CPU0 to GPU0 (wc),CPU0 to GPU1 (wc),CPU0 to GPU2 (wc),CPU0 to GPU3 (wc),CPU8 to GPU0 (wc),CPU8 to GPU1 (wc),CPU8 to GPU2 (wc),CPU8 to GPU3 (wc),GPU0 to CPU0 (wc),GPU1 to CPU0 (wc),GPU2 to CPU0 (wc),GPU3 to CPU0 (wc),GPU0 to CPU8 (wc),GPU1 to CPU8 (wc),GPU2 to CPU8 (wc),GPU3 to CPU8 (wc)
0.001953,103.05,124.13,96.18,111.85,124.57,123.72,109.86,111.75,140.39,142.49,131.28,132.33,140.00,141.20,131.21,132.50
0.002930,186.02,185.67,164.27,165.24,186.32,187.42,164.12,167.05,209.80,211.61,201.30,197.63,214.46,212.30,199.58,197.98
0.003906,243.61,244.00,219.02,219.21,246.14,246.19,223.65,220.17,281.59,282.67,261.66,263.76,285.98,282.41,259.88,266.86
0.005859,353.29,343.16,330.01,327.60,358.92,343.46,334.69,326.99,424.53,425.61,384.73,398.33,420.09,428.72,392.14,400.29
0.007812,451.80,455.81,425.10,425.10,451.59,459.69,429.90,426.63,557.52,566.04,527.87,516.56,561.08,566.45,521.39,519.17
0.011719,672.76,672.80,613.51,613.84,676.95,681.92,613.19,611.15,839.57,848.45,763.49,779.33,843.93,851.90,787.13,783.71
0.015625,873.98,879.29,790.70,787.83,875.60,884.02,788.27,791.54,1143.43,1136.45,1023.99,1019.31,1148.81,1129.14,1005.99,1034.01
0.023438,1201.61,1208.06,1128.21,1131.10,1201.86,1209.12,1130.88,1120.71,1720.94,1709.14,1469.34,1470.45,1684.33,1699.48,1457.56,1480.29
0.031250,2152.35,2060.12,1898.89,1924.50,2052.41,2057.27,1904.79,1930.08,2233.74,2253.71,1884.69,1874.29,2235.98,2244.65,1891.30,1880.94
0.046875,3075.38,3064.53,2703.75,2703.44,3090.18,3148.93,2784.05,2716.60,3295.02,3331.32,2712.67,2663.81,3284.17,3360.46,2681.79,2705.94
0.062500,4076.71,4052.39,3577.97,3551.34,4043.48,4133.05,3579.20,3691.89,4092.72,4122.15,3235.66,3270.71,4099.97,4132.50,3252.50,3303.91
0.093750,5618.15,5656.11,5096.49,5017.13,5660.21,5737.10,4974.27,5087.37,6033.98,5688.71,4280.24,4155.40,6037.48,6121.45,4379.20,4394.60
0.125000,7338.70,6987.92,6257.51,6248.44,7292.88,7301.40,6231.31,6240.02,7538.75,7578.51,5016.66,5157.40,7537.84,7560.18,5195.13,5135.58
0.187500,10038.01,10319.78,8607.23,8700.70,10279.04,10184.68,7715.41,7835.03,9362.36,9329.75,6011.54,5878.66,9104.59,9328.82,6404.56,6506.58
0.250000,12993.76,12808.03,10695.64,10820.17,12997.82,12895.90,10840.81,10838.93,12150.67,12179.67,7481.00,7535.34,12204.65,12483.15,7511.12,7545.35
0.375000,17175.83,17067.18,14079.22,14015.55,17060.96,17121.72,13990.97,14099.33,16112.40,16176.34,8840.38,8957.15,16115.17,16071.66,8931.12,8790.44
0.500000,20241.28,20364.11,16887.33,16432.77,20367.43,20629.62,16398.28,16821.99,18407.39,18440.66,9896.09,9831.49,18403.33,18461.77,9742.41,9784.93
0.750000,26063.39,26127.85,20208.55,20243.46,26392.65,26429.86,20625.93,20052.94,22166.40,22219.59,10823.29,10781.28,22142.18,22301.52,10844.26,10732.22
1.000000,29445.54,29589.30,22794.10,22712.30,29372.89,29531.63,22807.10,22629.55,23979.09,24183.21,11442.69,11433.28,24059.86,24533.86,11524.59,11336.97
1.500000,34774.55,34705.35,26075.17,26027.21,34611.66,34789.06,25889.74,25981.22,27300.03,27275.70,11795.79,11988.20,27328.38,27387.76,12161.31,11811.58
2.000000,38091.61,38176.68,28119.51,28234.63,38240.19,38097.42,27890.11,28041.05,28965.36,29190.26,12250.25,12130.77,29183.45,29292.01,12404.25,12279.58
3.000000,42314.91,42320.88,30588.52,30579.48,42423.81,42372.28,30542.43,30829.63,31249.67,31279.65,12651.93,12587.43,31245.77,31251.30,12773.46,12499.17
4.000000,44753.24,44746.23,31893.86,32022.54,44884.81,45299.60,31812.18,32150.72,32449.10,32403.62,12922.40,12766.09,32957.62,32445.67,13084.21,12766.26
6.000000,48377.73,47961.63,32725.19,32650.04,49171.46,48803.50,32661.95,32937.17,34375.09,35602.81,13381.42,13471.25,35362.35,34887.37,13602.30,13432.62
8.000000,53187.60,51899.86,32429.89,32111.36,52742.62,52795.52,32232.85,31939.06,39116.74,38315.83,15834.81,14827.47,39098.58,39359.23,14769.71,15130.68
12.000000,56666.32,56822.76,33364.57,33401.99,56639.31,56515.80,33220.84,33496.07,46383.80,46640.16,19408.53,18841.14,46203.43,46546.45,19235.70,19274.17
16.000000,58479.96,58356.25,33913.11,33981.75,58139.96,58397.36,34115.28,34181.24,49288.25,50634.35,21787.71,21590.14,50003.75,49526.86,21360.22,21422.42
24.000000,60441.68,60356.71,34812.17,34810.15,60250.79,60216.63,34669.51,34654.14,53665.46,53424.63,24627.69,24849.79,53417.85,53504.91,24729.16,24498.45
32.000000,61415.63,61223.98,35326.44,35131.13,61326.41,61369.46,35184.28,35136.38,55523.55,56112.20,26158.49,26108.34,55934.08,56086.82,26514.78,26262.12
48.000000,62490.24,62392.19,35498.86,35470.90,62448.45,62391.55,35534.08,35411.26,58036.13,57986.98,28212.57,28281.13,58098.16,57984.39,28151.80,28358.30
64.000000,63011.79,62961.39,35637.05,35665.41,62983.20,62979.17,35673.75,35705.76,59622.24,59390.25,29439.61,29794.53,59462.59,59575.34,29586.88,29627.90
96.000000,63582.64,63492.95,35860.56,35979.78,63567.53,63559.07,35870.00,35929.56,61044.24,60891.26,31313.78,31400.49,60962.75,60934.35,31523.19,31514.51
128.000000,63879.52,63925.69,39223.41,39255.51,63925.91,63901.30,39231.00,39201.01,61865.40,61793.18,32550.45,32212.33,61822.22,61745.04,32495.28,32249.80
192.000000,64176.44,64199.58,39418.80,39435.72,64165.63,64117.01,39431.63,39421.09,62605.48,62592.40,33324.80,33062.67,62547.85,62585.02,33351.69,32987.03
256.000000,64282.47,64242.79,39525.29,39542.91,66995.15,66997.06,39538.55,39535.54,66916.72,66910.37,33748.05,33432.61,66918.69,66935.03,33749.04,33510.54
384.000000,67094.04,67084.54,39656.15,39654.25,67089.25,67084.44,39663.38,39652.65,67131.38,67130.27,34019.40,33646.43,67133.69,67131.19,33981.35,33679.49
512.000000,67138.08,67122.72,39711.36,39705.80,67135.80,67121.79,39710.82,39714.11,67180.45,67179.06,34007.69,33668.11,67184.07,67181.61,33997.35,33717.52
768.000000,67187.30,67174.88,39727.13,39731.10,67189.93,67173.25,39720.01,39732.59,67226.28,67225.78,33988.60,33658.38,67226.74,67223.43,34012.05,33747.55
1024.000000,67209.10,67200.27,39729.12,39409.80,67216.27,67202.69,39377.81,39733.02,67249.42,67250.06,34048.21,33728.03,67249.14,67248.28,34055.13,33763.06
