# Strides,gpu0:gpu1 Traversal Time (us) [managed],gpu0:gpu1 Traversal Time (us) [explicit],gpu0:gpu2 Traversal Time (us) [managed],gpu0:gpu2 Traversal Time (us) [explicit],gpu0:gpu3 Traversal Time (us) [managed],gpu0:gpu3 Traversal Time (us) [explicit],gpu0:cpu0 Traversal Time (us) [managed],gpu0:cpu0 Traversal Time (us) [explicit],gpu0:cpu1 Traversal Time (us) [managed],gpu0:cpu1 Traversal Time (us) [explicit],gpu1:gpu0 Traversal Time (us) [managed],gpu1:gpu0 Traversal Time (us) [explicit],gpu1:gpu2 Traversal Time (us) [managed],gpu1:gpu2 Traversal Time (us) [explicit],gpu1:gpu3 Traversal Time (us) [managed],gpu1:gpu3 Traversal Time (us) [explicit],gpu1:cpu0 Traversal Time (us) [managed],gpu1:cpu0 Traversal Time (us) [explicit],gpu1:cpu1 Traversal Time (us) [managed],gpu1:cpu1 Traversal Time (us) [explicit],gpu2:gpu0 Traversal Time (us) [managed],gpu2:gpu0 Traversal Time (us) [explicit],gpu2:gpu1 Traversal Time (us) [managed],gpu2:gpu1 Traversal Time (us) [explicit],gpu2:gpu3 Traversal Time (us) [managed],gpu2:gpu3 Traversal Time (us) [explicit],gpu2:cpu0 Traversal Time (us) [managed],gpu2:cpu0 Traversal Time (us) [explicit],gpu2:cpu1 Traversal Time (us) [managed],gpu2:cpu1 Traversal Time (us) [explicit],gpu3:gpu0 Traversal Time (us) [managed],gpu3:gpu0 Traversal Time (us) [explicit],gpu3:gpu1 Traversal Time (us) [managed],gpu3:gpu1 Traversal Time (us) [explicit],gpu3:gpu2 Traversal Time (us) [managed],gpu3:gpu2 Traversal Time (us) [explicit],gpu3:cpu0 Traversal Time (us) [managed],gpu3:cpu0 Traversal Time (us) [explicit],gpu3:cpu1 Traversal Time (us) [managed],gpu3:cpu1 Traversal Time (us) [explicit],cpu0:gpu0 Traversal Time (us) [managed],cpu0:gpu0 Traversal Time (us) [explicit],cpu0:gpu1 Traversal Time (us) [managed],cpu0:gpu1 Traversal Time (us) [explicit],cpu0:gpu2 Traversal Time (us) [managed],cpu0:gpu2 Traversal Time (us) [explicit],cpu0:gpu3 Traversal Time (us) [managed],cpu0:gpu3 Traversal Time (us) [explicit],cpu1:gpu0 Traversal Time (us) [managed],cpu1:gpu0 Traversal Time (us) [explicit],cpu1:gpu1 Traversal Time (us) [managed],cpu1:gpu1 Traversal Time (us) [explicit],cpu1:gpu2 Traversal Time (us) [managed],cpu1:gpu2 Traversal Time (us) [explicit],cpu1:gpu3 Traversal Time (us) [managed],cpu1:gpu3 Traversal Time (us) [explicit]
4,63.85,29.55,218.87,34.4,199.59,35.85,87.83,0.06,117.42,0.11,196.87,48.06,209.58,29.94,192.35,30.3,93.49,0.07,89.06,0.05,179.1,29.85,184.88,30.11,169.42,29.62,121.86,0.11,83.3,0.06,190.88,33.09,188.55,32.38,180.25,31.17,121.36,0.12,83.91,0.06,151.49,29.22,119.43,28.71,120.4,25.66,115.08,25.13,146.64,29.03,110.22,30.31,121.85,29.55,128.27,30.44
5,191.41,31.05,258.33,29.58,245.25,29,107.22,0.07,110.1,0.07,195.7,30.28,257.17,26.37,238.66,30.51,105.21,0.08,109.76,0.08,221.32,30.09,248.01,53.59,195.62,29.06,113.45,0.07,102.94,0.07,234.32,29.43,227.33,30.13,201.63,29.5,113.88,0.08,102.95,0.07,165.99,26.01,119.28,25.39,132.43,26.38,125.74,25.26,154.07,30.57,123.55,30.32,135.22,29.2,131.12,30.61
6,221.55,31.51,294.95,30.13,262.21,29.58,122.75,0.09,126.44,0.09,207.02,29.58,288.78,31.15,269.33,29.86,120.65,0.09,126.21,0.09,269.54,30.6,250.96,29.76,241.12,31.24,130.64,0.09,118.33,0.09,272.29,30.05,248.08,32.58,232.74,28.34,144.54,0.11,117.72,0.09,197.73,31.83,140.33,31.54,156.25,34.41,150.44,31.91,194,28.86,138.57,28.78,151.11,30.2,149.18,29.45
7,244.67,29.15,334.04,31.62,314.92,29.84,159.49,0.15,147.71,0.1,247.42,31.71,320.01,34.77,317.68,42.57,145.3,0.11,162.25,0.15,315.42,38.59,300.38,36.79,262.73,36.72,151.97,0.1,154.69,0.14,316.72,40.34,293.71,38.62,246.94,32.5,152.03,0.1,137.99,0.1,207.73,24.31,149.32,25.35,164,25.96,172.4,27.93,194.69,30.97,152.17,30.51,165.32,30.23,163.45,33.59
8,268.51,32.23,351.2,34.14,339.89,31.78,182.7,0.16,164.35,0.11,273.68,30.57,341.2,34.37,319.77,32.48,198.4,0.18,163.28,0.12,331.06,31.81,337,32.19,262.05,33.69,192.81,0.16,153.02,0.12,327.02,33.38,319.12,31.77,281.62,32.35,177.13,0.13,153.12,0.12,207.85,32.67,210.59,30.96,198.82,32.62,214.72,34.42,191.73,31.33,187.42,32.19,253.24,37.21,182.26,31.24
9,319.19,33.63,407.33,33.6,402.3,33.43,178.27,0.13,184.33,0.13,298.45,30.34,382.1,30.32,397.18,32.99,195.63,0.15,183.5,0.13,379.74,31.81,366.69,32.49,294.03,30.82,204.13,0.15,173.91,0.13,363.86,30.99,376.97,31.15,324.56,32.23,190.2,0.13,172.75,0.13,215.55,31.57,237.33,30.82,231.66,29.94,244.93,31.92,219.6,30.95,228.57,30.56,228.69,31.34,243.64,33.55
10,311.85,30.92,408.97,33.14,405.96,29.77,194.23,0.14,200.21,0.14,323.74,31.74,408.85,30.67,412.06,30.69,190.46,0.15,199.66,0.14,402.09,30.98,412.52,30.41,351.02,31.59,206.26,0.14,188,0.14,396.6,30.86,406.37,30.61,328.13,32.34,206.5,0.14,187.07,0.13,264.6,30.38,239.01,30.04,278.4,33.19,292.11,30.46,264.12,32.48,274.79,30.45,280.18,30.3,292.94,30.96
11,332.48,30.45,437.49,30.79,458.63,31.21,212.75,0.16,221.33,0.15,333.85,30.71,443.49,31.94,452.16,32.88,211.87,0.16,221.24,0.16,447.06,31,417.22,31.02,346.58,30,227.85,0.15,206.5,0.16,433.93,31.57,426.21,30.79,365.85,30.54,227.47,0.15,207.16,0.16,256.45,29.1,282.81,26.83,297.13,26.53,298.01,27.94,296.35,56.5,285.69,31.22,292.59,32.2,293.66,32.59
12,374.24,31.11,477.68,32.85,495.06,33.73,252.52,0.23,237.75,0.17,460.24,31.68,488.4,33.65,489.05,30.21,225.75,0.17,236.22,0.17,468,30.94,466.38,31.87,434.75,30.28,244.17,0.17,271.04,0.26,450.62,37.92,431.85,36.41,371.32,30.54,260.76,0.2,221.61,0.17,253.78,40.17,260.75,30.12,313.64,30.78,295.12,31.64,282.47,42.26,289.89,37.14,288.8,32.18,268.96,30.41
13,399.46,30.5,514.64,32.5,554.1,30.67,246.92,0.18,258.07,0.2,420.8,31.05,516.88,34,553.05,32.17,245.98,0.19,257.2,0.18,484.85,31.57,469.37,30.88,409.41,33.4,286.9,0.24,241.41,0.19,495.62,32.99,486.95,32.33,399.63,31.2,266.51,0.18,241.28,0.18,249.48,28.39,235.87,26.27,279.9,26.4,249.1,26.46,253.08,33.55,240.51,31.37,331.7,32.08,249.09,30.77
