transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU1,1,840377513.34
2048,CPU0,CPU1,1,1716680637.05
2048,CPU0,CPU1,1,1719563392.11
2048,CPU0,CPU1,1,1779322328.41
2048,CPU0,CPU1,1,1791776028.00
2048,CPU0,CPU1,1,1807590467.78
2048,CPU0,CPU1,1,1851717902.35
2048,CPU0,CPU1,1,1807590467.78
2048,CPU0,CPU1,1,1691164327.00
2048,CPU0,CPU1,1,1838420107.72
2048,CPU0,CPU1,1,1773160173.16
2048,CPU0,CPU1,1,1826940231.94
2048,CPU0,CPU1,1,1833482542.52
2048,CPU0,CPU1,1,1846708746.62
2048,CPU0,CPU1,1,1796491228.07
2048,CPU1,CPU0,1,1481910274.96
2048,CPU1,CPU0,1,1721008403.36
2048,CPU1,CPU0,1,1718120805.37
2048,CPU1,CPU0,1,1745950554.13
2048,CPU1,CPU0,1,1757939914.16
2048,CPU1,CPU0,1,1771626297.58
2048,CPU1,CPU0,1,1774696707.11
2048,CPU1,CPU0,1,1729729729.73
2048,CPU1,CPU0,1,1728270042.19
2048,CPU1,CPU0,1,1779322328.41
2048,CPU1,CPU0,1,1767040552.20
2048,CPU1,CPU0,1,1770095073.47
2048,CPU1,CPU0,1,1735593220.34
2048,CPU1,CPU0,1,1741496598.64
2048,CPU1,CPU0,1,1734123624.05
2048,CPU0,CPU1,2,1513673318.55
2048,CPU0,CPU1,2,1537537537.54
2048,CPU0,CPU1,2,1491624180.63
2048,CPU0,CPU1,2,1470208183.78
2048,CPU0,CPU1,2,1476568132.66
2048,CPU0,CPU1,2,1598750975.80
2048,CPU0,CPU1,2,1482983345.40
2048,CPU0,CPU1,2,1530642750.37
2048,CPU0,CPU1,2,1450424929.18
2048,CPU0,CPU1,2,1581467181.47
2048,CPU0,CPU1,2,1423210562.89
2048,CPU0,CPU1,2,1549167927.38
2048,CPU0,CPU1,2,1552691432.90
2048,CPU0,CPU1,2,1611329661.68
2048,CPU0,CPU1,2,1641025641.03
2048,CPU1,CPU0,2,1500366300.37
2048,CPU1,CPU0,2,1539849624.06
2048,CPU1,CPU0,2,1565749235.47
2048,CPU1,CPU0,2,1617693522.91
2048,CPU1,CPU0,2,1574173712.53
2048,CPU1,CPU0,2,1633173843.70
2048,CPU1,CPU0,2,1617693522.91
2048,CPU1,CPU0,2,1611329661.68
2048,CPU1,CPU0,2,1612598425.20
2048,CPU1,CPU0,2,1557414448.67
2048,CPU1,CPU0,2,1665040650.41
2048,CPU1,CPU0,2,1579028527.37
2048,CPU1,CPU0,2,1560975609.76
2048,CPU1,CPU0,2,1677313677.31
2048,CPU1,CPU0,2,1575384615.38
2048,CPU0,CPU1,4,626682986.54
2048,CPU0,CPU1,4,602352941.18
2048,CPU0,CPU1,4,662140316.84
2048,CPU0,CPU1,4,662354463.13
2048,CPU0,CPU1,4,648922686.95
2048,CPU0,CPU1,4,585477415.67
2048,CPU0,CPU1,4,540226853.07
2048,CPU0,CPU1,4,627835683.63
2048,CPU0,CPU1,4,593107442.80
2048,CPU0,CPU1,4,588674906.58
2048,CPU0,CPU1,4,607715133.53
2048,CPU0,CPU1,4,614277144.57
2048,CPU0,CPU1,4,532224532.22
2048,CPU0,CPU1,4,489600765.00
2048,CPU0,CPU1,4,665583360.42
2048,CPU1,CPU0,4,582811610.70
2048,CPU1,CPU0,4,546716497.60
2048,CPU1,CPU0,4,631708821.71
2048,CPU1,CPU0,4,601291837.93
2048,CPU1,CPU0,4,600234466.59
2048,CPU1,CPU0,4,597084548.10
2048,CPU1,CPU0,4,739617190.32
2048,CPU1,CPU0,4,555013550.14
2048,CPU1,CPU0,4,595521954.06
2048,CPU1,CPU0,4,612440191.39
2048,CPU1,CPU0,4,611160847.51
2048,CPU1,CPU0,4,627066748.32
2048,CPU1,CPU0,4,552915766.74
2048,CPU1,CPU0,4,674349687.19
2048,CPU1,CPU0,4,739083363.41
2048,CPU0,CPU1,8,139737991.27
2048,CPU0,CPU1,8,157019090.70
2048,CPU0,CPU1,8,612806702.57
2048,CPU0,CPU1,8,169396195.20
2048,CPU0,CPU1,8,155776983.34
2048,CPU0,CPU1,8,154472771.16
2048,CPU0,CPU1,8,148610405.63
2048,CPU0,CPU1,8,169817578.77
2048,CPU0,CPU1,8,157272308.40
2048,CPU0,CPU1,8,148373541.98
2048,CPU0,CPU1,8,148567283.28
2048,CPU0,CPU1,8,151962602.95
2048,CPU0,CPU1,8,157332718.75
2048,CPU0,CPU1,8,60632975.10
2048,CPU0,CPU1,8,150743412.34
2048,CPU1,CPU0,8,157211944.42
2048,CPU1,CPU0,8,190937907.89
2048,CPU1,CPU0,8,162192127.98
2048,CPU1,CPU0,8,164537639.59
2048,CPU1,CPU0,8,151132757.73
2048,CPU1,CPU0,8,169634722.11
2048,CPU1,CPU0,8,183743046.83
2048,CPU1,CPU0,8,168034131.93
2048,CPU1,CPU0,8,162166442.32
2048,CPU1,CPU0,8,158747383.92
2048,CPU1,CPU0,8,165856818.92
2048,CPU1,CPU0,8,164484780.34
2048,CPU1,CPU0,8,161018948.03
2048,CPU1,CPU0,8,156527055.95
2048,CPU1,CPU0,8,165321278.66
2048,CPU0,CPU1,16,1622021.48
2048,CPU0,CPU1,16,840683.84
2048,CPU0,CPU1,16,844094.72
2048,CPU0,CPU1,16,653459.01
2048,CPU0,CPU1,16,840781.86
2048,CPU0,CPU1,16,840630.70
2048,CPU0,CPU1,16,837560.33
2048,CPU0,CPU1,16,673678.67
2048,CPU0,CPU1,16,839194.31
2048,CPU0,CPU1,16,841544.35
2048,CPU0,CPU1,16,652026.42
2048,CPU0,CPU1,16,832462.80
2048,CPU0,CPU1,16,838562.75
2048,CPU0,CPU1,16,838856.08
2048,CPU0,CPU1,16,471501.55
2048,CPU1,CPU0,16,842191.49
2048,CPU1,CPU0,16,392820.21
2048,CPU1,CPU0,16,841702.41
2048,CPU1,CPU0,16,652043.86
2048,CPU1,CPU0,16,420171.77
2048,CPU1,CPU0,16,843899.24
2048,CPU1,CPU0,16,841973.70
2048,CPU1,CPU0,16,847212.58
2048,CPU1,CPU0,16,842050.56
2048,CPU1,CPU0,16,840242.70
2048,CPU1,CPU0,16,842023.90
2048,CPU1,CPU0,16,655774.03
2048,CPU1,CPU0,16,649397.59
2048,CPU1,CPU0,16,480211.89
2048,CPU1,CPU0,16,417440.96
3072,CPU0,CPU1,1,1946768060.84
3072,CPU0,CPU1,1,2064516129.03
3072,CPU0,CPU1,1,2094069529.65
3072,CPU0,CPU1,1,2160337552.74
3072,CPU0,CPU1,1,2128898128.90
3072,CPU0,CPU1,1,2094069529.65
3072,CPU0,CPU1,1,2139275766.02
3072,CPU0,CPU1,1,2053475935.83
3072,CPU0,CPU1,1,2175637393.77
3072,CPU0,CPU1,1,2067294751.01
3072,CPU0,CPU1,1,2105551747.77
3072,CPU0,CPU1,1,2111340206.19
3072,CPU0,CPU1,1,2089795918.37
3072,CPU0,CPU1,1,2131852879.94
3072,CPU0,CPU1,1,2077079107.51
3072,CPU1,CPU0,1,1945535148.83
3072,CPU1,CPU0,1,2237436270.94
3072,CPU1,CPU0,1,2278931750.74
3072,CPU1,CPU0,1,2184921763.87
3072,CPU1,CPU0,1,2292537313.43
3072,CPU1,CPU0,1,2152768044.85
