Transfer Size (MB),CPU0 to CPU0,CPU0 to CPU1,CPU1 to CPU0,CPU1 to CPU1
0.001953,372.88,373.02,367.75,370.12
0.00293,564.7,558.46,551.63,543.14
0.003906,738.84,751.06,738.84,737.31
0.005859,1100.56,1122.7,1070.99,1089.31
0.007812,914.71,1477.12,1436.65,1432.7
0.011719,2190.42,2153.39,2098.63,2117.59
0.015625,2862.25,2846.08,2791.18,2834.72
0.023438,4172.6,4119.79,4060.55,4112.56
0.03125,5331.85,5340.97,5231.88,5240.65
0.046875,7307.09,7337.98,7264.06,7271.95
0.0625,9161.54,9090.91,9242.83,9137.43
0.09375,12042.39,12093.65,11867.09,11858.08
0.125,14323.36,14565.37,14308.61,14390.97
0.1875,17235.04,17247.72,17200.26,17026.88
0.25,18007.64,17927.57,17827.85,17854.59
0.375,21020.18,21054.4,20981.37,20821.77
0.5,23289.39,23262.31,23123.53,23027.68
0.75,25922.85,25957.84,25827.34,25849.59
1,27411.53,27603.72,27461.21,27435.59
1.5,29207.88,29267.72,29290.58,29215.85
2,30205.55,30306.24,30243,30323.71
3,23426.88,16695.61,24044.63,26690.63
4,19412.76,19087.07,18526.5,18761.46
6,15505.84,15092.78,15810.03,15744.64
8,16329.7,14162.1,14458.55,17124.94
12,18252.81,13880.12,13955.86,18013.53
16,18359.83,13375.76,13754.99,18058
24,18689.8,13858.55,14051.56,18531.37
32,14450.34,10855.76,11182.98,14640.26
48,14188.37,12150.39,12430.03,14259.61
64,14683.73,11747.25,12358.49,14554.6
96,14646.52,11954.06,11979.85,14643.64
128,14657.14,12393.74,12557.41,14506.21
192,14748.38,12709.17,12801.89,14560.41
256,14744.13,12793.23,12961.07,14607.15
384,14739.93,12898.94,13026.72,14650.92
512,14729.42,13003.78,13217.49,14733.04
768,14684.27,13083.77,13309.88,14669.79
1024,14676.26,13114.09,13347.51,14751.37
1536,14685.71,13147.39,13423.62,14732.6
2048,14679.58,13170.42,13417.58,14777.55
3072,14660.63,13216.11,13457.61,14721.67
