Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU1 to GPU0 (pinned),CPU1 to GPU1 (pinned),CPU1 to GPU2 (pinned),CPU1 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU1 (pinned),GPU1 to CPU1 (pinned),GPU2 to CPU1 (pinned),GPU3 to CPU1 (pinned)
0.001953,173.32,195.16,169.84,185.76,108.56,142.53,168.04,168.04,130.85,131.75,224.68,222.88,196.93,203.56,224.76,227.16
0.00293,286.27,286.55,278.59,278.2,245.7,250.66,282.38,278.25,336.17,341.61,334.9,333.26,297.97,298.83,339.12,338.46
0.003906,369,373.88,359.99,361.15,330,328.98,371.07,366.89,446.33,452.69,443.29,445.97,393.06,398.43,450.24,449.46
0.005859,503.47,499.86,494.88,482.41,484.77,473.37,497.99,488.93,599.3,671.72,614.13,657.54,590.54,590.31,665.38,662.45
0.007812,654.97,662.02,652.62,640.26,636.4,641.16,653.49,637.13,800.13,845.14,786.92,788.66,792.34,787.07,797.6,836.46
0.011719,970.42,957.88,963.4,952.2,931.98,934.88,953.75,933.39,1251.2,1204.89,1178.24,1183.71,1177.41,1189.72,1183,1313.47
0.015625,1248.6,1254.31,1235.18,1238.8,1165.61,1184.25,1212.18,1200.35,1598.14,1603.88,1577.65,1573.83,1565.16,1563.44,1697.82,1596.83
0.023438,1614.93,1635.67,1601.25,1609.28,1572.14,1577.01,1565.84,1566.99,2392.8,2405.33,2354.34,2374.38,2359.08,2366.95,2357.66,2366.71
0.03125,3122.19,3207.1,3058.63,3095.9,2765.73,2787.94,3179.69,3118.76,3233.65,3171.3,3130.32,3130.95,3051.16,3041.66,3166.48,3159.44
0.046875,4183.4,4174.09,4147.86,4112.92,4113.65,4176.69,4115.45,4100.33,4753.09,4181.16,4128.5,4108.96,4179.67,4175.57,4775.37,4771.48
0.0625,4286.4,4608.46,4275.26,4253.15,3420.91,3456.09,4591.2,5472.85,5589.34,5636.72,5432.89,5455.18,5231,5267.59,6039.23,5932.61
0.09375,7373.18,7457.05,7395.87,7395.87,7342.58,7404.04,7381.31,7317.93,8359.34,7459.42,7217.09,7220.98,6624.51,6690.69,8230.18,7312.79
0.125,9010.31,9609.47,8860.85,8765.78,8897.43,8792.91,9429.69,9419.74,9954.61,8863.36,8602.3,8606.44,8033.94,8061.92,8811.5,9799.31
0.1875,12066.41,12175.32,11897.21,11880.62,11937.35,11822.94,12057.1,11946.48,13274.34,11109.79,10639.51,10735.76,10197.42,10232.48,13163.44,13077.14
0.25,14665.34,14552.65,13646.29,13521.55,13609.89,13530.34,14435.85,14514.63,14824.48,12675.56,11848.34,12140.64,11776.34,11744.26,14640.43,12455.16
0.375,17498.02,17638.76,16546.06,16358.4,16522.74,16489.31,17430.51,17533.2,17402.2,15575.68,13854,14085.57,13968.56,13873.99,15574.38,17459.73
0.5,19532.78,19517.53,18542.56,18347.28,18494.54,18572.17,19487.1,19355.84,19730.09,16810.11,15334.6,15071.59,15225.8,15279.77,19592.48,19465.86
0.75,22049.74,22005.75,21045.54,20835.65,21076.89,21164.92,21988.33,21821.36,22172.29,20143.96,16896.08,16852.42,16759.03,16535.49,20677.68,22745.19
1,23484.1,23418.66,22451.73,22364.86,22127.81,22089.68,23338.86,23205.09,23590.47,22395.91,17597.58,17613.39,17404.32,17501.79,24334.45,22378.37
1.5,24793.39,24610.74,23623.54,23685.08,23287.95,23541.97,13495.16,24769.23,23953.63,24171.72,18284.88,18259.95,18206.76,18187.55,24279.31,24341.56
2,25975.71,26071.54,24680.08,24629.03,24597.52,24717.3,26042.34,25918.82,25520.95,26125.01,18857.25,18861.34,18781.46,18815.03,25484.85,25761.91
3,27504.77,27545.68,25844.47,25867.87,25771.65,25788.26,27606.01,27403.77,26170.93,26654.35,19487.99,19475.84,19445.54,19449.83,26350.46,26291.57
4,28316.98,28348.89,26428.28,26379.13,26322.37,26476.04,28376.24,28319.39,27329.68,27736.75,19751.23,19756.5,19717.55,19733.5,26697.28,26347.68
6,29541.08,29514.34,27093.79,27089.99,27049.32,27121.83,29348.46,23959.65,28063.48,28329.55,20095.92,20102.99,20046.44,20080.39,27593.69,28078.58
8,29782.62,29796.05,27493.77,27476.87,27442.28,27456.97,29714.7,29806.04,29330.24,29363.51,20273.03,20291.54,20267.48,20257.78,29084.77,28766.42
12,29672.42,29535.92,27928.28,27925.55,27880.13,27902.43,29868.95,29823.67,30314.74,30346.71,20473.9,20468.49,20461.79,20470.17,29664.71,29678.87
16,29504.02,29495.64,28137.11,28168.72,28130.14,28158.85,29868.47,29858.04,30839.21,30858.48,20567.27,20568.33,20562.17,20566.24,29513,30333.71
24,29418.04,29611.64,28374.33,28358.81,28362.26,28366.08,29876.39,29843.77,31366.48,31363.08,20666.67,20667.01,20661.17,20663.08,28801.29,28805.27
32,29324.6,29353.54,28477.58,28472.71,28474.56,28486.99,29872.23,29892.96,31622.77,31631.68,20715.62,20715.67,20711.37,20712.64,28625.25,28522.71
48,29289.97,29374.87,28581.4,28589.89,28594.25,28593.61,30283.07,30222.11,31896.25,31898.31,20763.89,20764.95,20764.14,20762.65,28178.52,27680.53
64,29562.5,30650.3,28677.7,28688.22,28604.49,28659.34,31139.93,31221.78,31981.1,32001.74,20789.38,20790.09,20788.51,20789.3,27504.61,28679.14
96,31682.6,31285.49,28630.91,28614.91,28602.44,28625.26,31459.37,31395.72,32130.54,32123.86,20815.06,20814.56,20814.4,20815.25,28091.75,27961.37
128,31259.43,30745.62,28412.98,28394.95,28543.25,28440.96,30908.86,30943.56,32219.71,32221.6,20827.91,20827.74,20826.65,20827.49,27222.7,27601.02
192,30670,30590.86,28174.59,28213.2,28246.16,28241.91,30713.1,30747.73,32079.95,32070.28,20841.14,20841.07,20841.2,20840.72,28115.99,28148.62
256,30487.45,30501.19,28096.26,28101.33,28159.34,28138.99,30689.28,30706.63,32159.1,32138.27,20845.98,20845.9,20845.26,20845.68,28073.97,28174.41
384,30487.74,30488.45,28057.71,28044.05,28066.71,28062.66,30635.03,30649.05,32246.18,32244.3,20852.21,20852.46,20852.35,20851.7,28864.55,28756.09
512,30494.04,30503.51,27989.7,28010.82,28010.38,28002.78,30562.33,30578.18,32302.86,32303.9,20855.78,20855.65,20855.62,20855.6,29661.72,29615.3
768,30489.78,30467.18,27998.58,27967.22,27943.34,27951.27,30518.19,30509.97,32325.53,32331.06,20858.77,20858.79,20858.75,20859.13,31454.39,31429.81
1024,30462.96,30468.69,27949.31,27958.92,27921.66,27905.26,30497.99,30491.19,32397.03,32401.01,20860.7,20860.4,20860.56,20859.96,31211.87,31197.28
1536,30445.33,30430.85,27937.89,27940.52,27877.43,27903.23,30487.11,30474.42,32397.79,32395.18,20862.52,20862.14,20861.8,20862.06,30775.72,30783.6
2048,30432.6,30430.39,27928.49,27933.52,27858.47,27869.99,30477.33,30471.59,32423.68,32424.91,20862.95,20862.52,20862.69,20862.81,31688.86,31684.1
3072,30428.81,30423.98,27922.76,27926.81,27834.18,27830.53,30471.73,30459.72,32432.4,32433.37,20863.44,20863.88,20863.32,20863.2,32014.29,31983.54
4096,30374.76,30414.98,27925.56,27899.45,27820.78,27821.52,30464.78,30442.54,32435.12,32438.83,20863.48,20863.7,20863.54,20863.64,32008.88,31990.68
6144,30285.22,30325.57,27813.88,27776.46,27715.05,27721.63,30368.77,30340.91,32272.02,32272.36,20756,20756.32,20756.04,20755.82,31792.28,31785.25
8192,30254.16,30276.04,27758.43,27725.67,27663.69,27665.2,30326.82,30306.45,32189.69,32189.18,20702.39,20702.45,20702.38,20702.5,31851.44,31850.4
12288,30212.34,30248.07,27698.08,27670.83,27612.85,27615.25,30284.54,30257.37,32112.32,32112.03,20649.28,20649.36,20649.31,20649.3,32001.77,31980.62
