Transfer Size (MB),CPU0 to GPU0 (prefetch),CPU0 to GPU1 (prefetch),CPU0 to GPU2 (prefetch),CPU0 to GPU3 (prefetch),CPU1 to GPU0 (prefetch),CPU1 to GPU1 (prefetch),CPU1 to GPU2 (prefetch),CPU1 to GPU3 (prefetch),GPU0 to CPU0 (prefetch),GPU0 to CPU1 (prefetch),GPU0 to GPU1 (prefetch),GPU0 to GPU2 (prefetch),GPU0 to GPU3 (prefetch),GPU1 to CPU0 (prefetch),GPU1 to CPU1 (prefetch),GPU1 to GPU0 (prefetch),GPU1 to GPU2 (prefetch),GPU1 to GPU3 (prefetch),GPU2 to CPU0 (prefetch),GPU2 to CPU1 (prefetch),GPU2 to GPU0 (prefetch),GPU2 to GPU1 (prefetch),GPU2 to GPU3 (prefetch),GPU3 to CPU0 (prefetch),GPU3 to CPU1 (prefetch),GPU3 to GPU0 (prefetch),GPU3 to GPU1 (prefetch),GPU3 to GPU2 (prefetch)
0.001953,93.06,79.43,74.24,65.45,54.45,44.91,43.96,41.08,36.7,34.87,33.12,31.46,29.86,77.54,68.48,61.7,58.78,52.09,81.48,72.35,53.37,50.69,53.19,80.31,72.6,53.89,51.72,53.69
0.00293,74.81,69.63,65.09,59.49,56.11,52.3,49.76,46.51,41.21,39.66,39.02,36.31,35.07,68.27,63.2,62.53,56.41,53.23,69.54,65.56,60.72,56.06,54.32,42.14,40.19,38.7,36.61,35.62
0.003906,45.79,44.7,42.57,41.08,39.3,38.53,36.86,35.65,43.91,42.53,41.64,40.01,38.01,64.55,61.8,60.35,55.41,53.34,66.25,62.5,59.45,55.64,54.07,33.51,32.7,31.75,30.88,30.1
0.005859,44.24,43.46,42.12,41.01,40.18,39.02,38.51,37.5,54.78,53.42,52.58,49.92,48.41,75.76,72.8,71.35,67.36,65.16,76.72,73.34,70.69,67.2,65.63,35.86,35.28,33.94,33.55,33.11
0.007812,43.61,42.66,41.6,41.21,40.32,39.52,38.6,38.03,62.67,60.99,60.67,58.33,56.76,81.91,78.99,77.26,74.68,71.74,82.37,79.55,77.45,74.58,72.03,36.9,36.15,35.62,35.02,34.72
0.011719,51.52,50.75,50.11,49.11,48.52,47.59,46.88,46.52,82.44,79.4,79.38,76.83,74.82,102.13,99.05,97.9,94.56,91.64,103.43,100.61,96.88,94.63,93.42,45.43,44.83,43.94,43.42,42.41
0.015625,56.72,55.17,55.3,54.39,54.04,53.07,52.81,52.37,97.8,94.84,93.74,91.25,89.02,118.39,115.13,114.23,111,107.78,120.43,116.96,112.48,110.77,108.49,51.04,49.69,49.8,49.09,48.35
0.023438,72.06,71.14,70.45,69.46,68.97,68.52,67.75,66.5,130.08,127.66,126.83,122.65,121.11,156.34,151.61,152.32,147.42,144.37,157.15,154.43,151.3,147.91,143.36,65.34,65.25,64.35,63.65,62.76
0.03125,83.68,82.63,81.06,80.56,80.03,79.47,78.32,77.63,157.58,154.65,153.26,149.68,147.05,185.62,181.49,179.49,174.65,171.4,187.18,183.48,178.58,175.42,174.03,76.62,76.02,75.52,74.99,74.16
0.046875,109.92,108.73,107.72,107.11,105.98,106.32,104.7,103.5,216.11,211.01,211.32,206.46,204.18,250.04,246.69,244.31,237.49,233.72,251.27,248.26,242.38,238.13,232.75,102.37,101.52,100.55,99.57,99.33
0.0625,131.69,132.23,130.56,129.19,128.94,128.01,125.75,125.81,266.17,262.32,259.77,254.58,251.99,301.26,298.34,296.83,289.93,283.77,305.77,299.07,291.57,289.7,285.96,123.86,122.62,121.87,120.24,120.18
0.09375,180.28,177.58,177.81,175.1,173.61,173.7,172.74,169.84,363.65,361.01,363.65,354.01,350.91,411.79,406.98,410.39,399.14,395.82,417.36,409.83,406.39,398.82,396,168.52,167,166.41,164.67,163.96
0.125,219.71,218.61,216.82,215.27,213.36,211.71,211.65,208.96,454.24,448.2,448.45,440.33,434.58,508.45,503.37,507.58,495.24,489.28,516.72,507.04,504.01,497.08,491.06,208.12,204.91,203.89,202.46,201.29
