transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU1,1,767041198.50
2048,CPU0,CPU1,1,1875457875.46
2048,CPU0,CPU1,1,1937559129.61
2048,CPU0,CPU1,1,1998048780.49
2048,CPU0,CPU1,1,1928436911.49
2048,CPU0,CPU1,1,1952335557.67
2048,CPU0,CPU1,1,2064516129.03
2048,CPU0,CPU1,1,2045954045.95
2048,CPU0,CPU1,1,2091930541.37
2048,CPU0,CPU1,1,2039840637.45
2048,CPU0,CPU1,1,2102669404.52
2048,CPU0,CPU1,1,2098360655.74
2048,CPU0,CPU1,1,2109165808.44
2048,CPU0,CPU1,1,2096212896.62
2048,CPU0,CPU1,1,2048000000.00
2048,CPU1,CPU0,1,1801231310.47
2048,CPU1,CPU0,1,2043912175.65
2048,CPU1,CPU0,1,2068686868.69
2048,CPU1,CPU0,1,2019723865.88
2048,CPU1,CPU0,1,2064516129.03
2048,CPU1,CPU0,1,1998048780.49
2048,CPU1,CPU0,1,2015748031.50
2048,CPU1,CPU0,1,2060362173.04
2048,CPU1,CPU0,1,2096212896.62
2048,CPU1,CPU0,1,2048000000.00
2048,CPU1,CPU0,1,2009813542.69
2048,CPU1,CPU0,1,2089795918.37
2048,CPU1,CPU0,1,2085539714.87
2048,CPU1,CPU0,1,2056224899.60
2048,CPU1,CPU0,1,2079187817.26
2048,CPU0,CPU1,2,1696768848.38
2048,CPU0,CPU1,2,2009813542.69
2048,CPU0,CPU1,2,1782419495.21
2048,CPU0,CPU1,2,1996101364.52
2048,CPU0,CPU1,2,2066599394.55
2048,CPU0,CPU1,2,1616416732.44
2048,CPU0,CPU1,2,1978743961.35
2048,CPU0,CPU1,2,1986420950.53
2048,CPU0,CPU1,2,2077079107.51
2048,CPU0,CPU1,2,1768566493.96
2048,CPU0,CPU1,2,2070778564.21
2048,CPU0,CPU1,2,1851717902.35
2048,CPU0,CPU1,2,1747440273.04
2048,CPU0,CPU1,2,1823686553.87
2048,CPU0,CPU1,2,2070778564.21
2048,CPU1,CPU0,2,1889298892.99
2048,CPU1,CPU0,2,1798068481.12
2048,CPU1,CPU0,2,1870319634.70
2048,CPU1,CPU0,2,1537537537.54
2048,CPU1,CPU0,2,2113519091.85
2048,CPU1,CPU0,2,1885819521.18
2048,CPU1,CPU0,2,1855072463.77
2048,CPU1,CPU0,2,1826940231.94
2048,CPU1,CPU0,2,2111340206.19
2048,CPU1,CPU0,2,2206896551.72
2048,CPU1,CPU0,2,2183368869.94
2048,CPU1,CPU0,2,1996101364.52
2048,CPU1,CPU0,2,1843384338.43
2048,CPU1,CPU0,2,1843384338.43
2048,CPU1,CPU0,2,1865209471.77
2048,CPU0,CPU1,4,566841959.59
2048,CPU0,CPU1,4,512512512.51
2048,CPU0,CPU1,4,548767416.93
2048,CPU0,CPU1,4,1170285714.29
2048,CPU0,CPU1,4,679495686.79
2048,CPU0,CPU1,4,562328390.99
2048,CPU0,CPU1,4,650778519.22
2048,CPU0,CPU1,4,568257491.68
2048,CPU0,CPU1,4,662354463.13
2048,CPU0,CPU1,4,1327284510.69
