Transfer Size (MB),CPU0 to GPU0 (wc),CPU0 to GPU1 (wc),CPU0 to GPU2 (wc),CPU0 to GPU3 (wc),CPU1 to GPU0 (wc),CPU1 to GPU1 (wc),CPU1 to GPU2 (wc),CPU1 to GPU3 (wc),GPU0 to CPU0 (wc),GPU1 to CPU0 (wc),GPU2 to CPU0 (wc),GPU3 to CPU0 (wc),GPU0 to CPU1 (wc),GPU1 to CPU1 (wc),GPU2 to CPU1 (wc),GPU3 to CPU1 (wc)
0.001953,201.66,202.19,201.62,207.03,205.05,202.96,202.12,203.71,233.96,235.37,250.79,250.69,236.4,236.11,251.01,253.16
0.00293,299.41,302.97,305.62,303.06,301.69,301.28,300.45,303.09,351.87,355.42,375.55,381.02,355.76,355.85,371.36,375.75
0.003906,392.23,396.82,405.42,402.25,395.45,392.15,404.37,404.21,468.6,473.48,484.29,482.55,471.54,473.83,470.35,488.95
0.005859,562.81,573.16,588.35,593.78,570.09,571.87,592.16,593.11,708.08,708.6,705.52,711.69,703.83,704.76,706.37,713.43
0.007812,734.88,731.85,738.42,742.42,728.3,729.94,736.89,738,946.97,947.43,944.34,945.02,939.91,946.97,938.1,945.02
0.011719,1038.07,1037.52,1055.55,1066.41,1048.28,1042.41,1051.86,1064.57,1409.18,1415.82,1413.09,1419.08,1416.68,1410.2,1402.44,1419.42
0.015625,1296.79,1330.92,1292.39,1306.33,1290.68,1286.01,1320.35,1350.71,1841.92,1857.91,1879.81,1904.33,1856.58,1858.79,1886.39,1904.79
0.023438,1780.42,1764.21,1781.1,1783.13,1772.21,1757.72,1781.37,1787.89,2591.78,2598.97,2817.68,2828.22,2598.97,2636.69,2859.98,2845.74
0.03125,3298.85,3339.03,3441.63,3472.99,3315.65,3296.76,3394.89,3433.31,3381.3,3404.51,3649.85,3689.93,3397.11,3410.83,3676.47,3702.17
0.046875,4658.15,4634.66,4786.58,4769.54,4680.95,4679.08,4781.21,4796.87,4711.53,4716.74,5196.21,5206.02,4740.12,4699.25,5224.01,5215.29
0.0625,5879.03,5968.87,5953.51,6213.96,5900.68,5932.61,6072.09,6123.25,5840.58,5857.54,6395.82,6473.33,5844.95,5834.03,6384.72,6451.95
0.09375,8091.66,8010.08,8372.78,8417.89,7981.44,7910.06,8292.79,8328.89,7658.06,7676.25,8970.43,9033.53,7633.74,7626.29,9018.76,8973.01
0.125,9732.17,9830.91,10209.08,10256.83,9803.92,9827.82,10067.65,10261.88,8915.2,8997.34,10973.58,10971.65,9128.09,9132.75,10989.01,10953.38
