Transfer Size (MB),CPU0 to CPU0,CPU0 to CPU8,CPU8 to CPU0,CPU8 to CPU8
0.001953,134.48,134.65,154.02,154.29
0.002930,199.69,199.79,230.77,233.42
0.003906,266.97,265.33,309.60,307.60
0.005859,397.79,401.02,460.57,462.83
0.007812,531.32,528.44,608.40,614.48
0.011719,786.39,787.87,915.96,908.57
0.015625,1046.34,1041.11,1202.48,1205.45
0.023438,1551.54,1545.30,1776.24,1787.35
0.031250,2021.08,2033.45,2339.95,2340.30
0.046875,2964.90,2958.35,3391.33,3399.94
0.062500,3832.00,3821.93,4384.43,4406.68
0.093750,5449.63,5475.41,6194.25,6077.80
0.125000,6727.30,6736.37,7601.09,7634.05
0.187500,8404.68,8509.19,9786.52,9757.49
0.250000,10308.85,10274.96,11908.73,11887.78
0.375000,13647.78,13556.01,15483.07,15483.07
0.500000,16194.33,16192.23,18205.65,18331.13
0.750000,20060.45,20024.03,22191.32,22223.54
1.000000,22740.71,22764.52,24816.97,24868.82
1.500000,26204.99,26221.03,28305.09,28307.76
2.000000,28423.63,28493.28,30357.31,30358.69
3.000000,31048.19,31054.94,32819.17,32698.26
4.000000,23356.71,15892.00,33790.06,33627.01
6.000000,19888.69,16251.84,17863.36,13715.35
8.000000,15220.82,12421.42,13193.00,11435.11
12.000000,14406.68,11057.65,12126.66,10614.15
16.000000,13503.37,9575.50,10522.75,8640.45
24.000000,12972.92,7518.18,8466.80,7483.21
32.000000,13171.36,7421.51,7307.86,13558.21
48.000000,10061.26,7003.26,6882.74,10742.78
64.000000,10341.30,6825.39,6875.63,10751.38
96.000000,10365.38,6942.86,6992.68,10699.93
128.000000,10381.62,6973.80,7065.02,10565.84
192.000000,10413.81,7013.54,7129.47,10659.54
256.000000,10393.94,7002.57,7172.77,10670.88
384.000000,11021.23,7071.54,7224.16,11302.97
512.000000,10874.89,6894.68,7126.04,11152.44
768.000000,10725.16,6999.21,7123.23,10995.94
1024.000000,10624.07,7043.38,7132.54,10920.95
1536.000000,10505.31,7089.57,7208.26,10848.05
2048.000000,10498.11,7110.44,7234.80,10697.13
3072.000000,10431.87,7150.53,7247.04,10765.28
