Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to GPU4 (coherence),GPU0 to GPU5 (coherence),GPU0 to GPU6 (coherence),GPU0 to GPU7 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to GPU4 (coherence),GPU1 to GPU5 (coherence),GPU1 to GPU6 (coherence),GPU1 to GPU7 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to GPU4 (coherence),GPU2 to GPU5 (coherence),GPU2 to GPU6 (coherence),GPU2 to GPU7 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to GPU4 (coherence),GPU3 to GPU5 (coherence),GPU3 to GPU6 (coherence),GPU3 to GPU7 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),GPU4 to GPU0 (coherence),GPU4 to GPU1 (coherence),GPU4 to GPU2 (coherence),GPU4 to GPU3 (coherence),GPU4 to GPU5 (coherence),GPU4 to GPU6 (coherence),GPU4 to GPU7 (coherence),GPU4 to CPU0 (coherence),GPU4 to CPU1 (coherence),GPU5 to GPU0 (coherence),GPU5 to GPU1 (coherence),GPU5 to GPU2 (coherence),GPU5 to GPU3 (coherence),GPU5 to GPU4 (coherence),GPU5 to GPU6 (coherence),GPU5 to GPU7 (coherence),GPU5 to CPU0 (coherence),GPU5 to CPU1 (coherence),GPU6 to GPU0 (coherence),GPU6 to GPU1 (coherence),GPU6 to GPU2 (coherence),GPU6 to GPU3 (coherence),GPU6 to GPU4 (coherence),GPU6 to GPU5 (coherence),GPU6 to GPU7 (coherence),GPU6 to CPU0 (coherence),GPU6 to CPU1 (coherence),GPU7 to GPU0 (coherence),GPU7 to GPU1 (coherence),GPU7 to GPU2 (coherence),GPU7 to GPU3 (coherence),GPU7 to GPU4 (coherence),GPU7 to GPU5 (coherence),GPU7 to GPU6 (coherence),GPU7 to CPU0 (coherence),GPU7 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU0 to GPU4 (coherence),CPU0 to GPU5 (coherence),CPU0 to GPU6 (coherence),CPU0 to GPU7 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence),CPU1 to GPU4 (coherence),CPU1 to GPU5 (coherence),CPU1 to GPU6 (coherence),CPU1 to GPU7 (coherence)
0.001953,89.24,91.48,91.96,80.89,86.08,91.49,84.46,0.5,0.21,85.74,90.38,88.9,90.26,90.44,91.88,86.35,0.33,0.47,92.94,91.48,88,91.72,90.56,89.36,91.61,0.51,0.46,80.87,88.51,89.13,90.29,90.05,89.01,90.99,0.88,0.46,80.74,92.93,90.9,92.79,91.88,92.28,92.14,0.8,0.88,78.03,89.87,89.87,88.76,89.66,89.14,87.5,0.47,0.59,91.87,89.87,90.72,89.26,90.12,88.42,90.37,0.48,0.92,83.11,89.82,87.7,89.07,89.45,89.6,88.52,0.48,0.79,52.72,63.9,63.6,59.78,60.32,61.16,62.89,69.4,39.36,79.25,64.13,86.95,63.55,89.98,83.54,69.87
0.00293,127.18,132.53,132.78,133.19,131.36,131.2,129.78,1.38,1.29,124.2,131.94,132.79,133.31,132.06,132.58,133.12,0.67,1.39,135.47,133.9,131.99,131.25,131.28,134.19,131.45,1.38,1.38,96.72,135.71,135.85,131.02,134.11,132.08,137.18,1.39,1.38,134.79,133.35,133.54,134.11,132.25,133.95,134.64,1.28,1.34,104.1,134.8,136.61,135.69,134.89,131.89,137.05,1.37,0.89,118.44,128.65,133.76,130.94,131.08,131.96,132.16,0.69,1.34,95.67,132.1,133.98,132.32,131.57,135.06,127.83,0.7,0.69,93.22,103.39,114.46,102.91,109.29,104.65,106.27,103.83,76.79,113.58,128.4,98.42,132.75,115.36,134.12,122.34
0.003906,58.15,63.67,64.84,65.7,65.57,57.53,58.01,0.91,1.17,37.17,35.82,63.7,54.75,64.47,52.13,57.6,1.69,1.8,39.03,60.58,63.97,55.1,52.78,62.61,55.18,1.78,1.71,48.58,64.15,60.91,50.32,53.37,56.93,64.46,0.92,0.89,52.37,33.79,61.68,44.47,57.35,56.96,57.17,1.85,0.93,38.8,63.7,49.29,38.03,57.41,56.86,62.87,0.69,1.82,33.92,36.16,60.6,35.55,62.57,62.01,61.94,1.86,0.92,54.07,60.59,47.54,62.76,67.23,67.59,57.13,1.83,1.79,46.21,64.84,44.77,60.48,54.48,57.97,58.14,68.71,64.81,61.47,60.15,61.7,58.81,67.74,61.58,78.24
0.005859,91.13,83.65,96.89,97.3,88.36,77.57,87.05,2.03,2.76,89.3,50.94,79.78,86.95,91.34,86.94,93.73,1.38,2.66,60.64,92.09,71.9,89.69,84.43,95.43,86.37,2.78,1.41,80.99,93.14,87.58,88.34,89.2,88.41,98.11,1.83,1.39,53.43,52.09,53.82,81.09,84.83,85.34,84.99,2.78,2.75,80.08,88.03,59.95,59.85,81.46,84.61,86.16,1.39,1.41,77.33,79.12,93.85,79.9,85.23,84.44,84.48,2.73,1.55,68.13,56.71,89.38,60.89,85.1,84.77,80.88,1.39,1.55,81.33,61.75,61.95,95.34,41.74,41.57,86.39,83.31,52.2,68.37,61.46,118.69,107.23,81.58,86.83,91.76
0.007812,108.43,100.67,124.26,152.8,116.12,110.8,98.92,2.32,3.69,106.47,121.16,110.19,127.82,126.57,115.66,106.9,1.86,1.85,126.6,124.82,125.13,118.25,99.6,128.38,105.75,3.71,1.86,86.79,109.81,125.15,116.4,99.93,116.14,127.66,1.85,3.5,74.26,107.67,74.73,71.81,114.97,113.26,108.52,3.38,1.88,73.94,119.2,116.03,67.95,123.38,125.43,123.28,3.18,3.7,108.16,112.57,88.19,93.99,114.37,113.2,115.01,1.85,1.86,106.9,112.15,75.62,108.35,114.57,113.79,111.02,1.83,2.02,75.62,115.66,77.22,85.49,118.39,111.94,114.48,82.61,85.58,105.33,129.8,73.04,126.17,148.65,127.18,113.69
0.011719,187.43,142.79,124.9,191.28,156.59,163.48,164.16,5.29,5.09,111.55,108.53,108.13,159.11,190.91,155.62,157.71,2.76,5.04,125.59,161.87,170.12,156.76,174.57,191,158.18,4.2,2.74,136.45,108.83,126.45,162.19,143.65,153.01,192.81,3,5.57,123.62,171.47,111.21,159.46,169.34,168.98,169.15,5.55,5.32,108.64,185.06,175.24,109.94,163.12,168.48,163,2.73,3.35,172.35,173.93,189.49,110.35,186.47,187.81,172.5,2.79,3.38,128.83,122.7,126.39,191.33,168.03,187.45,168,5.19,5.45,126.45,102.02,183.37,176.08,151.64,171.24,157.97,163.97,100.62,177.91,131.72,183.24,170.32,192.07,158.96,180.02
0.015625,205.54,218.49,207.73,238.39,226.97,227.71,200.56,4.49,7.15,172.66,250.23,248.88,225.66,253.35,223.08,228.04,3.63,3.69,162.64,240.33,217.88,208.61,225.62,245.68,210.28,3.7,7.21,215.34,209.82,217.92,222.9,227.31,226.03,251.69,3.65,4.25,229,139.01,130.53,163.99,249.93,235.06,240.43,6.87,3.67,139.33,246.23,206.68,147.06,221.02,262.48,247.07,3.75,7.1,138.79,138.92,145.07,143.32,215.15,220.28,220.42,3.58,6.8,230.27,169.98,222.25,172.42,223.47,222.38,222.46,5.53,7.35,215.85,273.46,131.78,166.71,218.82,110.76,213.93,158.94,269.5,212.58,226.9,250.63,233.95,235.39,256.18,236.52
0.023438,205.62,341.53,359.78,356.93,331.18,335.31,324.21,11.04,10.91,349.46,359.36,240.21,295.05,368.32,327.71,299.02,11.04,10.33,364,353.87,238.48,287.37,334.36,370.92,293.41,8.88,10.73,371.18,309.64,244.27,290.06,328.39,333.79,356.66,10.87,11.06,347.29,202.15,206.15,205.56,356.41,359.77,359.36,7.38,5.58,329.99,221.44,327.07,260.64,323.88,325.84,384.68,11,11.02,212.06,215.5,258.6,305.06,325.42,328.61,330.69,8.35,5.46,198.83,311.36,242.1,318.18,332.39,331.04,331.84,10.87,10.6,236.03,380.18,295.43,330.9,246,284.11,336.74,247,154.64,283.73,165.04,320.88,251.98,232.76,272.81,231.77
0.03125,384.42,256.8,277.72,366.1,413.51,325.89,307.37,14.35,11.86,393.01,268.18,255.9,299.96,296.44,298.66,306.27,14.2,13.76,387.19,387.6,424.26,304.04,314.47,344.41,290.84,7.46,9.25,398.79,379.65,383.15,276.48,259.42,286.02,454.16,14.7,7.45,443.24,378.49,342.8,346.16,369.35,280.54,292.99,14.36,14.18,401.18,422.33,397.89,354.7,274.34,402.19,380.17,9.35,9.19,292.03,362.33,455.9,207.34,293.46,268.31,415.21,14.61,7.35,348.97,387.02,376.48,427.77,285.73,361.47,285.79,7.42,14.23,489.99,485.02,384.24,430.03,386.92,429.53,302.17,313.95,217.63,377.81,394.57,215.6,300.99,241.32,299.85,323.05
0.046875,340.36,361.12,576.4,414.78,363.51,358.09,370.51,19.01,20.96,579.75,612.93,661.27,358.82,591.93,392.47,533.37,21.5,21.26,567.84,598.82,649.64,373.36,531.31,467.24,388.09,13.7,20.87,597.95,600.08,391.08,390.02,504.89,388.17,578.03,22.03,19.76,641.38,543.74,543.85,402.17,430.69,453.38,386.66,17.61,22.09,426.6,652.88,392.68,519.26,439.33,593.97,599.32,20.55,21.82,554.41,538.88,471.35,413.05,300.69,476.06,437.29,20.12,10.97,554.18,532.59,515.47,633.27,569.51,496.43,614.98,21.2,10.94,632.43,664.81,640.98,568.77,519.49,712.88,631.64,601.53,565.02,580.66,578.33,575.73,638.16,412.96,365.83,408.72
