Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU4 to GPU0 (no peer),GPU5 to GPU0 (no peer),GPU6 to GPU0 (no peer),GPU7 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU4 to GPU1 (no peer),GPU5 to GPU1 (no peer),GPU6 to GPU1 (no peer),GPU7 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU4 to GPU2 (no peer),GPU5 to GPU2 (no peer),GPU6 to GPU2 (no peer),GPU7 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer),GPU4 to GPU3 (no peer),GPU5 to GPU3 (no peer),GPU6 to GPU3 (no peer),GPU7 to GPU3 (no peer),GPU0 to GPU4 (no peer),GPU1 to GPU4 (no peer),GPU2 to GPU4 (no peer),GPU3 to GPU4 (no peer),GPU5 to GPU4 (no peer),GPU6 to GPU4 (no peer),GPU7 to GPU4 (no peer),GPU0 to GPU5 (no peer),GPU1 to GPU5 (no peer),GPU2 to GPU5 (no peer),GPU3 to GPU5 (no peer),GPU4 to GPU5 (no peer),GPU6 to GPU5 (no peer),GPU7 to GPU5 (no peer),GPU0 to GPU6 (no peer),GPU1 to GPU6 (no peer),GPU2 to GPU6 (no peer),GPU3 to GPU6 (no peer),GPU4 to GPU6 (no peer),GPU5 to GPU6 (no peer),GPU7 to GPU6 (no peer),GPU0 to GPU7 (no peer),GPU1 to GPU7 (no peer),GPU2 to GPU7 (no peer),GPU3 to GPU7 (no peer),GPU4 to GPU7 (no peer),GPU5 to GPU7 (no peer),GPU6 to GPU7 (no peer)
0.001953,94.07,93.31,96.3,97.18,95.69,95.94,92.38,92.36,93.59,92.91,94.75,96.28,95.86,92.36,95.98,96.74,96.74,95.17,95.55,96.61,95.19,95.72,97.91,96.83,96.79,94.4,95.92,95.63,97.01,94.33,97.38,98.48,101.04,98.73,97.3,92.91,95.8,96.72,95.16,98.43,97.13,95.02,93.36,97.75,93.9,99.27,99.09,97.54,96.72,93.04,93.54,93.94,96.2,92.46,95.61,94.11
0.00293,143.84,143.48,143.77,132.93,142.14,143.81,143.08,139.73,142.36,142.84,141.45,143.3,141.91,143.05,142.95,144.41,144.92,143.28,145.39,142.22,135.26,144.06,148.94,145.51,146.16,146.6,145.68,145.1,142.37,140,132,144.2,137.54,140.69,140.2,145.34,140.45,140.58,147.38,143.16,149.74,142.74,142.4,144.13,142.96,150.13,148.27,148.05,145.03,142.95,145.52,138.08,141.46,143.14,144.83,147.49
0.003906,185.61,194.19,196.88,177.56,193.13,194.77,180.65,181.05,183.06,191.07,187.48,192.61,193.64,189.83,192.28,186.42,193.85,183.81,183.89,193.46,188.28,191.76,188.08,180.86,183.68,193.95,195.1,186.41,193.03,189.22,190.91,196.03,193.03,197.38,186.18,186.46,190.77,189.09,194.32,187.22,192.94,191.32,187.91,195.87,191.72,190.7,192.04,194.29,187.3,194.07,189.41,192.24,196.01,188.63,195.4,194.29
0.005859,274.03,274.08,286.62,278.75,274.86,277.22,269.61,280.25,272.82,270.13,269.88,277.41,278.7,278.61,287.13,280.57,288.6,290.79,279.76,281.99,278.61,291.03,286.26,287.62,281.34,269.55,272.95,278.41,271.97,277.43,277.42,283.1,277.25,278.95,274.33,275.92,271.13,280.63,277.29,274.52,283.64,279.34,278.91,283.38,282.95,283.58,288.1,290.89,285.82,280.94,282.64,279.03,273.99,281.31,285.34,281.2
0.007812,362.76,348.48,361.44,351.22,357.73,356.83,349.49,357.9,363.02,363.27,355.87,360.47,360.07,346.61,362.19,363.42,361.51,364.49,360.84,358.49,361.66,363.58,363.69,360.09,350.07,362.33,357.44,339.07,357.13,366.05,360.52,354.84,376.32,372.4,365.38,367.32,343.69,362.24,367.16,368.69,372.43,370.98,371.83,377.62,377.58,375.33,375.66,378.93,371.83,368.55,365.67,371.16,358.26,375.93,375.19,378.75
0.011719,527.92,531.61,526.4,522.18,526.78,526.52,529.02,524.14,534.18,533.37,530.93,541.88,528.32,529.95,525.86,535.67,534.05,528.51,531.8,529.83,528.61,531.8,535.52,523.35,506.49,534.49,527.16,529.68,521.46,536.94,521.88,525.58,542.51,531.75,542.86,533.28,535.45,535.18,522.18,541.03,555.55,547.2,541.23,550.31,549.48,547.12,534.49,543.42,547.99,547.61,538.47,549.51,543.42,544.02,517.36,549.14
0.015625,681.78,686.21,698.89,673.4,686.33,694.38,700.48,721.11,708.39,719.58,686.06,679.47,713.54,704.08,710.74,704.91,720.88,703.77,715.17,713.8,698.23,700.39,682.46,703.16,672.36,690.73,704.3,673.61,693.27,714.45,706.57,708.71,711.88,731.47,711.72,654.18,690.09,697.61,717.27,699.76,686.72,694.57,681.51,701.81,699.36,703.39,710.84,703.45,702.09,702.5,687.99,688.45,692.78,681.51,695,696.58
0.023438,958.59,978.93,975.34,963.95,962.96,975.02,969.49,959.49,978.44,983.12,974.61,963.12,961.54,970.98,963.16,973.64,970.26,963,993.75,969.09,966.06,982.7,999.94,972.59,980.73,984.11,974.61,961.97,980.85,987.05,993.32,982.29,991.98,1007.93,998.32,986.84,1002.12,963.71,990.14,988.92,1016.37,1006.16,1006.77,999.89,1013.25,1014.43,1017.92,1031.26,1012.16,984.52,1002.2,1016.72,1006.68,1018.84,1028.14,997.81
0.03125,1235.96,1251.05,1258.41,1254.67,1231.19,1249.25,1000.86,1263.39,1256.69,1203.08,1231.67,1220.32,1212.65,1228.67,1266.52,1248.95,1286.8,1239.83,1209.51,1258.56,1153.05,1207.26,1223.76,970.35,1187.99,1215.76,966.09,1238.85,1204.52,1244.03,1249.35,1244.57,1273.02,1246.51,1264.21,1235.62,980.61,1231.87,1254.82,1219.13,984.41,1222.71,1258.15,1230.31,995.95,1228.86,998.72,1285.37,1000.29,1222.71,1240.57,1209.22,1245.57,1246.61,1139.43,1271.98
0.046875,1671.3,1338.56,1637.67,1345.86,1341.01,1644.62,1309.1,1379.73,1405.88,1615.04,1390.7,1374.15,1394.26,1384.3,1382.62,1406.56,1649.48,1359.05,1387.78,1372.86,1390.54,1390.78,1414.2,1640.48,1372.22,1393.35,1329.67,1403.44,1341.78,1362.33,1674.65,1365.82,1664.54,1379.73,1389.09,1377.62,1400.34,1624.16,1375.32,1390.29,1355.67,1442.75,1429.64,1428.81,1674.59,1450.97,1448.77,1413.34,1425.03,1394.3,1431.65,1660.47,1427.77,1360,1462.15,1435.15
