Transfer Size (MB),GPU1 to GPU0 (peer),GPU2 to GPU0 (peer),GPU3 to GPU0 (peer),GPU4 to GPU0 (peer),GPU0 to GPU1 (peer),GPU2 to GPU1 (peer),GPU3 to GPU1 (peer),GPU5 to GPU1 (peer),GPU0 to GPU2 (peer),GPU1 to GPU2 (peer),GPU3 to GPU2 (peer),GPU6 to GPU2 (peer),GPU0 to GPU3 (peer),GPU1 to GPU3 (peer),GPU2 to GPU3 (peer),GPU7 to GPU3 (peer),GPU0 to GPU4 (peer),GPU5 to GPU4 (peer),GPU6 to GPU4 (peer),GPU7 to GPU4 (peer),GPU1 to GPU5 (peer),GPU4 to GPU5 (peer),GPU6 to GPU5 (peer),GPU7 to GPU5 (peer),GPU2 to GPU6 (peer),GPU4 to GPU6 (peer),GPU5 to GPU6 (peer),GPU7 to GPU6 (peer),GPU3 to GPU7 (peer),GPU4 to GPU7 (peer),GPU5 to GPU7 (peer),GPU6 to GPU7 (peer)
0.001953,161.3,160.68,161.96,151.62,158.58,149.79,159.83,154.13,159.06,159.36,162.04,158.11,147.78,147.73,147.49,156.73,154.26,151.33,145.74,154.87,153.52,151.32,160.67,152.8,145.32,153.25,155.74,151.42,157.69,151.66,152.71,146.81
0.00293,237.38,237.55,242.52,225.59,234.15,218.03,209.43,222.65,221.61,220.86,217.35,237.49,216.64,217.37,220.71,224.53,223.33,226.55,239.2,225.69,216.34,228.38,240.77,224.69,222.94,223.2,227.32,226.86,218.99,227.05,228.86,232.39
0.003906,294.88,292.21,315.25,311.5,317.12,317.45,292.6,299.49,290.41,288.99,296.31,313.6,283.66,287.97,296.04,300.87,302.62,305.77,321.63,303.87,298.71,301.69,318.31,302.86,300.87,284.75,307.85,305.27,303.92,301.48,307.29,319.09
0.005859,436.58,477.97,463.67,449.17,476.22,458.55,474.94,433.29,464.62,471.05,460.43,448.1,480.16,481.46,478.79,460.64,471.24,460.46,439.83,449.03,453.51,459.02,431.06,442.85,442.05,460.64,460.17,460.64,450.34,446.73,461.19,473.48
0.007812,588.51,576.02,593.25,594.56,578.75,579.82,394.25,599.67,587.27,590.92,589.62,611.93,638.48,616.61,632.85,598.38,606.47,592.57,587.72,596.6,612.31,601.42,632.59,587.1,595.06,614.58,597.93,592.26,609.11,595.74,600.96,574.7
0.011719,926.53,925.8,922.45,898.4,907.59,915.38,913.32,901.3,922.88,918.61,929.69,867.22,928.29,918.47,843.38,889.27,913.67,893.81,868.25,887.52,897.99,895.93,873.95,879.98,902.97,888.79,898.54,902.48,896.34,899.71,884.23,873.17
0.015625,1219.94,1214.06,1183.71,1198.6,1225.78,1221.08,1210.3,1136.45,1229.06,1219.94,1198.24,1167.88,1228.86,1223.95,1215.01,1166.57,1210.86,1191.57,1158.69,1177.73,1181.39,1174.28,1169.36,1183.8,1179.87,1178.62,1174.02,1163.7,1115.43,1163.96,1176.94,1152.2
0.023438,1845.33,1816.44,1845.76,1792.41,1834.93,1846.49,1824.64,1783.81,1820.39,1766.47,1844.46,1717.91,1731.62,1836.79,1811.1,1796.67,1786.53,1668.15,1684.09,1752.86,1693.71,1701.58,1831.48,1637.04,1707.9,1702.44,1727.16,1702.69,1744.12,1693.58,1688.09,1687.12
0.03125,2285.36,2371.38,2373.18,2289.88,2352.28,2344.51,2340.12,2286.2,2356.71,2300.67,2237.74,2327.75,2263.18,2262.36,2292.4,2295.77,2304.91,2295.26,2261.05,2295.94,2307.64,2279.86,2231.51,2253.71,2352.99,2283.36,2264.82,2292.4,2321.69,2285.02,2269.92,2245.94
0.046875,3285.32,3276.83,3309.45,3234.99,3266.78,3279.81,3233.43,3213.92,3335.11,3278.66,3118.35,3242.37,3173.02,3146.82,3187.69,3227.42,3284.4,3199,2901.76,3204.25,3232.31,3156.14,3162.1,3152.53,3225.86,3221.65,3093.86,3252.95,3203.59,3176.03,3237.45,3295.02
0.0625,3979.37,3988,3943.47,4007.18,3939.24,4176.69,4069.01,4041.38,4189.01,4091.92,4178.09,4003.07,4026.8,3945.71,4078.3,4051.08,4101.05,4070.6,4072.19,4021.62,4010.01,3961.71,3943.47,4018.52,4105.09,3995.14,3993.1,4000.26,4127.59,3997.44,3976.08,3916.78
0.09375,5617.14,5468.07,5491.45,5432.89,5581.02,5501.11,5513.08,5489.2,5629.95,5573.72,5514.71,5510.17,5330.64,5402.21,5383.29,5423.78,5416.88,5443.3,5614.44,5450.58,5379.89,5382.36,5541.44,5458.83,5364.19,5485.02,5443.3,5516,5399.72,5478.29,5493.06,5568.42
0.125,6413.87,6501.27,6479.71,6536.29,6459.95,6511.43,6146.13,6496.54,6439.32,6454.61,6477.36,6635.17,6474,6508.38,6445.29,6536.97,6581.72,6623.22,6716.1,6630.95,6549.99,6579.29,6700.98,6584.15,6525.03,6609.91,5061.14,6515.17,6595.26,6577.56,6659.21,6763.34
0.1875,8496.85,8405.43,8401.29,8300.5,8361.95,8505.33,8362.32,8403.55,8525.83,8362.32,8465.39,8338.52,8095.16,8201.02,8182.06,8387.39,8412.22,8301.97,8156.07,8237.41,8354.5,8128.5,8165.31,8221.88,8384.01,8308.22,8310.43,8349.29,8331.11,8255.91,8266.1,8161.04
0.25,9683.92,9680.54,9747.35,9226.45,9766.77,9781.29,9694.81,9616.86,9721.2,9726.87,9620.56,9575.98,9693.68,9653.26,9689.17,9587.36,9674.17,9504.26,9504.62,9566.45,9622.42,9464.68,9446.8,9244.19,9662.58,9177.68,9579.65,9513.66,9611.32,9580.75,9595.46,9650.27
0.375,11383.3,11441.3,11089.43,11332.04,11347.47,11436.41,11419.35,11090.74,11454.93,11431.88,11441.65,11255.85,11498.48,11387.79,11404.07,11320.41,11175.02,11283.96,11488.97,11319.73,10512.74,11239.66,11107.16,11275.14,11427.7,11322.46,11294.5,11321.1,11385.72,11267.69,11298.58,11238.65
0.5,12537.93,12576.72,12558.4,12406.64,12533.84,12527.56,12486.58,12390.65,12529.44,12440.6,12435.34,12400.49,12568.18,12360.94,12336.24,12429.15,12395.57,12467.27,12578.62,12359.11,12151.85,12461.37,12522.23,12322.86,12391.27,12458.89,12391.27,12419.89,12290.45,12445.24,12399.87,12577.03
0.75,13649.27,13719.93,13832.79,13800.72,13774.86,13853.23,13828.71,13816.23,13923.7,13843.26,13825.65,13786.26,13772.33,13761.47,13894.03,13769.3,13858.35,13717.17,13729.22,13742.05,13665.68,13637.11,13642.56,13667.92,13794.12,13737.02,13737.52,13647.28,13849.9,13786,13800.21,13815.72
1,14388.28,14487.92,14482.47,14413.17,14573.44,14628.44,14648.37,14610.48,14718.22,14601.95,14635.29,14543.13,14697.24,14545.45,14478.9,14564.1,14520.32,14554.35,14661.68,14530.87,14550.11,14581.3,14471.99,14532.56,14639.79,14536.79,14576.62,14545.24,14602.38,14596.62,14524.54,14631.86
1.5,15009.16,15052.99,15121.58,15065.08,15128.44,15112.74,15117.77,15067.65,15088.57,15107.26,15101.94,15067.2,15010.66,14981.42,14904.76,15043.32,15085.99,15047.1,15127.22,15035.48,14983.52,15067.65,15168.98,14989.21,15045.14,15059.03,15072.35,15040.01,15051.63,15106.35,15087.05,15130.27
2,15594.42,15586.4,15555.12,15625.85,15654.84,15660.36,15683.94,15530.12,15699.94,15665.51,15568.08,15660.6,15501.11,15690.21,15692.43,15616.22,15668.82,15641.37,15608.05,15628.42,15615,15598.07,15557.54,15569.05,15664.77,15621.22,15629.52,15615.61,15626.71,15610.24,15548.11,15593.2
