Transfer Size (MB),CPU0 to CPU0,CPU0 to CPU1,CPU1 to CPU0,CPU1 to CPU1
0.001953,502.09,501.19,492.34,493.84
0.002930,720.53,716.31,707.31,733.89
0.003906,986.43,977.54,943.99,936.53
0.005859,1425.29,1402.77,1398.75,1380.63
0.007812,1804.27,1817.28,1811.80,1785.31
0.011719,2589.78,2609.39,2562.60,2576.12
0.015625,3237.00,3262.69,3079.42,3202.50
0.023438,4276.92,3973.13,4273.80,4337.07
0.031250,5409.38,5414.07,5199.67,5312.82
0.046875,6890.34,6953.72,6762.12,6833.09
0.062500,8095.85,8061.40,7863.61,8117.94
0.093750,9743.30,9658.97,9468.74,9554.63
0.125000,10897.04,10791.68,10633.77,10686.50
0.187500,11365.70,11522.15,11403.03,11407.89
0.250000,11541.48,11602.54,11295.35,11329.13
0.375000,11987.34,11992.71,11738.56,11773.20
0.500000,12605.25,12645.10,12343.55,12451.13
0.750000,13259.55,13385.69,12954.49,13094.26
1.000000,13763.30,13683.07,13447.91,13440.14
1.500000,14175.68,14106.23,13902.79,13880.28
2.000000,14310.86,14326.65,14064.10,14067.37
3.000000,14705.88,14469.97,14245.01,14144.07
4.000000,14496.43,14507.37,14209.79,14208.28
6.000000,14569.12,14593.82,14284.52,14590.87
8.000000,14622.90,14611.29,14621.83,14610.78
12.000000,14665.89,14704.80,14414.22,14673.62
16.000000,14709.07,14693.17,14458.13,14711.17
24.000000,14727.74,14711.79,14721.69,15074.88
32.000000,14304.30,13931.40,13880.62,14404.27
48.000000,12459.71,10067.55,10111.04,11862.15
64.000000,10636.03,8422.37,8037.08,10067.71
96.000000,9326.61,7228.44,7204.14,9632.22
128.000000,9598.75,7142.92,7109.83,8986.16
192.000000,9737.59,7141.01,7127.25,9510.25
256.000000,9179.59,7573.00,7125.85,9518.49
384.000000,9662.98,7579.66,7538.27,9509.53
512.000000,9543.67,7589.56,7540.16,9385.75
768.000000,9773.21,7588.99,7553.13,9364.10
1024.000000,9414.43,7583.32,7556.65,9538.57
1536.000000,9701.93,7583.22,7558.55,9534.55
2048.000000,9719.67,7577.29,7558.31,9584.88
3072.000000,9703.63,7574.14,7555.14,9599.96
