transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU1,1,738816738.82
2048,CPU0,CPU1,1,2345933562.43
2048,CPU0,CPU1,1,2805479452.05
2048,CPU0,CPU1,1,2797814207.65
2048,CPU0,CPU1,1,2585858585.86
2048,CPU0,CPU1,1,2656290531.78
2048,CPU0,CPU1,1,2500610500.61
2048,CPU0,CPU1,1,2560000000.00
2048,CPU0,CPU1,1,2663198959.69
2048,CPU0,CPU1,1,2531520395.55
2048,CPU0,CPU1,1,2512883435.58
2048,CPU0,CPU1,1,2540942928.04
2048,CPU0,CPU1,1,2566416040.10
2048,CPU0,CPU1,1,2550435865.50
2048,CPU0,CPU1,1,2569636135.51
2048,CPU1,CPU0,1,1917602996.25
2048,CPU1,CPU0,1,2563204005.01
2048,CPU1,CPU0,1,2705416116.25
2048,CPU1,CPU0,1,2698287220.03
2048,CPU1,CPU0,1,2497560975.61
2048,CPU1,CPU0,1,2663198959.69
2048,CPU1,CPU0,1,2677124183.01
2048,CPU1,CPU0,1,2547263681.59
2048,CPU1,CPU0,1,2488456865.13
2048,CPU1,CPU0,1,2488456865.13
2048,CPU1,CPU0,1,2525277435.27
2048,CPU1,CPU0,1,2531520395.55
2048,CPU1,CPU0,1,2550435865.50
2048,CPU1,CPU0,1,2540942928.04
2048,CPU1,CPU0,1,2563204005.01
2048,CPU0,CPU1,2,718092566.62
2048,CPU0,CPU1,2,552021563.34
2048,CPU0,CPU1,2,869269949.07
2048,CPU0,CPU1,2,504682109.41
2048,CPU0,CPU1,2,621359223.30
2048,CPU0,CPU1,2,587661406.03
2048,CPU0,CPU1,2,684491978.61
2048,CPU0,CPU1,2,585477415.67
2048,CPU0,CPU1,2,688866464.85
2048,CPU0,CPU1,2,578041208.02
2048,CPU0,CPU1,2,693532001.35
2048,CPU0,CPU1,2,578858111.93
2048,CPU0,CPU1,2,129497312.68
2048,CPU0,CPU1,2,577878103.84
2048,CPU0,CPU1,2,683578104.14
2048,CPU1,CPU0,2,608618127.79
2048,CPU1,CPU0,2,507056202.03
2048,CPU1,CPU0,2,526748971.19
2048,CPU1,CPU0,2,465137406.31
2048,CPU1,CPU0,2,608980077.31
2048,CPU1,CPU0,2,502453385.67
2048,CPU1,CPU0,2,524455825.86
2048,CPU1,CPU0,2,519928915.97
2048,CPU1,CPU0,2,494447126.99
2048,CPU1,CPU0,2,509706321.55
2048,CPU1,CPU0,2,505803902.20
2048,CPU1,CPU0,2,736955739.47
2048,CPU1,CPU0,2,517041151.22
2048,CPU1,CPU0,2,521517697.99
