Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence)
0.001953,72.21,64.23,69.58,0.66,0.71,55.66,48.52,59.99,0.87,1.23,54.03,41.04,41.59,1.21,1.37,68.1,63.86,13.98,1.63,1.26,51.82,51.08,19.02,57.98,54.69,54.31,46.63,53.24
0.00293,84.01,53.51,90.93,1.68,2.12,83.07,65.78,84.24,2.08,2.17,88.77,92.71,81.1,1.87,1.74,89.21,82.39,81.71,1.15,2.08,70.83,83.9,66.03,76.25,74.41,70.85,31.41,78.56
0.003906,108.38,84.9,98.24,2.75,2.26,120.6,100.46,119.36,2.75,2.48,109.92,122.17,105.26,2.93,2.27,86.34,106.54,7.28,2.7,2.57,80.04,92.53,10.68,93.53,78.91,85.18,81.25,82.78
0.005859,123.7,122.39,139.59,3.86,4.01,209.38,217.41,208.11,4.14,3.84,165.73,175.08,155.71,3.23,3.46,170.23,158.36,170.9,2.26,4.08,189.32,201.26,195.55,208.06,210.07,197.96,209.08,196.21
0.007812,283.75,266.98,276.95,5.79,5.41,170.84,176.22,167.62,5.95,5.42,255.1,271.94,253.74,5.5,4.56,268.04,254.44,275.19,5.96,5.37,254.5,274.54,256.62,219.49,213.65,197.18,236.88,262.44
0.011719,419.59,385.8,416.92,4.71,7.58,356.18,277.11,352.07,8.15,8.13,378.52,402.71,371.76,8.83,7.68,355.89,329.71,24.6,6.96,7.82,335.35,369.84,328.1,362.23,347.58,337.21,363.45,329.36
0.015625,481.96,455.22,490.07,9.38,11,336.83,312.88,187.45,11.94,9.95,539.93,578.92,525,11.24,12.28,475.53,452.95,28.56,9.98,10.55,427.2,449.01,386.84,346.93,311.86,323.51,42.88,428.59
0.023438,690.62,577.9,718.43,14.79,15.06,263.65,511.13,517.05,15.42,17.17,694.4,741.83,638.57,7.23,7.36,814.71,763.06,53.44,8.84,10.99,769.53,818.21,769.48,813.66,830.85,792.24,847.68,792.88
0.03125,1115.51,1067.72,1140.89,22.46,16.87,1049.68,1049.47,1034.29,23.44,20.92,1012.87,1074.33,1024.52,23.44,14.78,1088.74,1027.08,770.03,15.26,23.02,1015.93,1078.03,791.76,1082.33,1086.84,1055.07,978.58,1056.46
0.046875,1679.87,1560.06,1689.68,26.11,33.94,1604.81,1618.11,1564.01,35.5,33.4,1085.67,1337.72,1522.36,34.85,24.67,1638.99,1523.45,1183.44,34.07,32.53,1533.42,1637.21,1535.12,1626.53,1563.65,1587.1,1691.81,1576.21
0.0625,965.76,940.12,904.62,42.06,49.46,925.79,941.01,881,46.12,50.2,875.57,841.17,901.17,36.75,42.95,907.99,866.37,660.75,43.99,33.8,1115.99,1068.45,214.68,1045.06,1151.42,1045.71,551.15,1030.5
0.09375,1502.69,799.31,1335.11,65.42,68.18,1403.07,1386.01,1373.95,60.8,64.22,1556.12,1487.62,1591.98,68.44,68.14,1446.47,1399.21,1503.42,67.12,71.3,1747.44,1693.25,1869.58,1715.09,1761.29,1643.61,1825.99,1736.18
0.125,1906.91,1828.02,1534.57,91.4,76.25,1897.65,1639.56,1510.35,86.14,72.5,1727.4,1773.25,1833.65,99.07,85.24,1571.22,1655.76,1839.7,87.81,85.61,2348.87,2000.64,2210.86,2052.55,2337.67,2034.01,2201.44,2019.48
