Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer)
0.001953,103.31,101.44,100.88,101.82,101.79,102.28,101.76,102.96,103.17,101.96,102.79,101.76
0.00293,153.34,151.74,151.69,152.57,154.54,152.95,155.36,154.97,155.28,153.77,154.1,153.07
0.003906,202.79,203.07,202,202.71,206.24,205.26,205.04,205.99,206.71,206.08,205,205.79
0.005859,306.21,301.36,302.65,309.72,307.98,309.82,309.89,308.24,311.47,307.26,313.94,309.53
0.007812,407.41,406.8,405.97,408.88,413.1,411.12,413.05,412.6,417.18,409.63,408.8,412.55
0.011719,612.87,611.88,606.91,613.8,617.85,615.25,620.2,623.24,621.35,614.16,620.2,618.63
0.015625,811.14,817.08,816.23,828.96,821.94,822.76,832.36,840.23,830.5,817.25,824.97,826.02
0.023438,1226.9,1230.77,1226.13,1230.9,1237.53,1242.71,1240.41,1236.55,1241.46,1230.64,1235.24,1245.55
0.03125,1650.3,1636.64,1630.92,1650.99,1648.99,1658,1663.65,1672.73,1671.57,1664.62,1663.92,1653.88
0.046875,2465.68,2433.8,2437.98,2464.25,2464.12,2481.34,2467.62,2495.87,2497.47,2449.57,2472.96,2507.35
0.0625,3249.79,3263.2,3263.03,3269.68,3318.11,3303.56,3336.71,3331.38,3346.18,3294.85,3306.18,3314.59
0.09375,4200.08,4583.9,4589.29,4201.77,4609.82,4649.38,4242.47,4273.99,4747.8,4253.44,4253.05,4731.74
0.125,5121.69,5641.3,5628.86,5157.19,5676.14,5623.54,5254.53,5275.15,5808.55,5236.26,5268.48,5759.04
0.1875,5934.48,7174.84,7066.14,5957.11,7206.55,7174.29,5996.35,6324.84,7380.15,6013.86,6216.23,7387.42
0.25,7179.37,7328.8,7269.34,7206.27,7636.62,7651.81,7343.87,7358.78,7492.43,7331.38,7382.25,7484.36
0.375,8248.83,9707.73,9697.44,8022.42,9760.03,9715.53,8272.48,8304.54,10059.82,8186.88,8344.64,10016.03
0.5,8452.23,9995.6,9994.8,8453.09,9805.46,10624.06,8650.37,8764.4,10263.99,8621.58,8773.78,10272.21
0.75,9789.84,11038.18,11005.62,9804.05,11239.32,11296.71,9997.87,10031.03,11367.25,9970.62,9996.13,11466.66
1,9836.61,12471.94,12482.21,9785.31,12506.1,12465.87,10026.57,10137.26,12759.17,10099.89,9980.14,12041.08
