Transfer Size (MB),CPU0 to GPU0 (pinned),CPU0 to GPU1 (pinned),CPU0 to GPU2 (pinned),CPU0 to GPU3 (pinned),CPU1 to GPU0 (pinned),CPU1 to GPU1 (pinned),CPU1 to GPU2 (pinned),CPU1 to GPU3 (pinned),GPU0 to CPU0 (pinned),GPU1 to CPU0 (pinned),GPU2 to CPU0 (pinned),GPU3 to CPU0 (pinned),GPU0 to CPU1 (pinned),GPU1 to CPU1 (pinned),GPU2 to CPU1 (pinned),GPU3 to CPU1 (pinned)
0.001953,204.13,203.66,201.89,201.69,204.13,198.57,201.64,202.19,248.74,251.01,241.72,242.17,237.29,233.96,247.14,248.02
0.00293,300.48,301.69,299.1,297.85,300.48,290.27,301.13,297.25,369.44,369.12,351.91,353.53,353.96,350.69,358.94,364.93
0.003906,395.01,398.56,394.33,396.17,393.85,379.95,396.69,397.3,480.3,492.41,471.03,474.81,465.64,466.86,470.46,482.25
0.005859,570.31,581.34,579.05,575.97,572.32,546.94,573.83,584.53,708.08,705.1,699.13,700.3,700.3,702.73,704.42,702.23
0.007812,716.94,733.43,730.07,723.18,728.91,707.59,720.18,722.44,944.34,941.61,941.15,941.15,933.95,923.79,933.06,943.31
0.011719,1028.14,1044.92,1046.6,1051.86,1040,983.36,1023.2,1032.67,1418.05,1409.01,1424.77,1400.76,1408.84,1382.42,1408.17,1424.43
0.015625,1279.58,1322.81,1289.09,1333.53,1295.93,1243.83,1268.98,1264.06,1870.81,1913.89,1850.86,1863.45,1863.89,1848.89,1877.78,1885.94
0.023438,1693.46,1742.44,1772.48,1751.68,1759.84,1669.46,1708.9,1698.25,2762.55,2801.85,2612.58,2588.35,2609.39,2561.76,2788.19,2820.74
0.03125,3405.62,3381.67,3341.17,3294.33,3327.3,3147.03,3367.09,3355.52,3630.34,3667.84,3384.23,3416.05,3391.95,3322.35,3626.55,3661.39
0.046875,4704.44,4716.74,4591.54,4660.93,4673.95,4536.44,4726.26,4724.35,5142.06,5180.7,4684.69,4718.64,4688.44,4517.2,5162.44,5211.81
0.0625,5901.79,6081.54,5909.05,5898.45,5976.29,5786.5,5881.25,6045.66,6340.03,6341.96,5788.64,5848.23,5838.94,5667.91,6389.94,6394.52
0.09375,8274.49,8231.63,8106.36,8061.74,8024.48,7747.93,8287.66,8291.32,8927.72,8919.23,7669.34,7664.95,7638.72,7455.86,8928.57,8833.51
0.125,10041.77,10128.02,9752.67,9829.36,9842.52,9636.88,10153.52,10195.76,10906.55,10849.75,9134.76,9112.12,9050.1,8924.75,10785.16,10858.23
0.1875,12986.56,13059.83,12519.2,12436.99,12473.39,12337.96,13086.26,13038.04,13900.21,14021.84,11021.63,11232.93,11105.85,10977.75,13945.7,13963.36
0.25,15261.58,15112.13,14557.74,14547.57,14485.2,14462.57,15204.04,15434.96,16084.41,16163.44,12678.13,12685.85,12563.45,12556.5,16169.72,15989.77
0.375,18153.65,18096.71,17077.28,17375.59,17408.66,17211.31,18151.9,18051.41,19445.16,19507.88,14578.39,14598.26,14602.8,14457.55,19572.03,19493.68
0.5,20209.37,20175.12,19241.87,19345.35,19149.02,19109.5,20681.67,20529.67,21650.65,21684.45,15753.49,15801.28,15819.78,15669.56,21460.15,21636.59
0.75,22828.97,22835.22,21549.87,21661.9,21567.84,21318.93,22942.09,23299.89,24319.07,24088.65,17174.65,17189.61,17183.31,17083.5,24315.91,24425.99
1,23901.72,23736.62,22686.03,22860.8,22805.02,22699.93,24272.43,24274.79,25465.38,25303.64,17811.66,17834.21,17861.93,17769.88,25771.2,25753.28
1.5,25308.77,25166.1,23858,23904.38,23941.01,23795.17,25460.41,25684.49,26697.99,26697.04,18446.78,18449.5,18453.36,18393.4,27019.24,27002.21
2,26397.06,26308.17,24849.97,24892.96,24905.67,24800.66,26430.2,26419.38,27901.01,27981.03,18991.19,19026.24,18978.93,18960.4,28188.47,28211.53
3,27830.86,27822.86,26035.79,25999.01,26072.45,25994.28,27927.24,27845.85,29276,29309.47,19583.27,19589.79,19577.52,19558.24,29377.49,29391.59
4,28507.29,28477.05,26506.92,26487.44,26543.86,26529.95,28627.46,28682.06,29935.64,29917.28,19843.34,19843.34,19833.5,19816.01,29966.81,30007.05
