# Strides,GPU2:CPU0 Traversal Time (us) [managed],CPU0:GPU2 Traversal Time (us) [managed]
4,123.97,170.7
5,155.85,189.63
6,174.91,214.66
7,196.94,234.95
8,222.51,258.97
9,262.76,277.63
10,269.55,314.87
11,318.02,320.87
12,317.56,345.97
13,349.79,365.6
14,355.97,387.66
15,389.32,409.84
16,407.96,432.26
17,435.32,449.43
18,443.73,479.44
19,498.77,496.57
20,514.63,545.43
21,539.82,563.33
22,556.27,593.24
23,596.77,610.39
24,608.78,631.8
25,639.57,655.51
26,660.27,682.95
27,686.29,696.75
28,725.98,725.9
29,752.67,742.86
30,758.57,769.17
31,820.79,789.22
32,798.97,811.01
33,829.08,823.48
